repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
pytorch/pytorch,CLOSED,4.364444444444445,89,626,67,689,4,3,1
pytorch/pytorch,CLOSED,2.9519444444444445,1,2,1,1962,3,4,1
pytorch/pytorch,MERGED,3.451388888888889,1,7,6,2536,3,1,1
pytorch/pytorch,CLOSED,5.168888888888889,123,355,72,691,4,3,1
pytorch/pytorch,CLOSED,8.996944444444445,1,1,1,113,3,4,1
pytorch/pytorch,CLOSED,2.16,1,7,6,2536,6,5,5
pytorch/pytorch,CLOSED,4.989444444444445,1,7,5,66,4,4,1
pytorch/pytorch,CLOSED,4.174166666666666,11,16,12,350,4,3,1
pytorch/pytorch,CLOSED,8.968055555555555,1,5,5,354,5,3,2
pytorch/pytorch,CLOSED,4.3725,2,32,4,222,5,6,2
pytorch/pytorch,CLOSED,23.60333333333333,34,3,1869,442,7,5,5
pytorch/pytorch,CLOSED,23.120833333333334,24,182,133,135,5,3,1
pytorch/pytorch,CLOSED,17.2425,1,16,14,272,7,4,3
pytorch/pytorch,CLOSED,25.135,2,23,0,358,4,4,1
pytorch/pytorch,CLOSED,3.721388888888889,1,21,11,280,3,3,2
pytorch/pytorch,CLOSED,10.200833333333334,1,1,0,93,3,3,1
pytorch/pytorch,MERGED,16.337777777777777,2,10,6,1214,3,1,1
pytorch/pytorch,MERGED,2.6266666666666665,1,9,4,2678,3,1,2
pytorch/pytorch,CLOSED,2.4283333333333332,1,1,7,250,4,3,1
pytorch/pytorch,CLOSED,21.40388888888889,1,4,2,32,4,4,1
pytorch/pytorch,CLOSED,29.30472222222222,3,23,15,519,4,3,3
pytorch/pytorch,CLOSED,29.7175,2,166,6,529,6,4,10
pytorch/pytorch,CLOSED,23.003333333333334,3,33,21,446,4,6,2
pytorch/pytorch,CLOSED,3.8961111111111113,1,8,12,216,4,3,1
pytorch/pytorch,CLOSED,22.810277777777777,2,45,42,32,4,5,1
pytorch/pytorch,CLOSED,5.099722222222222,1,3,5,225,4,4,1
pytorch/pytorch,CLOSED,1.5686111111111112,1,2,2,183,4,3,1
pytorch/pytorch,CLOSED,9.852222222222222,1,2,2,311,4,4,2
pytorch/pytorch,MERGED,5.7877777777777775,1,2,2,222,2,1,1
pytorch/pytorch,CLOSED,7.682222222222222,2,62,22,230,3,3,2
pytorch/pytorch,CLOSED,44.44083333333333,13,19,59,397,4,6,2
pytorch/pytorch,CLOSED,24.52611111111111,139,504,30,456,5,16,4
pytorch/pytorch,CLOSED,8.229444444444445,5,29,11,158,4,3,1
pytorch/pytorch,CLOSED,25.020833333333332,1,386,0,442,3,4,1
pytorch/pytorch,CLOSED,4.809444444444445,5,126,61,81,4,4,1
pytorch/pytorch,CLOSED,11.936666666666667,4,1,7,329,5,3,1
pytorch/pytorch,CLOSED,8.118611111111111,1,29,0,1089,5,3,1
pytorch/pytorch,CLOSED,17.40111111111111,4,78,11,1061,3,5,1
pytorch/pytorch,CLOSED,4.199166666666667,1,1,1,77,3,3,1
pytorch/pytorch,CLOSED,5.279166666666667,1,241,241,79,3,3,1
pytorch/pytorch,CLOSED,26.272222222222222,4,84,51,146,3,3,1
pytorch/pytorch,CLOSED,26.111666666666668,3,26,1,146,3,3,3
pytorch/pytorch,CLOSED,21.111666666666668,1,12,0,314,3,2,3
pytorch/pytorch,CLOSED,45.86805555555556,2,46,12,146,3,2,1
pytorch/pytorch,CLOSED,45.69722222222222,1,83,111,146,3,3,1
pytorch/pytorch,CLOSED,47.64111111111111,30,2,2,146,3,3,1
pytorch/pytorch,CLOSED,47.49166666666667,2,38,1,146,3,3,1
pytorch/pytorch,CLOSED,40.93277777777778,3,3,3,22,5,7,2
pytorch/pytorch,CLOSED,61.81583333333333,1,0,7,55,4,3,1
pytorch/pytorch,CLOSED,89.58472222222223,8,30,21,306,3,3,1
pytorch/pytorch,CLOSED,58.80277777777778,2,7,15,270,3,3,1
pytorch/pytorch,CLOSED,59.00222222222222,2,0,39,446,4,2,1
pytorch/pytorch,CLOSED,59.729166666666664,2,4,47,249,5,4,2
pytorch/pytorch,CLOSED,68.83722222222222,1,0,58,33,6,14,1
pytorch/pytorch,CLOSED,15.294166666666667,2,1,2,32,4,3,1
pytorch/pytorch,CLOSED,42.49444444444445,89,178,210,743,6,11,1
pytorch/pytorch,CLOSED,72.23055555555555,10,296,29,146,3,2,1
pytorch/pytorch,CLOSED,72.23277777777778,1,4,1,146,3,2,1
pytorch/pytorch,CLOSED,72.23388888888888,1,392,123,146,3,2,1
pytorch/pytorch,CLOSED,100.78805555555556,15,15,261,294,5,9,2
