repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
rasbt/LLMs-from-scratch,MERGED,4.283055555555555,4,5,5,200,2,1,1
rasbt/LLMs-from-scratch,MERGED,46.272222222222226,7,125,15,881,4,19,2
rasbt/LLMs-from-scratch,MERGED,3.423611111111111,3,7,6,173,2,1,1
rasbt/LLMs-from-scratch,MERGED,60.977777777777774,1,1,1,49,2,2,1
rasbt/LLMs-from-scratch,MERGED,1.7616666666666667,3,51,44,675,2,2,1
rasbt/LLMs-from-scratch,MERGED,2.576111111111111,3,3,7,10,2,0,1
rasbt/LLMs-from-scratch,MERGED,47.651666666666664,3,3,3,719,2,2,1
rasbt/LLMs-from-scratch,MERGED,28.093611111111112,1,1,1,400,2,0,1
rasbt/LLMs-from-scratch,MERGED,76.31111111111112,3,6,17,366,2,0,2
rasbt/LLMs-from-scratch,MERGED,1.4,4,104,74,0,2,0,1
rasbt/LLMs-from-scratch,MERGED,129.79055555555556,1,5,8,655,2,0,1
rasbt/LLMs-from-scratch,MERGED,1.6130555555555555,1,6,6,59,1,1,2
rasbt/LLMs-from-scratch,MERGED,5.408333333333333,1,1,1,51,2,0,1
rasbt/LLMs-from-scratch,MERGED,1.1727777777777777,1,2,2,75,1,0,1
rasbt/LLMs-from-scratch,MERGED,27.058333333333334,1,3,0,59,2,0,3
rasbt/LLMs-from-scratch,MERGED,16.64611111111111,14,13165,218,373,2,8,11
rasbt/LLMs-from-scratch,MERGED,17.213055555555556,1,2,2,121,2,2,2
