repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
redis/redis,MERGED,43.73555555555556,6,26,26,165,2,1,9
redis/redis,MERGED,1.3855555555555557,1,1,1,0,2,0,1
redis/redis,MERGED,1.9833333333333334,1,1,1,0,2,0,1
redis/redis,MERGED,1.9986111111111111,1,1,1,0,2,0,1
redis/redis,MERGED,65.92138888888888,19,293,54,0,4,0,4
redis/redis,MERGED,82.5988888888889,27,629,92,0,7,0,2
redis/redis,MERGED,106.35944444444445,16,257,55,0,5,1,1
redis/redis,MERGED,1.6858333333333333,1,1,1,1049,3,3,1
redis/redis,MERGED,11.937777777777777,1,1,1,121,2,1,1
redis/redis,MERGED,12.054166666666667,1,1,1,86,3,3,1
redis/redis,MERGED,385.165,2,36,2,339,2,3,8
redis/redis,MERGED,8.865555555555556,1,3,2,798,3,3,3
redis/redis,CLOSED,2.0608333333333335,1,1,1,165,3,2,3
redis/redis,MERGED,339.0472222222222,3,4,4,75,3,2,2
redis/redis,MERGED,378.09166666666664,1,27,7,90,2,1,9
redis/redis,CLOSED,357.6725,1,83,5,639,4,6,2
redis/redis,MERGED,46.96722222222222,1,4,4,4291,2,2,10
redis/redis,MERGED,2.1730555555555555,1,1,1,353,2,1,1
redis/redis,MERGED,78.81694444444445,4,36,6,536,2,1,2
redis/redis,CLOSED,117.16888888888889,1,1,1,337,3,4,3
redis/redis,MERGED,4.258611111111111,1,1,1,1597,2,1,2
redis/redis,MERGED,119.25555555555556,2,20,3,435,2,1,5
redis/redis,MERGED,192.33972222222224,20,135,22,767,2,10,3
redis/redis,MERGED,167.0636111111111,2,36,15,779,3,3,13
redis/redis,MERGED,91.81194444444445,3,16,11,19034,3,7,10
redis/redis,MERGED,416.5522222222222,1,14,1,378,5,9,9
redis/redis,MERGED,196.5363888888889,1,5,1,2899,3,2,1
redis/redis,MERGED,29.036666666666665,1,4,4,625,3,2,2
redis/redis,MERGED,24.291944444444443,2,5,19,784,3,2,3
redis/redis,MERGED,85.37472222222222,1,22,9,417,4,3,2
redis/redis,MERGED,99.52638888888889,2,101,0,1539,4,3,6
redis/redis,MERGED,534.3525,18,1199,355,2945,6,5,34
redis/redis,CLOSED,399.96194444444444,1,51,52,168,3,2,14
redis/redis,MERGED,12.663333333333334,3,142,2,1573,4,2,1
redis/redis,MERGED,25.58,4,51,21,415,3,2,1
redis/redis,MERGED,77.98638888888888,1,6,5,60,5,5,14
