repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
rust-lang/rust,MERGED,21.849722222222223,21,114,110,396,6,11,2
rust-lang/rust,MERGED,6.746111111111111,3,70,1,47,4,3,1
rust-lang/rust,MERGED,16.128333333333334,1,1,1,0,5,3,1
rust-lang/rust,MERGED,16.834722222222222,3,32,46,310,4,5,3
rust-lang/rust,MERGED,15.391388888888889,1,15,0,157,5,5,3
rust-lang/rust,MERGED,33.50083333333333,3,61,82,141,6,23,3
rust-lang/rust,MERGED,23.38138888888889,4,125,84,74,5,16,6
rust-lang/rust,MERGED,15.126111111111111,4,41,19,227,5,4,3
rust-lang/rust,MERGED,30.68722222222222,3,203,178,15,6,22,2
rust-lang/rust,MERGED,37.08833333333333,18,52,45,408,5,5,3
rust-lang/rust,MERGED,23.595277777777778,1,24,19,291,5,13,1
rust-lang/rust,MERGED,23.7025,8,24,19,226,6,14,4
rust-lang/rust,MERGED,58.07805555555556,4,76,83,421,7,10,3
rust-lang/rust,MERGED,19.162777777777777,3,40,7,30,6,7,1
rust-lang/rust,MERGED,5.832222222222223,1,3,3,378,5,4,1
rust-lang/rust,MERGED,6.3725,1,1,5,12,4,5,1
rust-lang/rust,MERGED,25.315833333333334,2,9,12,15,5,6,1
rust-lang/rust,MERGED,58.356944444444444,3,103,1,104,5,6,2
rust-lang/rust,MERGED,34.59777777777778,1,12,6,472,4,3,7
rust-lang/rust,MERGED,37.27055555555555,14,225,225,752,5,7,3
rust-lang/rust,MERGED,6.266944444444444,1,6,7,323,5,8,1
rust-lang/rust,MERGED,24.83416666666667,4,33,12,13,6,9,2
rust-lang/rust,MERGED,36.492777777777775,4,84,1,589,6,5,1
rust-lang/rust,MERGED,37.715555555555554,1,11,8,70,7,16,2
rust-lang/rust,MERGED,23.334444444444443,23,213,134,306,4,4,3
rust-lang/rust,MERGED,51.8425,6,188,156,368,5,17,1
rust-lang/rust,MERGED,44.18972222222222,2,80,0,14,5,9,2
rust-lang/rust,MERGED,16.32111111111111,14,152,17,478,7,11,3
rust-lang/rust,MERGED,19.051111111111112,1,0,4,969,5,6,2
rust-lang/rust,MERGED,79.06861111111111,5,73,9,184,9,8,4
rust-lang/rust,MERGED,19.743055555555557,6,93,111,245,4,4,1
rust-lang/rust,MERGED,68.4263888888889,7,84,22,218,5,5,2
rust-lang/rust,MERGED,60.32888888888889,8,79,30,210,5,4,4
rust-lang/rust,MERGED,145.35194444444446,5,93,40,472,6,6,9
rust-lang/rust,CLOSED,28.699444444444445,1,19,26,121,6,4,4
rust-lang/rust,MERGED,117.69833333333334,1,16,23,351,5,19,2
rust-lang/rust,MERGED,6.820277777777778,1,1,1,0,4,3,1
rust-lang/rust,MERGED,23.844166666666666,1,31,0,132,5,3,3
rust-lang/rust,MERGED,7.698888888888889,5,30,2,61,4,2,2
rust-lang/rust,MERGED,25.934166666666666,2,26,1,441,8,10,1
rust-lang/rust,MERGED,6.3975,2,4,3,494,5,8,1
rust-lang/rust,MERGED,168.00722222222223,17,135,11,1657,8,9,5
rust-lang/rust,MERGED,23.058055555555555,1,22,47,14,6,5,14
rust-lang/rust,MERGED,23.235833333333332,3,24,18,141,6,6,3
rust-lang/rust,MERGED,19.524444444444445,6,54,6,353,6,6,7
rust-lang/rust,MERGED,48.56,6,86,0,270,7,18,2
rust-lang/rust,CLOSED,138.40194444444444,10,232,138,498,11,24,1
rust-lang/rust,MERGED,102.13944444444445,10,251,220,162,6,4,6
rust-lang/rust,MERGED,27.1325,7,80,19,427,7,15,2
rust-lang/rust,MERGED,27.545277777777777,5,1,8,58,5,9,2
rust-lang/rust,MERGED,20.72111111111111,3,15,3,217,4,4,3
rust-lang/rust,MERGED,18.683888888888887,2,21,18,182,7,7,2
rust-lang/rust,MERGED,38.79638888888889,6,128,177,658,4,4,1
rust-lang/rust,MERGED,24.578611111111112,5,14,54,0,4,3,1
rust-lang/rust,MERGED,181.48194444444445,33,98,94,698,6,11,2
rust-lang/rust,CLOSED,7.89,1,7,0,457,6,5,1
rust-lang/rust,MERGED,17.794444444444444,7,134,131,113,5,9,1
rust-lang/rust,MERGED,83.40222222222222,45,391,247,263,7,25,8
rust-lang/rust,MERGED,14.007777777777777,40,66,68,387,7,5,3
rust-lang/rust,MERGED,28.85861111111111,1,5,11,37,5,9,2
rust-lang/rust,MERGED,29.350833333333334,2,37,12,94,5,10,1
rust-lang/rust,CLOSED,86.58694444444444,9,303,11,166,10,12,3
rust-lang/rust,MERGED,16.525277777777777,7,51,4,22,4,4,1
rust-lang/rust,MERGED,26.730833333333333,1,2,2,1493,6,9,1
rust-lang/rust,MERGED,159.89055555555555,3,43,9,1243,7,15,3
rust-lang/rust,MERGED,30.6025,13,115,120,559,6,7,1
rust-lang/rust,MERGED,32.710277777777776,1,30,0,106,6,9,4
rust-lang/rust,MERGED,243.24722222222223,74,170,145,619,9,19,7
rust-lang/rust,MERGED,68.54638888888888,15,83,109,631,4,4,4
rust-lang/rust,CLOSED,16.20111111111111,3,127,15,24,5,7,6
rust-lang/rust,MERGED,45.04055555555556,17,20,33,463,6,15,2
rust-lang/rust,MERGED,42.03888888888889,4,3,5,121,5,10,1
rust-lang/rust,MERGED,229.88055555555556,1,29,27,73,5,15,2
rust-lang/rust,MERGED,22.296666666666667,3,7,7,237,5,3,1
rust-lang/rust,MERGED,42.92638888888889,8,14,116,419,7,14,1
rust-lang/rust,MERGED,28.95138888888889,1,1,14,87,4,3,1
rust-lang/rust,MERGED,33.87,4,24,24,56,4,3,1
