repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
rustdesk/rustdesk,MERGED,2.347777777777778,1,221,221,60,2,0,1
rustdesk/rustdesk,MERGED,138.7188888888889,1,121,12,1063,4,2,4
rustdesk/rustdesk,MERGED,24.29222222222222,4,113,72,223,2,0,3
rustdesk/rustdesk,MERGED,303.44388888888886,51,653,36,2514,3,28,32
rustdesk/rustdesk,MERGED,41.090833333333336,1,18,2,127,2,0,3
rustdesk/rustdesk,MERGED,2.6866666666666665,1,5,0,128,2,0,1
rustdesk/rustdesk,MERGED,32.95666666666666,2,1141,0,195,2,0,3
rustdesk/rustdesk,CLOSED,57.3625,1,21,8,619,2,6,4
rustdesk/rustdesk,CLOSED,136.48111111111112,3,56,23,641,3,16,1
rustdesk/rustdesk,MERGED,74.95861111111111,4,107,2,2885,3,13,4
rustdesk/rustdesk,MERGED,70.14611111111111,1,5,1,558,2,1,1
rustdesk/rustdesk,MERGED,255.45333333333335,3,112,64,331,3,6,6
rustdesk/rustdesk,MERGED,34.665277777777774,1,7,7,13,2,0,1
rustdesk/rustdesk,MERGED,2.1744444444444446,3,34,3,222,2,0,1
rustdesk/rustdesk,MERGED,1.9330555555555555,4,45,6,370,2,0,5
rustdesk/rustdesk,MERGED,44.34722222222222,14,1153,209,307,2,0,13
rustdesk/rustdesk,MERGED,2.193611111111111,1,9,3,76,2,0,2
rustdesk/rustdesk,CLOSED,91.66638888888889,26,267,129,795,2,0,4
rustdesk/rustdesk,MERGED,1.875,2,50,13,33,2,0,9
rustdesk/rustdesk,MERGED,1.3066666666666666,14,796,409,397,2,0,4
rustdesk/rustdesk,MERGED,26.907777777777778,62,1276,27,291,2,0,5
rustdesk/rustdesk,MERGED,2.5675,9,242,31,1706,2,0,6
rustdesk/rustdesk,MERGED,12.675555555555556,1,21,9,213,2,0,2
rustdesk/rustdesk,MERGED,314.665,19,88,37,1622,2,0,4
rustdesk/rustdesk,MERGED,1.1441666666666668,14,156,52,272,2,0,4
rustdesk/rustdesk,MERGED,396.2783333333333,1,1,1,551,3,0,2
rustdesk/rustdesk,MERGED,3.6661111111111113,4,96,30,375,2,0,7
rustdesk/rustdesk,MERGED,5.120277777777778,3,36,8,169,2,0,3
rustdesk/rustdesk,MERGED,69.49861111111112,1,8,6,58,2,0,1
rustdesk/rustdesk,MERGED,84.63666666666667,5,62,22,379,2,0,7
rustdesk/rustdesk,CLOSED,910.7738888888889,1,5,5,34,1,0,1
rustdesk/rustdesk,MERGED,519.4786111111111,4,2151,0,28,2,3,1
rustdesk/rustdesk,MERGED,63.914722222222224,1,20,20,13,2,0,2
rustdesk/rustdesk,CLOSED,70.45916666666666,1,467,467,77,2,2,2
rustdesk/rustdesk,MERGED,496.9761111111111,20,155,84,271,2,0,7
rustdesk/rustdesk,CLOSED,12.788611111111111,1,1,1,121,2,4,2
rustdesk/rustdesk,MERGED,1.2975,4,31,10,106,2,0,9
rustdesk/rustdesk,MERGED,1.7758333333333334,3,36,16,898,2,0,2
rustdesk/rustdesk,MERGED,2.3766666666666665,2,38,3,241,2,0,3
rustdesk/rustdesk,MERGED,2.8494444444444444,3,28,0,158,2,0,6
rustdesk/rustdesk,MERGED,4.8566666666666665,1,7,3,205,2,0,5
rustdesk/rustdesk,MERGED,10.631666666666666,1,26,6,261,2,0,4
