repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
shadcn-ui/ui,MERGED,2.529166666666667,1,2,2,613,2,1,1
shadcn-ui/ui,MERGED,51.278888888888886,13,5729,1538,1359,2,2,1
shadcn-ui/ui,MERGED,9.681666666666667,1,1,1,116,2,2,1
shadcn-ui/ui,MERGED,122.18805555555555,1,1,0,47,2,4,1
shadcn-ui/ui,MERGED,12.119722222222222,1,1,1,12,2,1,1
shadcn-ui/ui,MERGED,144.70166666666665,4,13,11,849,2,4,1
shadcn-ui/ui,MERGED,5.533333333333333,1,1,1,0,2,1,1
shadcn-ui/ui,MERGED,2.4427777777777777,1,1,0,936,2,1,1
shadcn-ui/ui,MERGED,2.5866666666666664,1,1,0,0,2,1,1
shadcn-ui/ui,MERGED,8.228055555555555,1,1,0,0,2,3,1
shadcn-ui/ui,MERGED,72.19833333333334,1,1,6,0,2,1,1
shadcn-ui/ui,MERGED,1.5013888888888889,1,1,1,62,2,1,1
shadcn-ui/ui,MERGED,471.94388888888886,6,273,261,576,2,2,1
shadcn-ui/ui,MERGED,13.880277777777778,9,19,19,55,2,2,1
shadcn-ui/ui,MERGED,135.76444444444445,2,9,2,0,2,2,1
shadcn-ui/ui,MERGED,2188.8263888888887,2,15,1,209,2,7,1
shadcn-ui/ui,MERGED,168.63333333333333,9,18,9,260,2,6,1
shadcn-ui/ui,MERGED,283.5211111111111,1,1,0,59,2,2,1
shadcn-ui/ui,CLOSED,400.45,1,5,5,165,2,1,1
shadcn-ui/ui,MERGED,15.699444444444444,1,3,0,650,2,2,1
shadcn-ui/ui,MERGED,47.36361111111111,3,6,6,747,2,2,2
shadcn-ui/ui,MERGED,92.88222222222223,3,10,5,0,2,2,1
shadcn-ui/ui,MERGED,71.2461111111111,1,1,0,168,2,2,1
shadcn-ui/ui,MERGED,87.77555555555556,2,6,2,178,2,2,1
