repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
sherlock-project/sherlock,MERGED,5.998333333333333,1,6,0,145,3,3,1
sherlock-project/sherlock,MERGED,30.833055555555557,1,31,10,599,3,7,4
sherlock-project/sherlock,MERGED,54.49861111111111,1,26,0,139,2,4,2
sherlock-project/sherlock,CLOSED,681.1175,4,1493,0,2709,3,4,1
sherlock-project/sherlock,MERGED,847.5686111111111,1,7,0,66,3,1,1
sherlock-project/sherlock,CLOSED,8.574722222222222,1,98,81,71,3,7,9
sherlock-project/sherlock,MERGED,1431.67,1,15,0,23,2,4,1
sherlock-project/sherlock,MERGED,1659.8405555555555,3,22,10,171,3,5,1
sherlock-project/sherlock,MERGED,2427.2766666666666,1,17,4,258,2,13,4
sherlock-project/sherlock,MERGED,3460.325277777778,1,8,0,139,2,2,2
sherlock-project/sherlock,CLOSED,4628.572222222222,1,74,9,911,2,4,1
sherlock-project/sherlock,MERGED,5189.193611111111,1,6,0,69,7,12,1
sherlock-project/sherlock,MERGED,289.77,1,1,9,98,2,1,1
sherlock-project/sherlock,MERGED,325.61583333333334,1,7,0,1057,2,0,1
sherlock-project/sherlock,MERGED,344.87055555555554,1,1,0,513,2,0,1
sherlock-project/sherlock,MERGED,938.2216666666667,1,1,2,738,2,0,1
sherlock-project/sherlock,MERGED,944.2041666666667,1,8,0,591,2,0,1
sherlock-project/sherlock,CLOSED,6984.598888888889,2,4,3,223,3,3,1
sherlock-project/sherlock,CLOSED,4799.7236111111115,2,35,13,41,2,0,1
sherlock-project/sherlock,CLOSED,7307.442777777777,2,94,27,24,3,1,1
sherlock-project/sherlock,MERGED,180.14888888888888,1,18,1,609,3,7,2
sherlock-project/sherlock,MERGED,229.7275,1,28,0,367,2,0,1
sherlock-project/sherlock,MERGED,299.12666666666667,1,15,1,263,2,2,1
sherlock-project/sherlock,MERGED,537.4161111111111,1,2,1,318,2,3,1
