repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
sindresorhus/awesome,CLOSED,137.03805555555556,1,1,0,7147,3,1,1
sindresorhus/awesome,CLOSED,4.431666666666667,1,1,1,7223,3,1,1
sindresorhus/awesome,CLOSED,13.96888888888889,1,1,0,7147,3,1,1
sindresorhus/awesome,MERGED,3.921111111111111,1,1,1,168,4,0,2
sindresorhus/awesome,MERGED,462.55305555555555,1,1,0,7154,5,4,3
sindresorhus/awesome,CLOSED,59.23555555555556,1,1,0,7328,5,3,2
sindresorhus/awesome,MERGED,2053.278333333333,1,1,0,7261,12,15,6
sindresorhus/awesome,CLOSED,1274.6066666666666,1,1,0,7217,5,6,2
sindresorhus/awesome,MERGED,2350.6427777777776,1,1,0,7292,10,6,8
sindresorhus/awesome,CLOSED,2518.6291666666666,1,1,0,6812,5,5,2
sindresorhus/awesome,CLOSED,1.1269444444444445,1,1,1,7417,3,1,2
sindresorhus/awesome,MERGED,1106.4705555555556,1,1,0,7634,6,13,7
sindresorhus/awesome,MERGED,3160.802777777778,1,1,0,6578,4,6,3
sindresorhus/awesome,CLOSED,3199.4036111111113,1,1,0,7223,10,6,9
sindresorhus/awesome,CLOSED,224.42444444444445,1,1,0,7291,7,4,5
sindresorhus/awesome,CLOSED,630.7852777777778,1,3,0,7372,8,13,3
sindresorhus/awesome,CLOSED,3814.118611111111,1,1,1,7339,8,9,2
sindresorhus/awesome,CLOSED,7.825555555555556,1,0,0,7147,3,0,1
sindresorhus/awesome,MERGED,2100.393888888889,1,1,0,7283,11,7,8
sindresorhus/awesome,CLOSED,4226.691111111111,1,1,0,7564,6,5,6
sindresorhus/awesome,CLOSED,1505.8722222222223,1,1,0,6462,6,10,10
sindresorhus/awesome,CLOSED,4464.694444444444,1,2,1,6858,5,8,5
sindresorhus/awesome,CLOSED,1720.5736111111112,1,1,0,7445,10,7,5
sindresorhus/awesome,CLOSED,16.6875,1,1,0,7177,3,4,1
sindresorhus/awesome,MERGED,5371.113611111111,1,1,0,7401,5,8,2
sindresorhus/awesome,CLOSED,5375.712777777778,1,1,0,7399,5,14,4
sindresorhus/awesome,MERGED,1294.4516666666666,1,1,0,7453,4,13,2
sindresorhus/awesome,MERGED,1297.7316666666666,1,1,1,7353,7,15,10
sindresorhus/awesome,CLOSED,5512.255,1,1,0,7154,10,7,5
sindresorhus/awesome,CLOSED,5596.044166666667,1,1,0,7237,7,6,2
sindresorhus/awesome,MERGED,5678.191666666667,1,1,0,7315,9,11,5
sindresorhus/awesome,MERGED,5803.576666666667,1,1,0,6661,5,12,3
sindresorhus/awesome,MERGED,6159.775277777778,1,1,0,7365,10,16,7
sindresorhus/awesome,CLOSED,1598.815,1,1,1,7380,5,5,1
sindresorhus/awesome,MERGED,6542.345555555556,1,1,0,7413,11,20,4
sindresorhus/awesome,MERGED,2522.7638888888887,1,1,0,7205,5,15,7
sindresorhus/awesome,MERGED,9.784444444444444,1,1,1,7302,3,0,1
sindresorhus/awesome,CLOSED,6773.483055555555,1,1,0,7424,11,18,7
sindresorhus/awesome,MERGED,7158.0922222222225,1,1,0,7492,6,10,3
sindresorhus/awesome,MERGED,7225.5925,1,1,0,7319,5,12,3
sindresorhus/awesome,CLOSED,4510.490555555555,1,1,0,7592,8,15,4
sindresorhus/awesome,CLOSED,1079.1483333333333,1,1,1,7424,172,9,4
sindresorhus/awesome,CLOSED,2859.103888888889,1,1,0,7148,5,3,1
sindresorhus/awesome,MERGED,3032.6225,1,1,0,6648,7,6,5
sindresorhus/awesome,MERGED,941.8266666666667,1,1,0,7683,5,7,6
sindresorhus/awesome,MERGED,3365.896388888889,1,1,0,6917,5,6,2
sindresorhus/awesome,CLOSED,3402.565,1,1,0,443,7,6,2
sindresorhus/awesome,MERGED,295.9163888888889,1,1,0,6572,6,11,2
sindresorhus/awesome,CLOSED,1856.993888888889,1,1,0,7542,10,8,3
sindresorhus/awesome,CLOSED,35.66222222222222,1,1,1,59,3,2,1
sindresorhus/awesome,MERGED,1704.26,1,1,0,6747,5,11,2
sindresorhus/awesome,CLOSED,497.06666666666666,2,6,3,7234,4,6,1
sindresorhus/awesome,MERGED,5378.859444444444,1,1,0,7404,8,12,1
sindresorhus/awesome,CLOSED,149.81277777777777,1,1,0,7147,3,1,1
sindresorhus/awesome,MERGED,6497.322222222222,1,1,0,7280,7,10,2
sindresorhus/awesome,CLOSED,2808.9630555555555,1,1,0,551,4,4,1
sindresorhus/awesome,MERGED,13038.998055555556,1,1,0,7444,11,31,8
sindresorhus/awesome,MERGED,11799.717777777778,1,1,0,7262,5,9,3
sindresorhus/awesome,CLOSED,189.41166666666666,1,1,0,7301,4,4,2
sindresorhus/awesome,CLOSED,7135.576388888889,1,2,0,7111,3,15,4
sindresorhus/awesome,MERGED,4114.0969444444445,1,1,0,7471,10,18,3
sindresorhus/awesome,CLOSED,7723.115555555555,1,1,0,7331,5,3,3
sindresorhus/awesome,CLOSED,1744.1755555555555,1,1,0,7262,5,4,2
sindresorhus/awesome,CLOSED,1897.0172222222222,1,1,0,7251,4,2,1
sindresorhus/awesome,CLOSED,8069.0552777777775,1,1,0,7214,9,10,2
sindresorhus/awesome,MERGED,9136.573055555555,1,1,0,7263,7,21,12
sindresorhus/awesome,CLOSED,1474.1291666666666,1,1,1,85,6,7,2
sindresorhus/awesome,CLOSED,2639.835,1,1,0,7498,8,9,2
sindresorhus/awesome,MERGED,1.3488888888888888,1,1,1,1368,4,1,1
sindresorhus/awesome,MERGED,5127.973888888889,1,1,0,6825,3,7,3
sindresorhus/awesome,CLOSED,2990.1630555555557,1,1,0,7419,3,4,1
sindresorhus/awesome,CLOSED,3060.061111111111,1,1,0,6963,8,6,2
sindresorhus/awesome,CLOSED,3141.35,1,1,0,7043,6,5,1
sindresorhus/awesome,CLOSED,1.571388888888889,1,34,0,6963,3,2,1
sindresorhus/awesome,CLOSED,751.6766666666666,0,0,0,7098,4,16,1
sindresorhus/awesome,CLOSED,3407.641111111111,1,1,0,7506,9,11,2
sindresorhus/awesome,CLOSED,4310.9525,1,1,0,3587,7,9,4
sindresorhus/awesome,MERGED,1086.405,1,1,0,6994,7,8,2
sindresorhus/awesome,MERGED,4702.898888888889,1,1,0,3444,6,8,3
sindresorhus/awesome,MERGED,1819.4725,1,1,0,7153,5,5,2
sindresorhus/awesome,CLOSED,2832.2986111111113,1,1,0,7637,5,6,1
sindresorhus/awesome,CLOSED,7.884166666666666,1,30,0,8960,3,0,1
sindresorhus/awesome,CLOSED,450.5736111111111,1,1,4,7637,6,13,1
sindresorhus/awesome,CLOSED,4449.953611111111,0,0,0,6950,10,6,5
sindresorhus/awesome,MERGED,5684.443888888889,1,1,0,7097,5,10,1
sindresorhus/awesome,CLOSED,6152.934444444444,1,1,0,7524,5,5,1
sindresorhus/awesome,CLOSED,520.7558333333334,1,1,0,7866,3,4,2
sindresorhus/awesome,CLOSED,6277.207777777778,1,1,0,7246,12,13,2
sindresorhus/awesome,CLOSED,1269.8722222222223,1,1,1,7039,5,14,1
sindresorhus/awesome,MERGED,3409.489722222222,1,1,0,6996,6,11,1
sindresorhus/awesome,CLOSED,8885.679444444444,1,1,0,7116,9,16,9
sindresorhus/awesome,MERGED,6633.136111111111,1,1,0,6921,6,12,1
sindresorhus/awesome,MERGED,3742.3030555555556,1,1,0,7362,4,5,1
sindresorhus/awesome,CLOSED,1074.9102777777778,1,1,0,0,4,3,2
sindresorhus/awesome,CLOSED,359.5811111111111,1,1,0,7075,7,4,2
sindresorhus/awesome,MERGED,4137.448611111111,1,1,0,7247,3,5,2
sindresorhus/awesome,CLOSED,455.54527777777776,1,1,0,7075,7,6,4
sindresorhus/awesome,CLOSED,9839.084444444445,1,1,0,6696,9,8,4
sindresorhus/awesome,MERGED,7429.321388888889,1,1,0,6593,8,16,7
sindresorhus/awesome,MERGED,1125.5638888888889,1,1,0,5933,7,7,7
sindresorhus/awesome,CLOSED,4685.705,1,1,0,6975,7,8,3
sindresorhus/awesome,CLOSED,7688.23,1,1,0,7610,5,12,4
sindresorhus/awesome,CLOSED,7850.978611111111,1,1,0,6954,9,16,11
sindresorhus/awesome,MERGED,1055.9544444444443,1,1,0,7049,6,15,3
sindresorhus/awesome,MERGED,3.7905555555555557,1,0,1,62,3,0,1
sindresorhus/awesome,CLOSED,14401.382222222222,1,1,0,7083,6,13,3
sindresorhus/awesome,CLOSED,2532.931111111111,1,1,0,6901,7,4,3
sindresorhus/awesome,CLOSED,526.34,1,1,0,7270,3,5,2
sindresorhus/awesome,CLOSED,5088.862222222222,1,1,0,7098,6,12,3
sindresorhus/awesome,CLOSED,5543.081111111111,1,1,0,7035,4,11,1
sindresorhus/awesome,CLOSED,5547.033333333334,1,1,0,7250,6,16,5
sindresorhus/awesome,MERGED,3325.4527777777776,1,1,0,7059,5,8,1
sindresorhus/awesome,CLOSED,6144.035277777778,1,1,0,6959,5,23,2
sindresorhus/awesome,CLOSED,3646.1769444444444,1,1,0,6776,7,18,6
sindresorhus/awesome,CLOSED,2286.9177777777777,0,0,0,149,7,11,3
sindresorhus/awesome,CLOSED,473.44083333333333,1,1,0,6819,4,5,1
sindresorhus/awesome,MERGED,3543.2502777777777,1,1,0,7188,7,11,5
sindresorhus/awesome,MERGED,3919.920833333333,1,1,0,6895,11,12,7
sindresorhus/awesome,CLOSED,2578.634722222222,1,1,0,7477,4,13,1
sindresorhus/awesome,CLOSED,2643.083611111111,1,1,0,6847,10,9,4
sindresorhus/awesome,CLOSED,15.4625,1,1,0,135,3,3,1
sindresorhus/awesome,MERGED,2813.2008333333333,1,1,0,7172,6,11,6
sindresorhus/awesome,MERGED,4522.894444444444,1,1,0,7395,4,11,3
sindresorhus/awesome,MERGED,4534.9025,1,1,0,6956,6,11,4
sindresorhus/awesome,CLOSED,4582.0475,1,1,0,7221,9,8,5
sindresorhus/awesome,MERGED,3212.779722222222,1,1,0,6949,5,12,1
sindresorhus/awesome,MERGED,1727.3680555555557,1,1,0,7396,5,10,3
sindresorhus/awesome,CLOSED,4876.000277777778,1,1,0,6818,9,7,2
sindresorhus/awesome,CLOSED,5060.601944444445,1,2,0,7116,8,25,12
sindresorhus/awesome,MERGED,3665.4958333333334,1,1,0,3248,6,11,3
sindresorhus/awesome,CLOSED,5129.769444444444,1,1,0,7039,5,6,1
sindresorhus/awesome,CLOSED,551.3288888888889,1,1,1,6960,3,3,1
sindresorhus/awesome,MERGED,963.4255555555555,1,1,0,6431,7,8,5
sindresorhus/awesome,MERGED,4441.271111111111,1,1,0,8301,8,21,10
sindresorhus/awesome,CLOSED,2348.2144444444443,1,26,0,6844,4,2,2
sindresorhus/awesome,CLOSED,5664.508333333333,1,1,0,6857,4,5,8
sindresorhus/awesome,CLOSED,4311.795833333334,1,1,0,541,6,3,3
sindresorhus/awesome,CLOSED,3266.123611111111,1,1,0,6802,6,10,2
sindresorhus/awesome,MERGED,2823.54,1,1,0,6827,4,18,2
sindresorhus/awesome,MERGED,6271.0858333333335,1,1,0,7526,6,11,3
sindresorhus/awesome,CLOSED,3151.14,1,1,0,6752,5,3,1
sindresorhus/awesome,MERGED,3378.68,1,1,0,6911,6,7,4
sindresorhus/awesome,CLOSED,9298.026666666667,1,1,0,7152,8,14,10
sindresorhus/awesome,CLOSED,3385.6105555555555,1,1,0,675,7,8,3
sindresorhus/awesome,MERGED,9377.950555555555,1,1,0,6806,4,14,5
sindresorhus/awesome,MERGED,2327.8555555555554,1,1,0,6869,9,12,9
sindresorhus/awesome,MERGED,5258.686388888889,1,1,0,6901,7,16,6
sindresorhus/awesome,MERGED,1976.8544444444444,1,1,0,6917,6,12,2
sindresorhus/awesome,CLOSED,176.76722222222222,0,0,0,6965,3,0,4
sindresorhus/awesome,CLOSED,5465.780833333333,1,1,0,331,5,8,3
sindresorhus/awesome,CLOSED,8.805,1,1,0,6777,2,2,1
sindresorhus/awesome,CLOSED,149.14111111111112,1,1,0,6964,4,8,1
sindresorhus/awesome,CLOSED,2949.1016666666665,1,1,0,290,5,10,3
sindresorhus/awesome,MERGED,19.066388888888888,1,2,2,0,3,0,1
sindresorhus/awesome,MERGED,5029.945833333333,1,1,0,6952,8,19,3
sindresorhus/awesome,MERGED,3707.3780555555554,1,1,0,7012,6,22,9
sindresorhus/awesome,MERGED,331.44305555555553,1,1,0,14870,4,10,1
sindresorhus/awesome,CLOSED,8355.746944444445,1,1,0,7018,9,14,5
sindresorhus/awesome,CLOSED,5177.3825,1,2,0,7124,6,9,2
sindresorhus/awesome,MERGED,3459.344722222222,1,1,0,7281,6,6,2
sindresorhus/awesome,CLOSED,15.225277777777778,1,1,0,6799,5,1,2
sindresorhus/awesome,CLOSED,5500.6322222222225,1,1,0,6760,4,2,2
sindresorhus/awesome,CLOSED,5628.4094444444445,1,1,0,7539,6,11,3
sindresorhus/awesome,CLOSED,8762.934166666666,1,1,0,6920,6,18,6
sindresorhus/awesome,MERGED,3674.817777777778,1,1,0,6949,7,11,1
sindresorhus/awesome,CLOSED,3970.822777777778,1,1,0,6945,7,8,2
sindresorhus/awesome,MERGED,4118.558333333333,1,1,0,7193,6,7,2
sindresorhus/awesome,CLOSED,6042.081111111111,1,1,0,6798,6,7,1
sindresorhus/awesome,CLOSED,2826.8544444444447,1,1,0,6765,6,3,2
sindresorhus/awesome,MERGED,442.4241666666667,1,1,0,6895,3,7,4
sindresorhus/awesome,MERGED,380.68694444444446,1,1,0,6957,4,5,1
sindresorhus/awesome,MERGED,387.21194444444444,1,1,0,7002,5,6,5
sindresorhus/awesome,CLOSED,6361.080277777778,1,1,0,7191,4,7,3
sindresorhus/awesome,CLOSED,627.2888888888889,1,2,0,85,5,4,1
sindresorhus/awesome,MERGED,636.6247222222222,1,1,0,7282,6,7,2
sindresorhus/awesome,MERGED,9.358333333333333,1,1,1,7120,4,1,2
sindresorhus/awesome,MERGED,1703.8341666666668,1,1,0,6901,7,7,3
sindresorhus/awesome,MERGED,1893.0727777777777,1,1,0,7181,7,11,2
sindresorhus/awesome,CLOSED,2.8144444444444443,1,1,0,6718,3,2,1
sindresorhus/awesome,MERGED,2351.2786111111113,1,1,0,6734,5,13,3
sindresorhus/awesome,CLOSED,2442.9794444444447,1,4,0,6981,5,4,3
sindresorhus/awesome,CLOSED,2595.4127777777776,1,1,0,6858,5,7,1
sindresorhus/awesome,MERGED,1.0466666666666666,1,0,1,6717,3,1,2
sindresorhus/awesome,CLOSED,28.746666666666666,1,1,0,4648,4,6,1
sindresorhus/awesome,MERGED,2641.0575,1,1,0,7852,3,6,3
sindresorhus/awesome,MERGED,4.148611111111111,1,1,1,6895,3,0,1
sindresorhus/awesome,MERGED,5602.881666666667,1,1,1,6824,5,14,2
sindresorhus/awesome,CLOSED,2885.058611111111,1,1,0,6967,7,7,5
sindresorhus/awesome,CLOSED,7020.2716666666665,1,1,0,6738,11,19,9
sindresorhus/awesome,MERGED,469.1775,1,1,0,7155,4,13,1
sindresorhus/awesome,CLOSED,5930.287777777778,0,0,0,6862,6,16,1
sindresorhus/awesome,MERGED,3325.319722222222,1,1,0,6764,5,9,1
sindresorhus/awesome,MERGED,733.1452777777778,1,1,0,6852,4,13,1
sindresorhus/awesome,MERGED,597.5233333333333,1,1,0,13875,3,5,2
sindresorhus/awesome,CLOSED,1002.6341666666667,1,1,1,6812,8,16,1
sindresorhus/awesome,MERGED,1163.921111111111,1,1,0,6992,7,9,1
sindresorhus/awesome,CLOSED,5879.811111111111,1,1,0,8102,4,19,1
sindresorhus/awesome,MERGED,5394.866111111111,1,1,0,6976,8,12,3
sindresorhus/awesome,MERGED,2344.8830555555555,1,1,0,8084,8,19,4
sindresorhus/awesome,MERGED,2415.6583333333333,1,1,0,6784,5,6,2
sindresorhus/awesome,MERGED,3443.7119444444443,1,1,0,6919,4,8,1
sindresorhus/awesome,CLOSED,1534.495,1,1,0,6755,4,9,2
sindresorhus/awesome,CLOSED,4093.9016666666666,1,1,0,6762,5,7,3
sindresorhus/awesome,MERGED,305.54,1,1,0,7073,2,2,3
sindresorhus/awesome,MERGED,16.0425,2,1,2,6820,3,3,1
sindresorhus/awesome,CLOSED,6722.2225,1,1,0,6925,7,17,6
sindresorhus/awesome,MERGED,816.7430555555555,1,1,0,7,4,10,2
sindresorhus/awesome,CLOSED,25.427777777777777,1,1,0,906,4,1,1
sindresorhus/awesome,MERGED,676.9169444444444,1,1,0,6039,4,10,2
sindresorhus/awesome,CLOSED,5928.076944444444,1,1,0,6574,12,23,5
sindresorhus/awesome,MERGED,940.7144444444444,1,1,0,6868,3,4,4
sindresorhus/awesome,MERGED,8931.882222222222,1,1,0,6611,5,14,2
sindresorhus/awesome,CLOSED,1589.6841666666667,1,1,0,6321,3,6,2
sindresorhus/awesome,MERGED,515.6605555555556,1,1,0,7665,3,8,5
sindresorhus/awesome,CLOSED,1262.7069444444444,1,27,0,6493,4,7,2
sindresorhus/awesome,CLOSED,3044.781111111111,1,1,0,6949,4,13,2
sindresorhus/awesome,CLOSED,1956.638611111111,1,1,0,6692,4,13,4
sindresorhus/awesome,CLOSED,1556.2372222222223,1,1,0,6537,6,6,1
sindresorhus/awesome,CLOSED,1293.5291666666667,1,1,0,6470,4,2,2
sindresorhus/awesome,CLOSED,2613.0125,1,1,0,1119,4,2,1
sindresorhus/awesome,MERGED,879.8336111111112,1,1,0,6903,3,13,2
sindresorhus/awesome,CLOSED,1604.631388888889,1,1,0,6470,5,7,2
