repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
spring-projects/spring-boot,CLOSED,117.7625,6,49,142,726,5,8,11
spring-projects/spring-boot,CLOSED,26.5225,2,20,1,514,4,3,3
spring-projects/spring-boot,CLOSED,42.17888888888889,21,64,62,629,6,8,1
spring-projects/spring-boot,CLOSED,97.96722222222222,4,21,4,593,5,6,8
spring-projects/spring-boot,CLOSED,917.2483333333333,5,112,2,401,5,12,1
spring-projects/spring-boot,CLOSED,28.501944444444444,2,29,31,86,3,1,1
spring-projects/spring-boot,CLOSED,66.01555555555555,5,124,2,962,3,5,1
spring-projects/spring-boot,CLOSED,929.7663888888889,7,392,0,368,3,3,9
spring-projects/spring-boot,CLOSED,2.152222222222222,1,9,0,1389,3,2,1
spring-projects/spring-boot,CLOSED,133.58027777777778,1,1,2,0,3,0,2
spring-projects/spring-boot,CLOSED,1131.2316666666666,23,1018,8,1944,3,2,2
spring-projects/spring-boot,CLOSED,1170.9711111111112,9,231,2,951,3,6,2
spring-projects/spring-boot,CLOSED,69.87055555555555,6,21,21,23,4,0,6
spring-projects/spring-boot,CLOSED,61.459722222222226,1,1,1,523,5,2,1
spring-projects/spring-boot,CLOSED,2102.0180555555557,5,163,11,686,4,3,4
spring-projects/spring-boot,CLOSED,1143.335,3,161,59,1409,4,5,2
spring-projects/spring-boot,CLOSED,1839.9911111111112,4,36,14,239,6,3,3
spring-projects/spring-boot,CLOSED,66.40444444444445,2,3,8,142,3,2,2
spring-projects/spring-boot,CLOSED,1413.1236111111111,2,38,33,3374,5,5,3
spring-projects/spring-boot,CLOSED,50.75861111111111,3,63,0,105,4,5,1
spring-projects/spring-boot,CLOSED,258.03777777777776,11,75,171,176,4,2,11
spring-projects/spring-boot,CLOSED,38.278333333333336,7,105,0,6,3,0,1
spring-projects/spring-boot,CLOSED,340.6697222222222,6,159,32,82,3,6,4
