repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
strapi/strapi,MERGED,2.2472222222222222,1,8,4,673,3,1,1
strapi/strapi,MERGED,1.6033333333333333,4,96,57,583,2,3,3
strapi/strapi,MERGED,1.1019444444444444,2,2,2,179,2,6,1
strapi/strapi,MERGED,1.7275,5,686,656,390,4,2,4
strapi/strapi,MERGED,15.480555555555556,1,7,2,327,2,2,2
strapi/strapi,MERGED,18.07,5,93,25,760,2,2,2
strapi/strapi,MERGED,72.79833333333333,3,334,13,333,2,4,1
strapi/strapi,MERGED,22.869444444444444,3,16,0,651,3,4,2
strapi/strapi,MERGED,5.053055555555556,6,123,33,560,2,2,1
strapi/strapi,MERGED,3.310277777777778,1,18,15,262,4,2,5
strapi/strapi,MERGED,28.32,12,118,55,1019,2,4,7
strapi/strapi,MERGED,76.9425,11,1229,45,2636,4,3,2
strapi/strapi,MERGED,21.23361111111111,23,108,80,192,4,3,5
strapi/strapi,MERGED,265.7816666666667,106,3487,1954,1457,6,8,32
strapi/strapi,MERGED,3.636388888888889,2,9,7,465,4,3,2
strapi/strapi,CLOSED,100.69305555555556,3,23,12,1486,1,2,1
strapi/strapi,MERGED,25.232777777777777,1,2,2,471,2,2,1
strapi/strapi,MERGED,51.4625,21,412,418,407,3,3,1
strapi/strapi,MERGED,218.27444444444444,26,630,261,249,4,3,8
strapi/strapi,MERGED,99.18305555555555,3,14,7,639,4,9,2
strapi/strapi,MERGED,429.785,40,2365,213,286,9,3,3
strapi/strapi,MERGED,137.43027777777777,4,245,26,1019,4,4,1
strapi/strapi,MERGED,187.0611111111111,14,346,57,1505,6,3,19
strapi/strapi,MERGED,4.633333333333334,14,349,220,132,3,2,5
strapi/strapi,MERGED,24.403055555555557,2,138,1,643,4,7,2
strapi/strapi,MERGED,24.721666666666668,68,984,579,286,5,3,1
strapi/strapi,MERGED,1.7158333333333333,4,201,34,1340,2,3,1
strapi/strapi,MERGED,44.82222222222222,6,183,132,510,3,5,4
strapi/strapi,MERGED,24.116666666666667,4,317,29,182,4,3,1
strapi/strapi,MERGED,3.0,8,611,34,286,3,2,6
strapi/strapi,MERGED,22.030833333333334,2,52,28,1045,2,1,1
strapi/strapi,MERGED,17.804444444444446,9,101,32,740,2,2,3
strapi/strapi,MERGED,2.1355555555555554,3,114,3,326,2,2,3
strapi/strapi,MERGED,1.7761111111111112,1,47,51,314,2,2,1
strapi/strapi,MERGED,3.0869444444444443,15,608,480,650,2,4,4
strapi/strapi,MERGED,171.41972222222222,10,629,272,818,2,2,4
strapi/strapi,MERGED,90.97222222222223,22,1353,405,480,2,4,3
strapi/strapi,MERGED,313.6011111111111,7,292,2,1483,4,7,2
strapi/strapi,MERGED,17.413888888888888,75,2144,502,0,8,3,1
strapi/strapi,MERGED,307.1697222222222,60,5550,444,3448,3,7,1
strapi/strapi,MERGED,1.7863888888888888,5,15,13,353,2,2,1
strapi/strapi,MERGED,18.075555555555557,11,52,72,520,3,3,3
strapi/strapi,MERGED,186.89694444444444,1,2,2,347,2,2,1
strapi/strapi,MERGED,3.696388888888889,1,0,44,179,2,3,1
strapi/strapi,MERGED,96.01305555555555,8,325,85,1164,2,3,6
strapi/strapi,MERGED,93.68916666666667,1,36,44,454,2,2,1
strapi/strapi,MERGED,6.110555555555556,4,142,29,607,2,2,2
strapi/strapi,MERGED,431.8675,7,1240,17,712,6,21,5
strapi/strapi,MERGED,14.08611111111111,1,28,7,134,3,1,3
strapi/strapi,MERGED,91.01277777777777,1,43,0,1208,5,8,1
strapi/strapi,MERGED,2.4402777777777778,49,707,379,31,3,3,1
strapi/strapi,MERGED,149.55555555555554,30,1818,387,1831,2,2,6
strapi/strapi,CLOSED,113.11805555555556,2,34,0,797,5,2,3
strapi/strapi,MERGED,1.2347222222222223,62,987,517,30,4,2,1
strapi/strapi,MERGED,145.39277777777778,2,31,29,226,3,3,2
strapi/strapi,MERGED,54.69833333333333,14,1558,55,1323,3,12,6
strapi/strapi,MERGED,1.6566666666666667,4,227,166,250,2,3,1
strapi/strapi,MERGED,4.267222222222222,2,5,5,244,2,2,3
strapi/strapi,MERGED,976.3669444444445,2,8,1,694,4,8,1
strapi/strapi,MERGED,16.059722222222224,1,3,0,209,2,2,1
strapi/strapi,MERGED,1.6691666666666667,5,38,8,461,2,3,1
strapi/strapi,MERGED,1.9736111111111112,1,4,3,442,2,2,1
strapi/strapi,MERGED,2.528611111111111,80,1191,1393,14,8,3,2
strapi/strapi,MERGED,49.19138888888889,4,110,10,170,2,2,2
strapi/strapi,MERGED,118.60388888888889,2,52,7,173,2,2,2
strapi/strapi,MERGED,315.9013888888889,23,431,491,242,3,3,5
strapi/strapi,MERGED,232.6313888888889,10,19,13,901,3,2,2
strapi/strapi,MERGED,1.0991666666666666,1,2,2,190,2,2,1
strapi/strapi,MERGED,287.66555555555556,5,346,18,2225,9,30,5
strapi/strapi,MERGED,166.77305555555554,21,386,65,2072,3,5,2
strapi/strapi,MERGED,166.96833333333333,6,389,117,656,2,7,6
strapi/strapi,MERGED,138.835,13,206,46,1010,4,4,26
strapi/strapi,MERGED,136.75222222222223,7,37,11,530,3,4,4
strapi/strapi,MERGED,142.70083333333332,4,37,4,1467,6,6,6
strapi/strapi,MERGED,480.6838888888889,1,1,1,144,3,3,1
strapi/strapi,MERGED,25.0425,1,38,16,972,4,2,6
strapi/strapi,MERGED,168.57333333333332,5,55,29,305,4,5,18
strapi/strapi,MERGED,91.98916666666666,1,31,6,262,4,3,9
strapi/strapi,MERGED,125.96666666666667,8,450,153,669,4,9,17
strapi/strapi,MERGED,25.164166666666667,3,84,5,404,3,4,3
strapi/strapi,MERGED,169.9763888888889,4,344,1,680,3,3,3
strapi/strapi,MERGED,21.111944444444443,78,1093,479,0,5,3,1
strapi/strapi,MERGED,1.7225,5,7,7,312,2,2,3
strapi/strapi,MERGED,688.7091666666666,3,21,10,282,3,4,3
strapi/strapi,MERGED,40.93527777777778,7,95,24,1574,3,3,2
strapi/strapi,MERGED,41.13638888888889,1,2,3,422,4,2,1
strapi/strapi,MERGED,2.069166666666667,3,116,5,297,2,3,3
strapi/strapi,MERGED,167.7436111111111,10,275,129,1091,4,3,6
strapi/strapi,MERGED,454.1713888888889,4,351,0,345,2,3,3
strapi/strapi,MERGED,483.3988888888889,7,372,13,220,3,4,4
strapi/strapi,MERGED,134.69805555555556,2,218,5,984,2,6,9
strapi/strapi,MERGED,356.27694444444444,4,25,1,538,3,4,3
strapi/strapi,MERGED,1.1930555555555555,1,9,12,245,2,1,1
strapi/strapi,MERGED,24.955,1,7,4,1948,2,2,1
strapi/strapi,MERGED,25.816388888888888,4,107,1,421,3,2,9
strapi/strapi,MERGED,192.0338888888889,25,974,827,1191,3,15,15
strapi/strapi,MERGED,401.06138888888887,12,893,1,1017,5,4,9
strapi/strapi,MERGED,21.420277777777777,2,91,0,1467,6,8,7
strapi/strapi,CLOSED,717.3502777777778,26,1152,215,0,1,1,1
strapi/strapi,MERGED,148.72416666666666,17,269,241,791,3,10,27
strapi/strapi,MERGED,327.63055555555553,40,1692,986,471,2,3,1
strapi/strapi,MERGED,4.526111111111111,4,177,88,895,2,1,4
strapi/strapi,MERGED,360.89944444444444,7,37,3,547,4,3,1
strapi/strapi,MERGED,65.5838888888889,1,3,0,494,2,2,1
strapi/strapi,MERGED,97.92777777777778,4,526,0,1065,4,3,5
strapi/strapi,MERGED,143.02555555555554,8,156,33,2054,3,2,3
strapi/strapi,MERGED,147.3563888888889,9,362,66,1120,3,3,9
strapi/strapi,MERGED,262.6436111111111,5,5,7,140,2,3,1
strapi/strapi,MERGED,1.0069444444444444,1,85,1,511,2,1,1
strapi/strapi,MERGED,1.1719444444444445,7,17,15,159,3,4,8
strapi/strapi,MERGED,23.32138888888889,1,1,1,523,2,2,1
strapi/strapi,MERGED,138.07916666666668,7,23,3,355,4,2,3
strapi/strapi,MERGED,2.216666666666667,304,7919,2743,14,15,2,1
strapi/strapi,MERGED,127.91277777777778,22,894,363,768,3,6,31
strapi/strapi,MERGED,43.833888888888886,23,515,0,246,3,3,4
strapi/strapi,MERGED,4.335833333333333,2,362,92,223,3,1,2
strapi/strapi,MERGED,26.75861111111111,2,26,11,485,2,3,1
strapi/strapi,MERGED,1701.6155555555556,1,1,1,157,2,1,1
strapi/strapi,MERGED,21.487222222222222,3,96,70,276,3,3,2
strapi/strapi,MERGED,3.4080555555555554,2,299,23,428,3,2,3
strapi/strapi,MERGED,2.821388888888889,1,1,1,621,2,3,1
strapi/strapi,MERGED,70.64805555555556,2,103,4,796,6,8,1
strapi/strapi,MERGED,93.68777777777778,145,5730,313,830,4,4,1
