repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
supabase/supabase,MERGED,5.814722222222223,16,130,116,2123,4,4,4
supabase/supabase,MERGED,17.49,1,227,0,1682,2,2,1
supabase/supabase,MERGED,20.789444444444445,6,749,147,261,2,2,1
supabase/supabase,MERGED,1.1861111111111111,1,1,3,665,2,2,1
supabase/supabase,MERGED,7.748055555555555,14,37550,29461,274,2,2,1
supabase/supabase,MERGED,8.37111111111111,21,977,619,180,3,4,1
supabase/supabase,MERGED,17.868055555555557,1,70,54,487,3,4,1
supabase/supabase,MERGED,25.93166666666667,4,35,12,0,3,4,1
supabase/supabase,MERGED,18.54888888888889,10,28,55,695,3,4,1
supabase/supabase,MERGED,17.733333333333334,7,43,8,31,3,4,1
supabase/supabase,MERGED,19.672777777777778,5,30,42,186,4,3,4
supabase/supabase,MERGED,2.881666666666667,20,450,226,1591,3,4,2
supabase/supabase,MERGED,6.585833333333333,7,253,42,1004,2,3,14
supabase/supabase,MERGED,36.10305555555556,12,195,16,281,4,3,2
supabase/supabase,MERGED,3.1847222222222222,1,15,13,177,2,2,1
supabase/supabase,MERGED,23.586111111111112,1,1,0,285,2,3,1
supabase/supabase,MERGED,21.219444444444445,1,6,0,148,2,2,3
supabase/supabase,MERGED,10.916666666666666,2,19,11,378,3,4,1
supabase/supabase,MERGED,16.4475,4,136,5,241,3,3,1
supabase/supabase,MERGED,18.150277777777777,1,1,1,502,2,4,1
supabase/supabase,MERGED,37.92722222222222,3,9,256,243,3,4,1
supabase/supabase,MERGED,1.281111111111111,1,1,1,75,4,4,2
supabase/supabase,MERGED,2.168888888888889,2,69,29,373,3,4,3
supabase/supabase,MERGED,22.569166666666668,5,815,198,405,3,5,1
supabase/supabase,MERGED,43.53277777777778,17,330,148,1364,3,3,13
supabase/supabase,MERGED,2.4452777777777777,2,2,2,223,4,3,2
supabase/supabase,MERGED,4.237777777777778,7,16,74,113,3,3,2
supabase/supabase,MERGED,13.800833333333333,1,0,1,0,3,2,2
supabase/supabase,MERGED,2.0,1,1,1,117,2,2,1
supabase/supabase,MERGED,1.67,26,381,0,0,2,2,1
supabase/supabase,MERGED,83.77805555555555,1,1,1,556,3,2,1
supabase/supabase,MERGED,1.9569444444444444,1,1,1,192,2,3,1
supabase/supabase,MERGED,65.61194444444445,38,253,264,973,2,3,1
supabase/supabase,MERGED,69.98138888888889,4,179,6,1247,3,4,1
supabase/supabase,MERGED,104.3775,1,1,1,101,3,3,1
supabase/supabase,MERGED,9.763333333333334,1,6,2,458,3,2,1
supabase/supabase,MERGED,93.79222222222222,10,592,6,279,4,3,3
supabase/supabase,MERGED,18.352777777777778,1,1,0,228,2,4,1
supabase/supabase,MERGED,14.286388888888888,3,566,35,124,3,3,1
supabase/supabase,MERGED,6.015833333333333,3,27,14,580,3,3,1
supabase/supabase,MERGED,102.8325,7,64,88,905,3,2,6
supabase/supabase,MERGED,17.0775,3,10,8,71,2,3,1
supabase/supabase,MERGED,137.00472222222223,4,315,14,244,3,3,1
supabase/supabase,MERGED,19.649722222222223,24,188390,186672,197,2,2,1
