repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
sveltejs/svelte,MERGED,1.666111111111111,8,16,27,694,1,0,1
sveltejs/svelte,MERGED,1.6944444444444444,4,40,1,1100,2,2,1
sveltejs/svelte,MERGED,1.3533333333333333,1,38,7,829,2,2,1
sveltejs/svelte,MERGED,1.1688888888888889,4,8,7,381,1,0,1
sveltejs/svelte,MERGED,40.43194444444445,7,41,2,661,2,2,1
sveltejs/svelte,MERGED,56.75388888888889,3,8,6,661,2,2,1
sveltejs/svelte,MERGED,81.37972222222223,4,21,1,726,2,2,2
sveltejs/svelte,MERGED,7.3775,1,1,1,0,3,3,1
sveltejs/svelte,MERGED,5.666111111111111,7,14,22,601,1,1,1
sveltejs/svelte,MERGED,16.87388888888889,10,40,10,963,3,3,6
sveltejs/svelte,MERGED,5.833333333333333,8,19,8,673,3,3,3
sveltejs/svelte,MERGED,18.85,8,208,144,1442,3,5,7
sveltejs/svelte,MERGED,60.71222222222222,3,23,14,172,2,3,2
sveltejs/svelte,MERGED,16.828611111111112,4,30,1,673,2,2,1
sveltejs/svelte,MERGED,17.203611111111112,5,23,1,661,2,2,1
sveltejs/svelte,MERGED,2.9827777777777778,1,0,2,865,2,3,1
sveltejs/svelte,MERGED,96.87694444444445,4,21,2,708,2,3,1
sveltejs/svelte,MERGED,107.41472222222222,5,55,13,680,2,3,1
sveltejs/svelte,MERGED,16.656111111111112,4,17,31,655,2,2,1
sveltejs/svelte,MERGED,1.3652777777777778,4,12,1,672,2,2,1
sveltejs/svelte,MERGED,8.529166666666667,1,1,1,49,3,3,3
sveltejs/svelte,MERGED,15.34,1,1,1,694,3,5,1
sveltejs/svelte,MERGED,19.76888888888889,7,14,22,636,1,1,1
sveltejs/svelte,MERGED,3.0230555555555556,6,119,5,1546,2,2,1
sveltejs/svelte,MERGED,2.4258333333333333,1,21,19,74,3,3,5
sveltejs/svelte,MERGED,26.364444444444445,9,172,66,1082,3,6,4
sveltejs/svelte,MERGED,2.192222222222222,3,7,2,712,2,2,1
sveltejs/svelte,MERGED,2.868333333333333,5,10,12,480,1,0,1
sveltejs/svelte,MERGED,3.9844444444444442,7,25,1,673,2,2,1
sveltejs/svelte,MERGED,3.702777777777778,4,8,7,391,1,0,1
sveltejs/svelte,MERGED,3.2855555555555553,8,99,7,861,2,2,1
sveltejs/svelte,MERGED,5.5875,5,10,12,407,1,0,1
sveltejs/svelte,MERGED,29.41638888888889,34,546,509,1753,2,4,14
sveltejs/svelte,MERGED,322.7225,1,3,3,1079,4,8,2
sveltejs/svelte,MERGED,1.4083333333333334,5,10,12,446,1,1,1
sveltejs/svelte,MERGED,52.455,5,12,12,432,1,1,1
sveltejs/svelte,MERGED,1.9533333333333334,5,13,1,661,3,2,1
sveltejs/svelte,MERGED,2.743888888888889,6,2,20,14,2,2,1
sveltejs/svelte,MERGED,15.381666666666666,17,66,86,0,2,2,1
sveltejs/svelte,MERGED,9.02111111111111,1,3,3,59,2,1,1
sveltejs/svelte,MERGED,165.8863888888889,181,2638,901,647,5,3,59
sveltejs/svelte,MERGED,168.08083333333335,5,62,2,874,2,3,1
sveltejs/svelte,MERGED,170.9113888888889,3,0,3,132,2,2,1
sveltejs/svelte,MERGED,8.803888888888888,8,16,27,641,1,1,1
sveltejs/svelte,MERGED,7.706944444444445,6,38,27,872,2,3,1
sveltejs/svelte,MERGED,15.190555555555555,26,91,77,685,2,6,1
sveltejs/svelte,MERGED,36.588055555555556,9,76,2,765,3,4,2
sveltejs/svelte,MERGED,1.4530555555555555,4,8,7,394,1,0,1
sveltejs/svelte,MERGED,1.7722222222222221,1,1,2,729,2,2,1
sveltejs/svelte,CLOSED,15.198611111111111,7,214,28,1688,3,2,4
sveltejs/svelte,CLOSED,131.50055555555556,1,1,1,616,3,4,1
sveltejs/svelte,MERGED,161.35166666666666,5,25,1,661,2,3,1
sveltejs/svelte,MERGED,48.99194444444444,1,44,2,570,7,10,13
sveltejs/svelte,MERGED,58.01972222222222,5,54,0,660,2,2,1
sveltejs/svelte,MERGED,8.750277777777777,2,7,2,884,2,2,1
sveltejs/svelte,MERGED,131.23166666666665,6,12,17,515,1,1,1
sveltejs/svelte,MERGED,43.72083333333333,2,24,8,661,3,4,1
sveltejs/svelte,MERGED,38.860277777777775,1,1,1,360,3,3,3
sveltejs/svelte,MERGED,21.683888888888887,4,8,7,390,1,0,1
sveltejs/svelte,MERGED,7.285555555555556,6,43,3,1073,2,2,1
sveltejs/svelte,MERGED,1.6622222222222223,12,188,3,1163,2,2,1
sveltejs/svelte,MERGED,11.764444444444445,8,16,27,674,1,0,1
sveltejs/svelte,MERGED,2.2713888888888887,5,37,3,661,2,2,1
sveltejs/svelte,MERGED,2.0947222222222224,4,32,1,724,2,3,1
sveltejs/svelte,MERGED,141.3838888888889,7,91,7,866,3,11,1
sveltejs/svelte,MERGED,89.32027777777778,2,11,1,841,2,2,1
sveltejs/svelte,MERGED,91.41388888888889,22,328,48,1418,3,7,1
sveltejs/svelte,MERGED,124.21333333333334,8,16,27,621,1,1,1
sveltejs/svelte,MERGED,2.3716666666666666,10,90,80,84,2,4,1
sveltejs/svelte,MERGED,35.12305555555555,7,73,18,1665,3,3,3
sveltejs/svelte,MERGED,6.041944444444445,9,36,66,65,2,4,1
sveltejs/svelte,MERGED,215.05638888888888,2,39,23,7828,2,2,1
sveltejs/svelte,MERGED,22.371111111111112,6,52,5,249,4,4,3
sveltejs/svelte,MERGED,2.8247222222222224,4,48,4,661,3,11,1
sveltejs/svelte,MERGED,101.35416666666667,11,131,44,887,2,7,1
sveltejs/svelte,MERGED,16.58388888888889,2,23,9,662,3,7,1
sveltejs/svelte,CLOSED,101.09555555555555,5,50,1,948,1,4,1
sveltejs/svelte,MERGED,161.5522222222222,6,12,17,520,1,0,2
sveltejs/svelte,MERGED,2.901388888888889,2,157,1,105,3,2,3
sveltejs/svelte,MERGED,2.298888888888889,6,43,1,917,2,2,3
sveltejs/svelte,MERGED,380.8808333333333,4,32,4,938,2,5,1
sveltejs/svelte,MERGED,35.80083333333334,2,6,1,714,2,1,1
sveltejs/svelte,MERGED,117.9175,6,12,17,534,1,0,1
sveltejs/svelte,MERGED,17.271944444444443,7,16,22,603,1,1,1
sveltejs/svelte,MERGED,23.10333333333333,1,1,1,152,2,3,1
sveltejs/svelte,MERGED,1.6419444444444444,1,1,1,773,2,3,1
sveltejs/svelte,MERGED,9.421666666666667,12,19,19,1429,2,3,1
sveltejs/svelte,MERGED,8.782777777777778,4,8,7,402,1,0,1
sveltejs/svelte,MERGED,1.6880555555555556,4,33,1,661,2,2,1
sveltejs/svelte,MERGED,108.19916666666667,19,142,48,1313,2,3,5
sveltejs/svelte,MERGED,121.35111111111111,6,35,10,833,2,3,1
sveltejs/svelte,MERGED,1.0877777777777777,1,2,0,758,2,3,1
sveltejs/svelte,MERGED,15.468333333333334,7,14,22,661,1,0,1
sveltejs/svelte,MERGED,8.716666666666667,2,14,0,965,4,6,1
sveltejs/svelte,MERGED,13.658611111111112,3,9,4,661,2,2,4
sveltejs/svelte,MERGED,18.283333333333335,2,13,6,1109,2,2,1
sveltejs/svelte,MERGED,174.57777777777778,8,142,1,832,2,3,1
sveltejs/svelte,MERGED,20.677777777777777,8,45,8,840,3,5,3
sveltejs/svelte,MERGED,22.100555555555555,4,75,2,661,3,3,2
sveltejs/svelte,MERGED,25.26388888888889,8,16,27,631,1,1,1
sveltejs/svelte,MERGED,6.658611111111111,3,5,15,342,2,2,1
sveltejs/svelte,MERGED,8.363333333333333,10,90,11,997,2,6,1
sveltejs/svelte,MERGED,19.424722222222222,6,8,8,672,2,3,1
sveltejs/svelte,MERGED,10.885555555555555,5,12,12,446,1,1,1
sveltejs/svelte,MERGED,6.3675,7,56,1,661,2,3,1
sveltejs/svelte,MERGED,4.019166666666667,6,82,8,661,2,6,3
sveltejs/svelte,MERGED,11.005,5,10,12,452,1,1,1
sveltejs/svelte,MERGED,339.0877777777778,28,125,68,1054,6,13,8
sveltejs/svelte,MERGED,3.428888888888889,7,14,22,567,1,0,1
sveltejs/svelte,MERGED,13.375555555555556,14,298,92,981,4,4,5
sveltejs/svelte,MERGED,1202.8755555555556,10,85,7,819,4,20,1
sveltejs/svelte,MERGED,17.663333333333334,2,6,1,976,2,2,3
sveltejs/svelte,CLOSED,18.871388888888887,6,48,1,1464,2,3,2
sveltejs/svelte,MERGED,4.1338888888888885,4,8,7,401,1,0,1
sveltejs/svelte,MERGED,1.5291666666666666,5,98,12,7617,2,3,2
sveltejs/svelte,MERGED,8.989444444444445,5,56,53,872,2,1,1
sveltejs/svelte,MERGED,20.76888888888889,6,12,17,479,1,0,1
sveltejs/svelte,MERGED,2.4680555555555554,5,53,6,661,2,2,1
sveltejs/svelte,MERGED,1.1669444444444443,4,34,0,845,2,3,1
sveltejs/svelte,MERGED,6.491944444444444,3,34,3,1038,2,2,1
