repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
swiftlang/swift,MERGED,5.129444444444444,2,6,6,16,2,1,1
swiftlang/swift,MERGED,5.223333333333334,2,4,2,13,2,1,1
swiftlang/swift,MERGED,9.090277777777779,6,57,30,230,3,2,2
swiftlang/swift,MERGED,5.176388888888889,1,4,5,61,2,1,1
swiftlang/swift,MERGED,6.955,7,10,10,167,3,5,2
swiftlang/swift,MERGED,5.040555555555556,1,1,0,0,2,1,1
swiftlang/swift,MERGED,5.227777777777778,2,6,3,0,2,1,1
swiftlang/swift,MERGED,8.995555555555555,3,20,8,203,2,1,1
swiftlang/swift,MERGED,23.71472222222222,9,113,16,381,4,4,3
swiftlang/swift,MERGED,18.252777777777776,7,39,2,197,3,1,2
swiftlang/swift,MERGED,6.006111111111111,9,62,4,493,2,1,2
swiftlang/swift,MERGED,24.189722222222223,1,1,0,256,2,1,1
swiftlang/swift,MERGED,5.1305555555555555,1,2,2,33,2,1,1
swiftlang/swift,MERGED,23.75138888888889,3,51,11,356,2,2,3
swiftlang/swift,MERGED,5.157777777777778,1,2,4,218,3,2,2
swiftlang/swift,MERGED,8.9125,1,1,1,100,3,1,2
swiftlang/swift,MERGED,29.15111111111111,7,116,2,123,2,1,5
swiftlang/swift,MERGED,47.40361111111111,22,148,99,221,2,1,1
swiftlang/swift,MERGED,29.985277777777778,3,12,4,151,2,3,1
swiftlang/swift,MERGED,9.497777777777777,16,44,17,341,2,4,1
swiftlang/swift,MERGED,10.024166666666666,1,1,1,89,2,2,1
swiftlang/swift,MERGED,61.92194444444444,1,0,3,267,2,2,1
swiftlang/swift,MERGED,99.96555555555555,5,388,5,175,3,6,16
swiftlang/swift,MERGED,64.38166666666666,3,65,39,910,2,1,1
swiftlang/swift,MERGED,89.0436111111111,4,38,11,16,2,7,4
swiftlang/swift,MERGED,7.690277777777778,2,64,3,538,4,3,2
swiftlang/swift,MERGED,9.631388888888889,10,52,31,441,2,9,2
swiftlang/swift,MERGED,44.363055555555555,1,5,0,154,2,9,1
swiftlang/swift,MERGED,95.04805555555555,1,16,12,716,2,4,1
swiftlang/swift,MERGED,19.048333333333332,3,47,10,269,2,5,1
swiftlang/swift,MERGED,31.130277777777778,22,159,231,147,2,5,4
swiftlang/swift,MERGED,68.75611111111111,2,15,0,802,4,5,2
swiftlang/swift,MERGED,11.0325,2,7,4,257,2,4,1
swiftlang/swift,MERGED,32.04083333333333,2,26,1,290,2,4,1
swiftlang/swift,MERGED,100.66833333333334,1,2,1,820,3,12,1
swiftlang/swift,MERGED,36.469166666666666,4,127,3,1569,2,4,1
swiftlang/swift,MERGED,29.99361111111111,5,211,137,841,2,5,2
swiftlang/swift,MERGED,8.283055555555556,2,46,0,83,2,1,1
swiftlang/swift,MERGED,27.260833333333334,1,1,0,479,2,4,1
swiftlang/swift,MERGED,46.82388888888889,2,28,3,112,3,2,5
swiftlang/swift,MERGED,22.45638888888889,3,28,0,574,2,2,1
swiftlang/swift,MERGED,125.34027777777777,1,1,2,17,2,1,1
swiftlang/swift,MERGED,8.497777777777777,1,1,1,98,4,3,2
swiftlang/swift,MERGED,71.0375,4,127,3,576,4,8,4
swiftlang/swift,MERGED,16.935555555555556,2,8,0,637,2,1,1
swiftlang/swift,MERGED,16.99888888888889,1,2,2,24,2,2,1
swiftlang/swift,MERGED,17.0525,1,1,1,24,2,1,1
swiftlang/swift,MERGED,17.976111111111113,1,4,5,24,2,1,1
swiftlang/swift,MERGED,27.5025,4,19,3,236,2,5,1
swiftlang/swift,MERGED,41.06,32,95,144,86,3,3,2
swiftlang/swift,MERGED,24.038055555555555,1,17,7,24,2,1,1
swiftlang/swift,MERGED,20.32472222222222,5,46,1,186,2,2,1
swiftlang/swift,MERGED,6.286666666666667,1,42,7,0,2,1,1
swiftlang/swift,MERGED,6.664166666666667,1,1,1,0,2,1,1
swiftlang/swift,MERGED,6.697777777777778,1,3,3,0,2,1,1
swiftlang/swift,MERGED,7.243055555555555,1,1,0,32,3,1,5
swiftlang/swift,MERGED,22.364444444444445,1,1,1,174,2,1,1
swiftlang/swift,MERGED,23.063333333333333,2,4,2,253,2,2,1
swiftlang/swift,MERGED,23.10472222222222,1,4,4,24,2,1,1
swiftlang/swift,CLOSED,19.49277777777778,1,1,0,45,3,3,4
swiftlang/swift,MERGED,71.97805555555556,33,2038,136,808,2,5,1
swiftlang/swift,MERGED,26.530277777777776,3,72,19,409,2,7,1
swiftlang/swift,MERGED,22.10333333333333,2,5,11,192,4,1,3
swiftlang/swift,MERGED,18.929444444444446,1,11,8,295,2,5,2
swiftlang/swift,MERGED,25.985555555555557,40,842,313,903,2,3,1
swiftlang/swift,MERGED,70.88277777777778,12,178,3,514,3,7,12
swiftlang/swift,MERGED,8.40611111111111,12,3238,2648,108,2,3,1
swiftlang/swift,MERGED,47.45638888888889,13,26,26,166,2,2,2
swiftlang/swift,MERGED,5.531666666666666,3,5,8,80,2,1,1
swiftlang/swift,MERGED,31.188055555555554,3,3,3,144,3,2,1
swiftlang/swift,MERGED,30.412777777777777,14,17,17,138,2,1,2
swiftlang/swift,MERGED,28.94972222222222,1,2,2,1555,3,2,1
swiftlang/swift,MERGED,27.341944444444444,2,7,5,95,3,2,1
swiftlang/swift,MERGED,9.953888888888889,4,26,0,0,2,1,2
swiftlang/swift,MERGED,27.226666666666667,13,38,80,150,2,2,3
swiftlang/swift,MERGED,148.8075,2,4,1,38,2,4,1
swiftlang/swift,MERGED,69.31388888888888,3,88,9,501,2,2,1
swiftlang/swift,MERGED,74.4738888888889,2,2,2,16,2,2,1
swiftlang/swift,MERGED,70.45861111111111,1,5,1,0,3,2,1
swiftlang/swift,MERGED,5.878611111111111,4,19,0,145,4,3,3
swiftlang/swift,MERGED,35.95666666666666,1,8,0,32,2,2,1
swiftlang/swift,MERGED,12.288055555555555,1,17,30,320,3,3,1
swiftlang/swift,MERGED,12.375277777777777,1,17,30,320,3,2,1
swiftlang/swift,MERGED,23.523333333333333,62,98,403,112,5,8,3
swiftlang/swift,MERGED,117.1425,1,13,14,31,2,2,4
swiftlang/swift,MERGED,22.985833333333332,1,46,0,0,2,3,2
swiftlang/swift,MERGED,25.418055555555554,9,10,18,805,3,4,2
swiftlang/swift,MERGED,185.40805555555556,6,304,20,228,3,3,14
swiftlang/swift,MERGED,112.43111111111111,3,195,2,1595,3,4,22
swiftlang/swift,MERGED,120.45777777777778,5,76,53,343,4,7,7
swiftlang/swift,MERGED,5.7,1,14,3,73,2,1,1
swiftlang/swift,MERGED,94.61611111111111,2,7,5,16,3,4,2
swiftlang/swift,MERGED,8.511944444444444,3,246,16,74,2,1,1
swiftlang/swift,MERGED,8.106666666666667,2,28,9,833,2,2,1
swiftlang/swift,MERGED,218.15,14,593,32,141,3,16,7
swiftlang/swift,MERGED,48.57666666666667,1,1,0,31,2,2,1
swiftlang/swift,MERGED,48.5825,2,35,1,521,2,3,1
swiftlang/swift,MERGED,7.701944444444444,2,1,187,35,3,1,1
swiftlang/swift,MERGED,45.323055555555555,4,74,34,1285,2,1,1
swiftlang/swift,MERGED,20.610833333333332,1,1,1,21,4,4,3
swiftlang/swift,MERGED,26.881944444444443,3,30,7,641,3,3,3
swiftlang/swift,MERGED,54.592777777777776,2,64,0,264,2,2,2
swiftlang/swift,MERGED,124.04166666666667,1,1,1,35,2,2,1
swiftlang/swift,MERGED,11.00611111111111,3,8,8,180,2,1,1
swiftlang/swift,MERGED,68.93777777777778,5,153,4,729,4,2,3
swiftlang/swift,MERGED,45.67861111111111,12,110,51,691,3,6,3
swiftlang/swift,MERGED,83.53416666666666,3,10,7,358,2,8,2
swiftlang/swift,MERGED,235.37194444444444,4,10,10,93,2,3,1
swiftlang/swift,MERGED,46.318888888888885,10,126,68,1004,3,5,1
swiftlang/swift,MERGED,37.49305555555556,2,11,0,631,2,5,1
swiftlang/swift,MERGED,76.4036111111111,3,31,25,160,2,4,1
swiftlang/swift,MERGED,7.365277777777778,2,11,0,389,2,2,1
swiftlang/swift,MERGED,8.918055555555556,2,2,2,435,3,1,2
swiftlang/swift,MERGED,6.947777777777778,13,30,29,216,3,2,2
swiftlang/swift,MERGED,55.17583333333334,1,82,74,179,3,3,2
swiftlang/swift,MERGED,26.124444444444446,2,53,2,195,2,2,2
swiftlang/swift,MERGED,48.60611111111111,11,325,16,629,3,4,3
swiftlang/swift,MERGED,44.907222222222224,4,185,86,157,4,2,8
swiftlang/swift,MERGED,25.794444444444444,8,112,23,401,3,3,2
swiftlang/swift,MERGED,5.5425,1,1,0,25,2,1,1
swiftlang/swift,MERGED,53.026666666666664,1,22,3,589,2,5,1
swiftlang/swift,MERGED,21.854444444444443,7,196,12,375,4,3,5
swiftlang/swift,MERGED,24.70916666666667,47,2846,1,496,3,4,5
swiftlang/swift,MERGED,5.088611111111111,5,42,40,62,2,1,1
swiftlang/swift,MERGED,41.75972222222222,1,0,1,92,4,4,1
swiftlang/swift,MERGED,98.26333333333334,13,148,31,505,3,5,5
swiftlang/swift,MERGED,25.36888888888889,3,27,1,237,2,6,3
swiftlang/swift,MERGED,74.93138888888889,16,241,82,286,2,4,1
swiftlang/swift,MERGED,74.60722222222222,4,29,15,647,2,1,1
swiftlang/swift,MERGED,74.64027777777778,4,29,15,647,2,5,1
