repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
syncthing/syncthing,MERGED,2.4316666666666666,1,2,2,542,2,0,1
syncthing/syncthing,MERGED,6.032777777777778,1,17,61,218,2,3,1
syncthing/syncthing,MERGED,89.59611111111111,5,41,41,206,2,0,1
syncthing/syncthing,MERGED,32.34861111111111,1,6,2,594,3,5,2
syncthing/syncthing,MERGED,15.626944444444444,1,7,5,1348,3,3,1
syncthing/syncthing,MERGED,49.07055555555556,12,332,72,1338,4,8,14
syncthing/syncthing,MERGED,19.022222222222222,1,26,27,183,2,0,1
syncthing/syncthing,MERGED,2.5108333333333333,1,2,1,108,3,1,1
syncthing/syncthing,MERGED,4.034166666666667,1,1,0,462,2,0,1
syncthing/syncthing,CLOSED,14.615,2,0,15,195,3,2,2
syncthing/syncthing,MERGED,23.975555555555555,8,122,58,800,3,3,3
syncthing/syncthing,MERGED,10.725833333333334,1,17,13,261,2,0,2
syncthing/syncthing,MERGED,1.3155555555555556,1,1,1,502,2,0,1
syncthing/syncthing,MERGED,17.45111111111111,1,47,0,60,2,2,1
syncthing/syncthing,MERGED,7.651666666666666,1,9,5,217,3,1,1
syncthing/syncthing,MERGED,12.676944444444445,5,65,41,510,2,1,1
syncthing/syncthing,MERGED,82.48944444444444,1,35,0,105,3,3,8
syncthing/syncthing,MERGED,2.861666666666667,2,68,27,620,2,4,1
syncthing/syncthing,MERGED,41.62833333333333,3,84,1,43,3,2,7
syncthing/syncthing,MERGED,2.2511111111111113,1,1,1,489,2,0,1
syncthing/syncthing,MERGED,2.435277777777778,2,4,4,564,2,0,1
syncthing/syncthing,CLOSED,9.872777777777777,5,149,3,1119,3,1,1
syncthing/syncthing,CLOSED,10.04888888888889,14,156,57,501,3,0,3
syncthing/syncthing,CLOSED,4.038611111111111,5,149,3,666,2,0,1
syncthing/syncthing,MERGED,1.0494444444444444,1,3,2,926,2,0,4
syncthing/syncthing,MERGED,1.6355555555555557,1,6,0,885,2,0,3
