repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
tailwindlabs/tailwindcss,MERGED,19.77638888888889,18,312,37,778,2,0,1
tailwindlabs/tailwindcss,MERGED,24.840833333333332,37,3019,2417,6710,4,4,18
tailwindlabs/tailwindcss,MERGED,1.2069444444444444,3,3392,0,783,2,2,3
tailwindlabs/tailwindcss,MERGED,5.558611111111111,2,15,15,1912,1,0,1
tailwindlabs/tailwindcss,MERGED,1.6244444444444444,3,90,90,4244,1,1,1
tailwindlabs/tailwindcss,MERGED,16.959444444444443,4,14,9,0,2,3,1
tailwindlabs/tailwindcss,MERGED,19.045,25,81,43,0,3,0,1
tailwindlabs/tailwindcss,MERGED,2.415,3,60,60,3917,1,2,1
tailwindlabs/tailwindcss,MERGED,3.0452777777777778,2,10,18,1771,1,1,1
tailwindlabs/tailwindcss,MERGED,3.45,2,18,18,2125,1,1,1
tailwindlabs/tailwindcss,MERGED,16.456666666666667,3,30,7,1032,2,1,1
tailwindlabs/tailwindcss,MERGED,2.101111111111111,3,158,1,581,2,0,1
tailwindlabs/tailwindcss,MERGED,1.1769444444444443,2,100,100,2441,1,1,1
tailwindlabs/tailwindcss,MERGED,2.870277777777778,7,290,1,1487,2,0,5
tailwindlabs/tailwindcss,MERGED,4.300277777777778,4,35,32,388,2,0,1
tailwindlabs/tailwindcss,MERGED,1.113611111111111,5,16,16,1633,1,1,1
tailwindlabs/tailwindcss,MERGED,1.3975,3,113,102,6572,1,1,1
tailwindlabs/tailwindcss,MERGED,1.9433333333333334,3,62,73,1494,1,1,1
tailwindlabs/tailwindcss,MERGED,64.75944444444444,3,53,53,1166,1,2,1
tailwindlabs/tailwindcss,MERGED,2.6491666666666664,2,6,6,1175,1,1,1
tailwindlabs/tailwindcss,MERGED,3.147777777777778,4,22,22,1177,2,4,1
tailwindlabs/tailwindcss,MERGED,1.6122222222222222,4,221,1,419,2,0,1
tailwindlabs/tailwindcss,MERGED,50.514722222222225,9,344,318,1213,1,1,1
tailwindlabs/tailwindcss,MERGED,14.991666666666667,4,17,32,87,1,0,1
tailwindlabs/tailwindcss,MERGED,2.4008333333333334,2,2,1,483,2,2,1
tailwindlabs/tailwindcss,MERGED,71.39583333333333,7,691,553,995,2,0,1
tailwindlabs/tailwindcss,MERGED,68.01472222222222,1,90,0,151,2,0,5
tailwindlabs/tailwindcss,MERGED,22.2225,9,164,45,888,2,0,5
tailwindlabs/tailwindcss,MERGED,21.533333333333335,3,63,0,1478,2,4,4
tailwindlabs/tailwindcss,MERGED,20.485555555555557,3,124,40,834,2,1,2
tailwindlabs/tailwindcss,MERGED,24.995555555555555,4,24,12,692,2,0,9
tailwindlabs/tailwindcss,MERGED,1.9430555555555555,2,155,1,461,2,0,1
tailwindlabs/tailwindcss,MERGED,14.394722222222223,6,287,37,2298,3,2,12
tailwindlabs/tailwindcss,MERGED,27.81972222222222,23,28,23,0,2,0,1
tailwindlabs/tailwindcss,MERGED,1.0538888888888889,5,25,4,1220,2,0,1
tailwindlabs/tailwindcss,MERGED,2.1622222222222223,1,1,0,51,3,5,1
tailwindlabs/tailwindcss,MERGED,1.5316666666666667,3,3,3,41,2,0,1
tailwindlabs/tailwindcss,MERGED,35.38444444444445,3,60,60,5250,1,1,1
tailwindlabs/tailwindcss,MERGED,43.175,2,2,0,84,2,0,1
tailwindlabs/tailwindcss,MERGED,13.674722222222222,3,18,13,1360,1,2,1
tailwindlabs/tailwindcss,MERGED,23.919166666666666,3,40,0,221,2,0,1
tailwindlabs/tailwindcss,MERGED,3.465,3,127,7,1231,2,0,2
tailwindlabs/tailwindcss,MERGED,3.9175,3,94,1,825,2,0,1
tailwindlabs/tailwindcss,MERGED,4.196666666666666,3,143,26,1931,2,0,3
tailwindlabs/tailwindcss,MERGED,43.83583333333333,4,123,18,1584,2,0,2
tailwindlabs/tailwindcss,MERGED,10.81861111111111,3,78,1,1228,2,0,1
tailwindlabs/tailwindcss,MERGED,10.916944444444445,3,42,0,248,2,0,1
tailwindlabs/tailwindcss,MERGED,3.015,3,7,3,1447,2,0,1
tailwindlabs/tailwindcss,CLOSED,1.2144444444444444,2,30,30,1177,1,4,1
tailwindlabs/tailwindcss,MERGED,199.15444444444444,3,5,4,705,3,2,1
tailwindlabs/tailwindcss,MERGED,7.690833333333333,2,25,11,1135,1,0,1
tailwindlabs/tailwindcss,MERGED,3.0388888888888888,2,3,0,238,2,2,2
tailwindlabs/tailwindcss,MERGED,10.585555555555555,2,3,7,223,3,2,1
tailwindlabs/tailwindcss,MERGED,21.564444444444444,23,33,31,0,2,0,1
tailwindlabs/tailwindcss,MERGED,20.133333333333333,4,64,77,158,2,0,1
tailwindlabs/tailwindcss,MERGED,15.460555555555555,3,129,56,1544,2,0,3
tailwindlabs/tailwindcss,MERGED,16.750833333333333,6,19,26,451,2,1,1
tailwindlabs/tailwindcss,MERGED,66.44361111111111,3,9,1,205,3,2,1
tailwindlabs/tailwindcss,MERGED,148.3227777777778,4,22,22,1176,1,2,1
tailwindlabs/tailwindcss,MERGED,190.27583333333334,4,49,34,2918,1,4,1
tailwindlabs/tailwindcss,MERGED,166.90166666666667,2,11,3,1465,1,1,1
tailwindlabs/tailwindcss,MERGED,166.92055555555555,2,9,9,1459,1,1,1
tailwindlabs/tailwindcss,MERGED,166.9638888888889,2,14,7,1468,1,1,1
tailwindlabs/tailwindcss,MERGED,433.61944444444447,6,33,29,1723,2,4,1
tailwindlabs/tailwindcss,MERGED,1.6086111111111112,3,99,99,5861,1,1,1
tailwindlabs/tailwindcss,MERGED,18.59,3,176,174,1574,1,1,1
tailwindlabs/tailwindcss,MERGED,8.558055555555555,2,7,10,2060,1,1,1
tailwindlabs/tailwindcss,MERGED,1.271388888888889,2,18,18,2987,1,1,1
tailwindlabs/tailwindcss,MERGED,2.0080555555555555,2,10,3,1182,1,2,1
tailwindlabs/tailwindcss,MERGED,7.286944444444444,2,83,77,1134,1,0,1
tailwindlabs/tailwindcss,MERGED,5.188888888888889,2,30,30,1166,1,1,1
tailwindlabs/tailwindcss,MERGED,53.14194444444445,2,15,10,1174,1,1,1
tailwindlabs/tailwindcss,MERGED,53.803333333333335,3,53,53,1166,1,1,1
tailwindlabs/tailwindcss,MERGED,73.22361111111111,3,48,1,670,2,0,1
tailwindlabs/tailwindcss,MERGED,18.043333333333333,3,37,0,90,2,0,1
tailwindlabs/tailwindcss,MERGED,5.8052777777777775,2,10,3,1180,1,0,1
tailwindlabs/tailwindcss,MERGED,68.14777777777778,3,100,107,3980,1,1,1
tailwindlabs/tailwindcss,MERGED,101.26611111111112,7,35,12,752,2,0,7
tailwindlabs/tailwindcss,MERGED,1.6569444444444446,2,18,18,2814,1,1,1
tailwindlabs/tailwindcss,MERGED,69.65444444444445,2,5,0,180,2,3,1
tailwindlabs/tailwindcss,MERGED,10.581944444444444,2,10,10,1134,1,1,1
tailwindlabs/tailwindcss,MERGED,4.473611111111111,6,161,6,791,2,1,1
tailwindlabs/tailwindcss,MERGED,7.710277777777778,5,17,17,1663,1,1,1
tailwindlabs/tailwindcss,MERGED,52.44138888888889,2,11,11,1174,1,1,2
tailwindlabs/tailwindcss,MERGED,53.08722222222222,3,53,53,1166,1,1,1
tailwindlabs/tailwindcss,MERGED,1.346111111111111,6,103,31,1044,2,0,9
tailwindlabs/tailwindcss,MERGED,1.4027777777777777,23,30,23,0,2,0,1
tailwindlabs/tailwindcss,MERGED,3.2516666666666665,2,32,39,1680,1,1,1
tailwindlabs/tailwindcss,MERGED,1.8708333333333333,19,436,409,665,2,1,1
tailwindlabs/tailwindcss,MERGED,5.507777777777778,4,17,17,1176,1,1,1
tailwindlabs/tailwindcss,MERGED,8.02111111111111,4,14,22,1799,1,1,1
tailwindlabs/tailwindcss,MERGED,2088.2744444444443,6,87,35,12,3,2,3
tailwindlabs/tailwindcss,MERGED,21.41722222222222,2,2,2,265,2,1,1
tailwindlabs/tailwindcss,MERGED,9.460277777777778,2,87,87,1295,1,1,1
tailwindlabs/tailwindcss,MERGED,272.7758333333333,2,112,32,1467,3,11,13
tailwindlabs/tailwindcss,MERGED,2.1661111111111113,1,25,1,391,2,6,7
tailwindlabs/tailwindcss,MERGED,29.171944444444446,4,10,2,200,2,2,2
tailwindlabs/tailwindcss,MERGED,385.2347222222222,5,137,37,394,2,0,2
tailwindlabs/tailwindcss,MERGED,1.7313888888888889,2,2,2,285,2,0,1
tailwindlabs/tailwindcss,MERGED,1056.4072222222221,3,93,3,719,2,0,1
tailwindlabs/tailwindcss,MERGED,24.509444444444444,3,12,12,1185,1,1,1
tailwindlabs/tailwindcss,CLOSED,353.3377777777778,1,2,1,162,3,5,1
tailwindlabs/tailwindcss,MERGED,5.010277777777778,4,12,12,1180,1,1,1
tailwindlabs/tailwindcss,MERGED,15.187222222222223,4,17,17,1176,1,1,1
tailwindlabs/tailwindcss,MERGED,46.94361111111111,3,54,71,1166,1,1,1
tailwindlabs/tailwindcss,MERGED,49.20861111111111,3,105,66,1404,2,0,1
tailwindlabs/tailwindcss,MERGED,1.5608333333333333,3,61,61,2339,1,1,1
tailwindlabs/tailwindcss,MERGED,2.7425,1,1,1,180,3,0,1
tailwindlabs/tailwindcss,MERGED,7.246666666666667,2,30,13,2407,1,1,1
tailwindlabs/tailwindcss,MERGED,11.476666666666667,1,1,1,494,3,1,1
tailwindlabs/tailwindcss,MERGED,22.063333333333333,2,10,10,1174,1,1,1
tailwindlabs/tailwindcss,MERGED,147.37416666666667,3,109,55,625,4,5,8
tailwindlabs/tailwindcss,MERGED,10.913611111111111,4,12,12,1180,1,1,1
