repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
tauri-apps/tauri,MERGED,1.413888888888889,3,16,1,155,3,4,1
tauri-apps/tauri,MERGED,4.545,2,8,2,499,2,1,1
tauri-apps/tauri,MERGED,15.742222222222223,2,8,0,185,2,2,1
tauri-apps/tauri,MERGED,1.3672222222222221,2,104,104,1172,1,1,1
tauri-apps/tauri,MERGED,113.70388888888888,2,6,6,824,1,2,1
tauri-apps/tauri,MERGED,97.9725,2,7,0,344,3,1,2
tauri-apps/tauri,MERGED,47.58972222222222,2,104,104,1286,1,1,1
tauri-apps/tauri,MERGED,1.4130555555555555,1,1,1,775,2,1,1
tauri-apps/tauri,MERGED,96.55277777777778,2,504,94,352,4,7,4
tauri-apps/tauri,MERGED,33.29555555555555,2,104,104,1215,1,1,1
tauri-apps/tauri,CLOSED,29.989722222222223,3,43,490,199,2,2,5
tauri-apps/tauri,MERGED,30.561944444444446,1,11,4,426,2,1,10
tauri-apps/tauri,MERGED,1.5077777777777779,1,1,1,38,2,3,1
tauri-apps/tauri,MERGED,241.68527777777777,2,109,100,2662,1,2,1
tauri-apps/tauri,MERGED,30.105833333333333,2,84,83,3552,1,2,1
tauri-apps/tauri,MERGED,4.7275,2,7,2,282,4,7,1
tauri-apps/tauri,MERGED,38.166666666666664,2,100,100,1187,1,1,1
tauri-apps/tauri,MERGED,674.0438888888889,2,21,1,1128,3,4,1
tauri-apps/tauri,MERGED,813.7994444444445,4,39,2,764,2,1,1
tauri-apps/tauri,CLOSED,834.3641666666666,2,22,25,945,4,6,12
tauri-apps/tauri,MERGED,1.3486111111111112,5,158,90,158,2,1,1
tauri-apps/tauri,MERGED,861.7363888888889,3,18,4,163,3,5,3
tauri-apps/tauri,MERGED,26.504444444444445,4,70,2,0,2,3,1
tauri-apps/tauri,MERGED,890.5511111111111,10,230,16,13,2,2,2
tauri-apps/tauri,MERGED,775.2558333333334,87,1952,996,633,3,6,9
tauri-apps/tauri,MERGED,70.2775,2,8,0,50,2,1,3
tauri-apps/tauri,MERGED,16.593055555555555,2,2,0,10,2,1,1
tauri-apps/tauri,MERGED,953.8502777777778,9,397,35,258,3,5,1
tauri-apps/tauri,MERGED,917.0755555555555,2,22,0,109,2,4,1
tauri-apps/tauri,MERGED,930.9219444444444,4,41,7,363,2,1,1
tauri-apps/tauri,MERGED,2.04,2,7,0,189,2,1,1
tauri-apps/tauri,MERGED,2.136388888888889,2,7,0,54,2,1,1
tauri-apps/tauri,MERGED,2.1727777777777777,2,12,2,134,2,1,1
tauri-apps/tauri,MERGED,937.4911111111111,16,182,62,0,2,1,1
tauri-apps/tauri,MERGED,1.8066666666666666,2,19,2,0,2,1,1
tauri-apps/tauri,MERGED,2.674722222222222,4,61,2,50,2,1,1
tauri-apps/tauri,MERGED,839.2666666666667,2,13,0,0,2,1,1
tauri-apps/tauri,MERGED,956.0138888888889,9,109,20,13,2,1,1
tauri-apps/tauri,MERGED,858.2563888888889,11,290,48,194,4,5,2
tauri-apps/tauri,MERGED,26.794722222222223,7,52,3,279,3,4,1
tauri-apps/tauri,MERGED,147.42527777777778,6,147,2,171,2,1,1
tauri-apps/tauri,MERGED,167.57694444444445,13,285,7,235,3,8,1
tauri-apps/tauri,MERGED,52.82861111111111,8,23,6,301,3,10,4
tauri-apps/tauri,MERGED,3.931388888888889,2,5,5,848,1,1,1
tauri-apps/tauri,MERGED,20.42888888888889,2,18,16,217,3,3,1
tauri-apps/tauri,MERGED,224.67277777777778,1,214,135,0,3,3,3
tauri-apps/tauri,MERGED,48.82694444444444,3,67,4,0,2,1,1
tauri-apps/tauri,MERGED,2.334722222222222,1,133,102,443,2,1,1
tauri-apps/tauri,MERGED,71.58166666666666,2,25,19,257,2,1,3
tauri-apps/tauri,MERGED,89.91166666666666,2,96,96,1854,1,1,1
tauri-apps/tauri,MERGED,271.0152777777778,13,130,59,2299,4,9,4
tauri-apps/tauri,MERGED,15.575277777777778,2,96,96,929,1,1,1
tauri-apps/tauri,MERGED,1199.9527777777778,14,115,20,137,2,1,1
tauri-apps/tauri,MERGED,14.601666666666667,3,25,3,277,3,2,1
tauri-apps/tauri,MERGED,4.554444444444444,2,7,2,236,2,2,1
tauri-apps/tauri,MERGED,33.9025,5,42,0,499,3,2,3
tauri-apps/tauri,MERGED,72.60583333333334,8,22,15,71,2,3,1
tauri-apps/tauri,MERGED,122.275,2,10,0,169,3,1,6
tauri-apps/tauri,MERGED,115.34027777777777,10,337,45,611,4,15,21
tauri-apps/tauri,MERGED,135.1025,2,38,3,173,2,1,1
tauri-apps/tauri,MERGED,9.428888888888888,3,9,0,121,2,1,1
tauri-apps/tauri,MERGED,5.203055555555555,5,16,7,383,2,2,1
tauri-apps/tauri,MERGED,1.7236111111111112,2,7,2,473,2,4,2
tauri-apps/tauri,MERGED,10.7675,6,46,66,0,2,1,1
tauri-apps/tauri,MERGED,231.45277777777778,2,20,0,330,3,4,9
tauri-apps/tauri,MERGED,48.49138888888889,2,16,0,81,2,1,1
tauri-apps/tauri,MERGED,12.194166666666666,1,1,0,37,3,1,2
tauri-apps/tauri,MERGED,4.613333333333333,1,2,2,14,2,1,7
tauri-apps/tauri,MERGED,1.7122222222222223,3,22,3,13,2,6,6
tauri-apps/tauri,MERGED,9.792222222222222,2,21,34,931,1,1,1
tauri-apps/tauri,MERGED,26.601944444444445,3,42,6,220,4,13,5
tauri-apps/tauri,MERGED,139.0377777777778,4,32,4,125,3,1,4
tauri-apps/tauri,MERGED,1.7661111111111112,1,2,2,437,2,1,1
tauri-apps/tauri,MERGED,4.6125,2,5,5,802,1,1,1
tauri-apps/tauri,MERGED,5.2775,3,105,107,956,1,3,1
tauri-apps/tauri,MERGED,46.28722222222222,2,28,2,94,2,1,1
tauri-apps/tauri,MERGED,2.4494444444444445,5,15,8,815,3,10,1
tauri-apps/tauri,MERGED,25.664722222222224,2,9,2,2557,2,1,1
tauri-apps/tauri,CLOSED,38.915,1,0,1699,393,2,2,2
tauri-apps/tauri,MERGED,14.464166666666667,2,19,7,1148,1,1,1
tauri-apps/tauri,MERGED,18.720555555555556,2,96,96,1990,1,1,1
tauri-apps/tauri,MERGED,254.0425,2,13,7,2061,1,2,1
tauri-apps/tauri,MERGED,16.94388888888889,2,22,0,44,2,1,4
tauri-apps/tauri,MERGED,41.51722222222222,1,1,1,0,3,1,2
tauri-apps/tauri,MERGED,22.2475,8,89,7,177,2,1,12
tauri-apps/tauri,MERGED,602.3269444444444,12,653,22,85,3,3,1
tauri-apps/tauri,MERGED,2.6441666666666666,9,25,12,402,1,0,1
tauri-apps/tauri,MERGED,50.62888888888889,2,6,6,18714,1,1,1
tauri-apps/tauri,MERGED,56.92527777777778,7,1592,327,41,2,4,1
tauri-apps/tauri,MERGED,65.84083333333334,2,8,3,205,2,1,1
tauri-apps/tauri,MERGED,34.82888888888889,2,24,4,819,3,1,5
tauri-apps/tauri,MERGED,10.807222222222222,5,31,6,133,2,1,1
tauri-apps/tauri,MERGED,1.2294444444444443,2,96,96,856,1,1,1
tauri-apps/tauri,MERGED,670.0202777777778,13,112,1,13,3,2,2
tauri-apps/tauri,MERGED,1.8752777777777778,1,3,1,230,2,1,2
tauri-apps/tauri,MERGED,697.1638888888889,7,94,19,220,2,8,3
tauri-apps/tauri,MERGED,22.526666666666667,2,13,2,317,3,3,3
tauri-apps/tauri,MERGED,11.79111111111111,1,16,12,233,3,11,2
tauri-apps/tauri,MERGED,36.61694444444444,8,428,18,980,2,1,3
