repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
tensorflow/models,MERGED,1436.756388888889,1,11,11,1422,3,0,1
tensorflow/models,CLOSED,1306.39,7,38,0,1307,5,3,1
tensorflow/models,MERGED,407.59166666666664,1,1,1,20,3,0,1
tensorflow/models,MERGED,28.7275,1,2,2,1596,2,1,1
tensorflow/models,CLOSED,122.9875,2,4,0,151,2,1,1
tensorflow/models,MERGED,780.8936111111111,1,2,2,1711,3,0,1
tensorflow/models,MERGED,205.15166666666667,1,2,2,1487,2,0,1
tensorflow/models,MERGED,1819.9455555555555,1,4,4,262,4,1,1
tensorflow/models,MERGED,1038.171111111111,1,5,5,1307,3,1,1
tensorflow/models,MERGED,21.92361111111111,2,4,2,1192,2,0,1
tensorflow/models,MERGED,1798.6358333333333,1,2,2,71,4,1,1
tensorflow/models,MERGED,73.24472222222222,1,2,0,98,2,0,1
tensorflow/models,MERGED,5206.364166666666,1,1,13,588,5,1,3
tensorflow/models,MERGED,4058.6691666666666,1,821,0,579,5,2,2
tensorflow/models,MERGED,4847.275277777778,1,1,1,154,4,6,2
tensorflow/models,MERGED,815.6213888888889,1,6,6,536,2,0,1
tensorflow/models,MERGED,5197.552222222223,11,14,13,123,5,1,2
tensorflow/models,CLOSED,5200.636111111111,2,52,4,1434,2,0,1
tensorflow/models,MERGED,9.663611111111111,1,51,0,475,2,0,4
tensorflow/models,MERGED,23.267777777777777,1,37,0,472,2,0,1
tensorflow/models,MERGED,21.98472222222222,1,11,0,472,3,0,2
tensorflow/models,CLOSED,46.3275,1,3,0,664,2,2,1
tensorflow/models,CLOSED,4779.086388888889,0,0,0,1316,3,1,3
tensorflow/models,MERGED,76.955,1,25,20,795,3,1,1
tensorflow/models,MERGED,95.06694444444445,1,1,1,6522,2,0,1
tensorflow/models,MERGED,184.45055555555555,23,3703,0,1323,5,2,1
tensorflow/models,MERGED,74.46083333333333,2,3,3,1307,2,0,1
tensorflow/models,MERGED,344.1188888888889,3,4,4,1307,4,1,1
tensorflow/models,MERGED,1689.4766666666667,2,52,24,1083,6,1,4
tensorflow/models,MERGED,215.79416666666665,1,20,20,543,3,1,1
tensorflow/models,MERGED,52.26638888888889,1,46,74,607,3,1,1
tensorflow/models,CLOSED,2390.29,4,4,4,1395,4,1,1
tensorflow/models,CLOSED,2653.282777777778,1,5,5,1342,4,1,1
tensorflow/models,MERGED,1563.6797222222222,1,2,2,1329,3,0,1
tensorflow/models,MERGED,2.2466666666666666,1,0,2,475,2,0,1
tensorflow/models,MERGED,874.8641666666666,1,2,5,27,2,0,1
tensorflow/models,MERGED,4.079444444444444,3,36,12,1086,2,1,1
tensorflow/models,MERGED,482.1,3,6,6,487,3,0,2
tensorflow/models,MERGED,70.90416666666667,2,35,4,828,3,0,1
tensorflow/models,MERGED,3912.283611111111,2,13,13,476,2,0,1
tensorflow/models,MERGED,4057.099166666667,1,1,1,475,4,0,4
tensorflow/models,MERGED,112.47055555555555,1,26,1,853,2,0,1
tensorflow/models,CLOSED,6052.14,1,9,9,1307,4,5,2
tensorflow/models,CLOSED,5425.903888888889,1,1,1,1329,3,1,1
tensorflow/models,MERGED,267.3088888888889,15,1402,5,1034,4,0,10
tensorflow/models,CLOSED,1247.5877777777778,7,750,0,1034,4,0,4
tensorflow/models,CLOSED,964.8458333333333,14,2627,0,1442,3,1,1
tensorflow/models,MERGED,33.74861111111111,1,1,1,63,3,0,1
tensorflow/models,CLOSED,7713.766111111111,1,7,7,1367,4,8,3
tensorflow/models,MERGED,347.59194444444444,2,67,39,159,4,0,3
tensorflow/models,MERGED,6743.177222222223,2,15,15,472,3,2,1
tensorflow/models,MERGED,118.80666666666667,1,11,11,1307,2,0,1
tensorflow/models,CLOSED,8742.494444444445,1,5,5,1307,5,5,5
tensorflow/models,MERGED,517.6847222222223,1,8,8,1307,2,0,1
tensorflow/models,MERGED,3963.889722222222,1,11,11,472,3,0,2
tensorflow/models,CLOSED,1973.7041666666667,3,5,5,472,3,0,2
tensorflow/models,MERGED,501.945,4,6,6,472,2,0,1
tensorflow/models,MERGED,505.0783333333333,1,5,5,1379,2,0,1
tensorflow/models,MERGED,23.537777777777777,1,11,11,1330,2,0,1
tensorflow/models,MERGED,80.34583333333333,3,10,10,472,2,0,1
tensorflow/models,MERGED,81.81444444444445,2,4,4,472,2,0,3
tensorflow/models,MERGED,693.835,7,47,47,472,3,0,1
tensorflow/models,CLOSED,46.3125,3,27,27,472,2,0,3
tensorflow/models,MERGED,6.538611111111111,1,1,3,529,3,1,3
tensorflow/models,CLOSED,223.48638888888888,1,47,36,634,3,2,2
tensorflow/models,MERGED,1.1472222222222221,1,5,5,472,2,0,1
tensorflow/models,MERGED,1.47,1,1,1,472,2,0,1
tensorflow/models,MERGED,97.24194444444444,1,8,8,472,2,0,1
tensorflow/models,MERGED,46.70027777777778,1,6,6,487,2,0,1
tensorflow/models,MERGED,67.57222222222222,1,33,33,487,2,1,3
tensorflow/models,MERGED,71.1575,1,8,8,504,2,0,1
tensorflow/models,CLOSED,9298.515,1,11,11,1382,5,8,4
tensorflow/models,MERGED,79.69944444444444,1,12,12,545,2,0,1
tensorflow/models,MERGED,70.9036111111111,1,3,3,1307,3,1,2
tensorflow/models,MERGED,2.5725,15,76,75,35,2,1,1
tensorflow/models,MERGED,133.77916666666667,1,5,5,1350,2,1,1
tensorflow/models,MERGED,8029.421666666667,1,6,6,1372,5,3,4
tensorflow/models,MERGED,194.85361111111112,1,2,2,1307,2,1,1
tensorflow/models,MERGED,33.086666666666666,1,1,1,886,2,0,1
tensorflow/models,MERGED,5.310833333333333,1,12,12,711,3,0,2
tensorflow/models,MERGED,1342.1491666666666,22,2677,0,930,3,0,19
tensorflow/models,MERGED,4.237222222222222,1,348,0,904,2,0,1
tensorflow/models,MERGED,20.158055555555556,14,1969,0,893,2,0,1
tensorflow/models,MERGED,3340.6383333333333,4,20,12,1554,4,1,3
tensorflow/models,MERGED,430.54333333333335,3,115,25,1278,3,1,10
