repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
tensorflow/tensorflow,MERGED,73.18583333333333,3,13,4,65,5,0,6
tensorflow/tensorflow,MERGED,27.270833333333332,1,9,10,198,5,0,1
tensorflow/tensorflow,MERGED,30.788333333333334,1,2,1,13,5,0,1
tensorflow/tensorflow,MERGED,31.39,1,2,0,13,5,0,1
tensorflow/tensorflow,CLOSED,10.968333333333334,1,1,0,30,3,2,1
tensorflow/tensorflow,CLOSED,327.54805555555555,7,142,153,0,3,1,1
tensorflow/tensorflow,CLOSED,43.35861111111111,1,4,4,892,4,1,1
tensorflow/tensorflow,MERGED,108.58888888888889,2,10,0,13,5,0,1
tensorflow/tensorflow,MERGED,103.18666666666667,1,1,0,13,5,0,1
tensorflow/tensorflow,MERGED,104.4275,3,4,4,13,5,0,1
tensorflow/tensorflow,CLOSED,350.3225,2,50,0,1097,5,4,6
tensorflow/tensorflow,CLOSED,652.5916666666667,2,23,0,202,6,3,2
tensorflow/tensorflow,CLOSED,16.151666666666667,1,36,0,1056,3,1,1
tensorflow/tensorflow,MERGED,71.00166666666667,11,15,15,12648,4,0,1
tensorflow/tensorflow,MERGED,87.51583333333333,1,1,1,142,5,0,1
tensorflow/tensorflow,MERGED,531.3227777777778,10,188,161,63,5,5,1
tensorflow/tensorflow,CLOSED,17.625,3,44,47,348,3,0,1
tensorflow/tensorflow,MERGED,660.2908333333334,2,121,13,117,5,6,6
tensorflow/tensorflow,MERGED,57.85638888888889,1,4,1,76,4,2,2
tensorflow/tensorflow,MERGED,426.70972222222224,3,19,5,628,5,6,7
tensorflow/tensorflow,CLOSED,43.154444444444444,2,42,46,736,3,1,1
tensorflow/tensorflow,CLOSED,44.94916666666666,45,214,150,527,3,1,1
tensorflow/tensorflow,MERGED,261.04527777777776,2,19,1,2276,5,4,3
tensorflow/tensorflow,MERGED,749.9558333333333,2,7,1,12,5,6,2
tensorflow/tensorflow,MERGED,16.011388888888888,5,10,10,124,5,0,1
tensorflow/tensorflow,MERGED,171.04333333333332,1,1,1,913,5,0,1
tensorflow/tensorflow,CLOSED,6.095,1,16,26,229,3,3,1
tensorflow/tensorflow,MERGED,39.01305555555555,1,1,1,113,5,2,2
tensorflow/tensorflow,MERGED,62.60527777777778,1,12,0,137,4,0,1
tensorflow/tensorflow,MERGED,458.6613888888889,2,8,2,3595,4,1,1
tensorflow/tensorflow,MERGED,37.827777777777776,1,2,0,222,4,0,1
tensorflow/tensorflow,MERGED,1.1344444444444444,60,190,169,37,4,0,2
tensorflow/tensorflow,MERGED,86.16027777777778,1,1,1,160,5,0,1
tensorflow/tensorflow,MERGED,181.0125,1,1,1,179,5,0,1
tensorflow/tensorflow,MERGED,86.785,1,1,1,262,5,0,2
tensorflow/tensorflow,MERGED,84.83472222222223,1,1,1,744,4,1,1
tensorflow/tensorflow,MERGED,5.780555555555556,1,6,0,0,3,0,2
tensorflow/tensorflow,MERGED,6.796111111111111,1,1,1,426,2,0,1
tensorflow/tensorflow,MERGED,7.174166666666666,3,4,4,976,2,0,1
tensorflow/tensorflow,MERGED,31.551944444444445,1,6,12,873,4,0,2
tensorflow/tensorflow,CLOSED,1325.3341666666668,33,13895,5792,1208,4,4,1
tensorflow/tensorflow,MERGED,69.07555555555555,2,2,2,6103,3,0,1
tensorflow/tensorflow,MERGED,69.6875,1,1,1,1477,3,0,1
tensorflow/tensorflow,MERGED,69.74361111111111,1,1,1,1477,3,0,1
tensorflow/tensorflow,MERGED,85.18472222222222,6,9,9,124,5,0,1
tensorflow/tensorflow,CLOSED,3.4569444444444444,1,1,0,0,3,1,1
tensorflow/tensorflow,MERGED,526.9536111111111,1,30,8,652,4,11,3
tensorflow/tensorflow,MERGED,428.93111111111114,1,70,9,858,5,13,8
tensorflow/tensorflow,CLOSED,82.7325,1,1,1,21,3,0,2
tensorflow/tensorflow,MERGED,4.591666666666667,12,1476,876,0,3,0,2
tensorflow/tensorflow,CLOSED,639.6702777777778,2,6,129,325,4,2,3
tensorflow/tensorflow,MERGED,107.51611111111112,1,0,2,70,4,0,1
tensorflow/tensorflow,CLOSED,650.6086111111111,6,310,29,1909,4,2,7
tensorflow/tensorflow,MERGED,2.5280555555555555,1,1,1,1628,2,0,1
tensorflow/tensorflow,CLOSED,737.7936111111111,2,23,4,38,4,4,2
tensorflow/tensorflow,CLOSED,759.3988888888889,1,198,0,163,4,3,1
tensorflow/tensorflow,CLOSED,50.721944444444446,1,1,1,496,4,5,1
tensorflow/tensorflow,CLOSED,50.358333333333334,1,12,5,143,3,2,2
tensorflow/tensorflow,MERGED,19.4525,1,4,49,243,3,0,1
tensorflow/tensorflow,MERGED,113.93611111111112,1,3,2,118,3,0,1
tensorflow/tensorflow,MERGED,48.801944444444445,2,17,1,84,3,0,1
tensorflow/tensorflow,MERGED,146.8177777777778,2,9,1,238,4,0,1
tensorflow/tensorflow,CLOSED,11.7725,1,2,5,21,3,0,2
tensorflow/tensorflow,MERGED,49.28138888888889,1,38,67,41,3,0,1
tensorflow/tensorflow,CLOSED,48.60777777777778,0,0,0,223,2,0,2
