repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
tesseract-ocr/tesseract,MERGED,7.289722222222222,1,2,2,0,2,0,1
tesseract-ocr/tesseract,MERGED,2.470833333333333,13,14,14,0,2,0,1
tesseract-ocr/tesseract,MERGED,120.56444444444445,10,867,46,615,3,5,1
tesseract-ocr/tesseract,MERGED,9.730833333333333,4,32,30,0,2,1,1
tesseract-ocr/tesseract,MERGED,11.016666666666667,3,10,7,0,2,0,1
tesseract-ocr/tesseract,MERGED,11.048333333333334,2,10,23,347,2,0,1
tesseract-ocr/tesseract,MERGED,2.1975,1,4,463,0,2,1,1
tesseract-ocr/tesseract,MERGED,1.5802777777777777,5,0,5,0,2,0,2
tesseract-ocr/tesseract,MERGED,4.958333333333333,1,4,1,159,2,0,1
tesseract-ocr/tesseract,MERGED,5.6802777777777775,1,3,4,0,2,0,1
tesseract-ocr/tesseract,MERGED,2298.735,1,20,6,593,2,3,3
tesseract-ocr/tesseract,MERGED,32.13611111111111,1,0,1,74,3,0,2
tesseract-ocr/tesseract,CLOSED,3496.717222222222,1,4,0,88,4,0,10
tesseract-ocr/tesseract,MERGED,20.511111111111113,49,2900,3440,557,2,16,7
tesseract-ocr/tesseract,MERGED,1.916388888888889,13,3,2050,52,2,2,3
tesseract-ocr/tesseract,MERGED,2.1855555555555557,3,9,63,171,2,0,1
tesseract-ocr/tesseract,MERGED,61.17166666666667,7,149,0,180,3,7,16
tesseract-ocr/tesseract,MERGED,7.406666666666666,12,57,39,0,2,1,1
tesseract-ocr/tesseract,MERGED,7.945833333333334,1,85,35,23,2,0,1
tesseract-ocr/tesseract,MERGED,22.502777777777776,10,2108,0,351,4,2,10
tesseract-ocr/tesseract,MERGED,14.691666666666666,3,18,77,222,3,1,2
tesseract-ocr/tesseract,MERGED,9.874444444444444,3,5,6,64,2,1,1
tesseract-ocr/tesseract,MERGED,25.544444444444444,1,1,1,489,3,1,1
tesseract-ocr/tesseract,MERGED,12.77138888888889,5,96,15,359,3,1,3
tesseract-ocr/tesseract,CLOSED,679.1044444444444,4,18,10,258,4,16,5
tesseract-ocr/tesseract,MERGED,4.8597222222222225,12,45,49,121,2,2,1
tesseract-ocr/tesseract,MERGED,12.580555555555556,1,14,62,0,2,0,1
tesseract-ocr/tesseract,MERGED,1.498888888888889,3,8,39,0,2,0,1
tesseract-ocr/tesseract,MERGED,220.9111111111111,2,33,28,154,2,0,2
tesseract-ocr/tesseract,MERGED,12.078333333333333,1,5,2,385,4,5,14
tesseract-ocr/tesseract,MERGED,14.979722222222222,1,2,2,72,2,1,1
tesseract-ocr/tesseract,MERGED,311.9886111111111,1,5,3,245,2,0,1
tesseract-ocr/tesseract,MERGED,2.980277777777778,1,8,1,69,2,0,3
tesseract-ocr/tesseract,MERGED,9.091944444444444,2,9,11,170,4,9,2
tesseract-ocr/tesseract,MERGED,1.8788888888888888,11,39,56,0,2,3,1
tesseract-ocr/tesseract,MERGED,3.1533333333333333,1,7,3,0,3,0,1
tesseract-ocr/tesseract,MERGED,2.6219444444444444,1,1,3,57,2,0,1
tesseract-ocr/tesseract,MERGED,5.161388888888889,10,33,55,0,2,2,3
tesseract-ocr/tesseract,MERGED,7.447222222222222,1,5,7,9,3,3,5
tesseract-ocr/tesseract,MERGED,3.6505555555555556,2,20,2,0,3,0,3
tesseract-ocr/tesseract,MERGED,8.97638888888889,14,39,39,0,2,0,3
tesseract-ocr/tesseract,MERGED,56.51888888888889,1,3,4,0,2,0,6
tesseract-ocr/tesseract,MERGED,1.2152777777777777,1,7,5,85,2,0,1
tesseract-ocr/tesseract,MERGED,12.418055555555556,1,2,2,0,3,0,2
tesseract-ocr/tesseract,MERGED,12.495833333333334,1,0,1,0,3,0,2
tesseract-ocr/tesseract,MERGED,12.547222222222222,3,3,3,0,3,0,3
tesseract-ocr/tesseract,MERGED,12.594444444444445,4,16,24,0,3,0,2
tesseract-ocr/tesseract,MERGED,19.9125,9,26,34,45,3,3,7
tesseract-ocr/tesseract,MERGED,139.34666666666666,1,26,1,687,4,8,9
tesseract-ocr/tesseract,MERGED,176.85083333333333,19,60,3900,0,3,2,1
tesseract-ocr/tesseract,MERGED,713.8716666666667,1,27,1,205,5,6,11
tesseract-ocr/tesseract,MERGED,727.6372222222222,13,1220,2,1014,4,7,25
tesseract-ocr/tesseract,CLOSED,1.6972222222222222,1,6,1,782,2,3,1
tesseract-ocr/tesseract,MERGED,1.956388888888889,12,19,19,0,2,0,1
tesseract-ocr/tesseract,MERGED,47.94861111111111,2,4,4,0,2,1,1
tesseract-ocr/tesseract,MERGED,39.10472222222222,16,17,17,0,2,2,1
tesseract-ocr/tesseract,MERGED,37.979166666666664,1,1,8,273,2,2,1
tesseract-ocr/tesseract,MERGED,1.9738888888888888,1,1,1,49,2,1,2
tesseract-ocr/tesseract,CLOSED,10460.958055555555,6,247,4,748,3,13,1
tesseract-ocr/tesseract,MERGED,1.0655555555555556,1,8,8,48,2,0,1
tesseract-ocr/tesseract,MERGED,5.116388888888889,2,5,2,182,3,2,1
tesseract-ocr/tesseract,MERGED,4.602222222222222,1,3,2,196,2,0,3
tesseract-ocr/tesseract,CLOSED,6.993888888888889,1,26,16,321,2,1,7
tesseract-ocr/tesseract,MERGED,17.106944444444444,1,4,4,147,2,0,1
tesseract-ocr/tesseract,MERGED,3.0502777777777776,1,1,1,23,2,0,1
tesseract-ocr/tesseract,MERGED,18.243055555555557,1,4,5,178,4,0,8
tesseract-ocr/tesseract,MERGED,5.9025,1,9,13,0,2,0,1
tesseract-ocr/tesseract,MERGED,21.538888888888888,3,3,3,0,2,0,2
tesseract-ocr/tesseract,MERGED,1864.316388888889,4,10,11,10,2,3,1
tesseract-ocr/tesseract,MERGED,1.8711111111111112,1,1,1,186,2,3,1
tesseract-ocr/tesseract,MERGED,2.263888888888889,1,4,1,177,2,2,2
tesseract-ocr/tesseract,MERGED,5.328055555555555,2,2,2,67,2,0,1
tesseract-ocr/tesseract,MERGED,8865.498333333333,9,31,8,2074,6,13,6
tesseract-ocr/tesseract,MERGED,88.35416666666667,1,7,7,119,2,0,1
tesseract-ocr/tesseract,MERGED,215.3697222222222,1,6,2,8743,3,2,1
tesseract-ocr/tesseract,MERGED,11.335,1,4,10,149,3,3,1
tesseract-ocr/tesseract,MERGED,22.477777777777778,1,6,1,0,2,0,6
tesseract-ocr/tesseract,CLOSED,5.115,0,0,0,41,4,1,5
tesseract-ocr/tesseract,MERGED,38.681111111111115,8,49,23,0,4,2,3
tesseract-ocr/tesseract,MERGED,33.78277777777778,14,19,19,212,4,8,1
tesseract-ocr/tesseract,MERGED,67.15194444444444,1,7,0,10,4,9,3
tesseract-ocr/tesseract,MERGED,3.9275,1,14,15,0,2,2,7
tesseract-ocr/tesseract,CLOSED,3324.9569444444446,1,27,8,9,3,0,1
tesseract-ocr/tesseract,MERGED,108.99583333333334,1,16,4,256,4,4,1
tesseract-ocr/tesseract,MERGED,5.1883333333333335,1,1,1,146,2,0,1
tesseract-ocr/tesseract,CLOSED,89.80027777777778,1,1,1,0,3,0,1
tesseract-ocr/tesseract,MERGED,2.133611111111111,2,0,11,96,2,0,1
tesseract-ocr/tesseract,MERGED,5.3869444444444445,3,18,9,169,2,0,2
tesseract-ocr/tesseract,MERGED,5.627777777777778,9,33,56,307,4,9,1
tesseract-ocr/tesseract,CLOSED,28.351666666666667,1,6,6,5,3,6,1
tesseract-ocr/tesseract,CLOSED,5.060555555555555,3,22,2,41,2,1,1
tesseract-ocr/tesseract,MERGED,3.5030555555555556,6,20,12,53,2,0,4
tesseract-ocr/tesseract,MERGED,40.06027777777778,1,18,14,129,2,0,1
tesseract-ocr/tesseract,MERGED,3.898888888888889,19,22,22,15,3,1,1
tesseract-ocr/tesseract,MERGED,1372.0944444444444,2,23,7,250,2,2,29
tesseract-ocr/tesseract,MERGED,48.55361111111111,1,83,0,107,2,0,10
