repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
thedaviddias/Front-End-Checklist,MERGED,22.606666666666666,1,0,2,169,2,0,1
thedaviddias/Front-End-Checklist,CLOSED,2801.3297222222222,2,7,7,461,3,3,1
thedaviddias/Front-End-Checklist,MERGED,1910.1727777777778,1,7,3,1148,2,0,1
thedaviddias/Front-End-Checklist,MERGED,10979.259722222223,1,2,0,392,3,3,2
thedaviddias/Front-End-Checklist,CLOSED,4196.845833333334,1,1,1,800,2,2,1
thedaviddias/Front-End-Checklist,CLOSED,4951.426666666666,2,7,7,617,2,2,1
thedaviddias/Front-End-Checklist,MERGED,1.8402777777777777,1,1,1,494,2,0,1
thedaviddias/Front-End-Checklist,MERGED,333.23583333333335,1,1,1,461,2,0,1
thedaviddias/Front-End-Checklist,MERGED,7377.383333333333,1,1,1,65,3,8,2
thedaviddias/Front-End-Checklist,MERGED,849.6816666666666,1,1,1,237,7,4,3
thedaviddias/Front-End-Checklist,CLOSED,2045.2644444444445,1,1,1,461,2,1,1
thedaviddias/Front-End-Checklist,MERGED,1221.901111111111,1,0,1,913,2,0,1
thedaviddias/Front-End-Checklist,CLOSED,2355.483888888889,1,1,1,461,3,2,1
thedaviddias/Front-End-Checklist,MERGED,15.149722222222222,1,13,13,619,2,0,1
thedaviddias/Front-End-Checklist,MERGED,84.86,1,7,0,610,2,0,1
thedaviddias/Front-End-Checklist,MERGED,344.49666666666667,1,2,2,477,3,0,1
thedaviddias/Front-End-Checklist,MERGED,1407.7969444444445,1,1,1,346,3,0,1
thedaviddias/Front-End-Checklist,CLOSED,3775.32,1,435,809,672,3,2,1
thedaviddias/Front-End-Checklist,MERGED,2167.301111111111,1,1,0,572,3,3,1
thedaviddias/Front-End-Checklist,MERGED,703.9955555555556,2,8,2,155,2,0,1
thedaviddias/Front-End-Checklist,MERGED,274.5863888888889,3,5,6,560,2,0,1
thedaviddias/Front-End-Checklist,MERGED,257.9011111111111,2,16,0,497,2,0,1
thedaviddias/Front-End-Checklist,MERGED,2624.7883333333334,1,1,1,680,2,0,1
thedaviddias/Front-End-Checklist,MERGED,187.06805555555556,1,6,0,409,2,0,1
thedaviddias/Front-End-Checklist,MERGED,549.0094444444444,1,1,1,514,2,0,1
thedaviddias/Front-End-Checklist,MERGED,262.66583333333335,1,1,1,698,2,0,1
thedaviddias/Front-End-Checklist,CLOSED,56.865,2,132,62,532,2,0,1
thedaviddias/Front-End-Checklist,MERGED,670.5997222222222,1,67,64,543,2,0,1
thedaviddias/Front-End-Checklist,CLOSED,991.6255555555556,1,1,1,538,1,0,1
thedaviddias/Front-End-Checklist,CLOSED,13461.249444444444,4,32,2,474,3,5,2
thedaviddias/Front-End-Checklist,MERGED,103.79277777777777,4,5,5,601,2,0,1
thedaviddias/Front-End-Checklist,MERGED,43.24638888888889,1,1,1,1110,2,0,1
thedaviddias/Front-End-Checklist,MERGED,1585.713888888889,1,1,2,558,2,4,1
thedaviddias/Front-End-Checklist,MERGED,92.60027777777778,1,1,1,592,2,1,1
thedaviddias/Front-End-Checklist,CLOSED,5398.826388888889,1,3,2,616,4,5,1
thedaviddias/Front-End-Checklist,CLOSED,36.22388888888889,1,1,1,1316,2,0,3
thedaviddias/Front-End-Checklist,MERGED,69.95083333333334,1,36,43,533,2,2,2
thedaviddias/Front-End-Checklist,CLOSED,5506.006666666667,1,6,0,140,2,4,1
thedaviddias/Front-End-Checklist,MERGED,1.856111111111111,1,1,0,615,2,1,1
