repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
torvalds/linux,CLOSED,7.878611111111111,1,2,981,28,4,2,1
torvalds/linux,CLOSED,18.044444444444444,1,1,18,750,9,4,5
torvalds/linux,CLOSED,28.54861111111111,1,2,2,102,7,1,4
torvalds/linux,CLOSED,28.765,1,45,2,0,12,9,4
torvalds/linux,CLOSED,36.51083333333333,9177,16835,16835,1265,7,4,1
torvalds/linux,CLOSED,39.10111111111111,1,3,0,119,10,4,5
torvalds/linux,CLOSED,40.88361111111111,2,6,0,118,10,2,6
torvalds/linux,CLOSED,42.93194444444445,3,8,1,541,17,7,11
torvalds/linux,CLOSED,43.68361111111111,5,64,4,1994,11,3,6
torvalds/linux,CLOSED,43.71194444444444,24,674,4533,244,5,2,1
torvalds/linux,CLOSED,44.74194444444444,1,1,18,56,17,10,11
torvalds/linux,CLOSED,44.83083333333333,2,27,0,1397,10,5,7
torvalds/linux,CLOSED,45.659444444444446,8453,0,0,0,7,3,4
torvalds/linux,CLOSED,49.91694444444445,1,25,0,125,9,4,5
torvalds/linux,CLOSED,19.423055555555557,1,16,0,339,7,5,3
torvalds/linux,CLOSED,50.334722222222226,1,102,0,155,6,3,1
torvalds/linux,CLOSED,57.64055555555556,1,1,0,384,18,27,1
torvalds/linux,CLOSED,70.27777777777777,1,1,1,1133,44,34,23
torvalds/linux,CLOSED,108.69055555555556,1,321,306,1678,4,2,1
torvalds/linux,CLOSED,243.59694444444443,1,1,1,0,6,3,1
torvalds/linux,CLOSED,244.10722222222222,1,25,1690,19,21,15,9
torvalds/linux,CLOSED,250.335,1,0,0,468,27,21,11
torvalds/linux,CLOSED,319.0997222222222,12,499,332,0,5,1,2
torvalds/linux,CLOSED,350.5938888888889,1,1,1,150,8,4,4
torvalds/linux,CLOSED,402.0227777777778,1,1,0,64,11,7,3
torvalds/linux,CLOSED,428.3486111111111,1,1,42,20,6,3,2
torvalds/linux,CLOSED,438.2027777777778,1,37,0,72,237,170,146
torvalds/linux,CLOSED,605.3813888888889,1,4,2,972,5,2,1
torvalds/linux,CLOSED,610.0294444444445,1,0,0,0,5,1,2
torvalds/linux,CLOSED,613.5966666666667,1,18,0,112,4,1,1
torvalds/linux,CLOSED,628.7344444444444,1,24,13,0,3,1,2
torvalds/linux,CLOSED,1193.2472222222223,1,12,12,96,49,39,35
torvalds/linux,CLOSED,1252.1625,2,0,520,0,10,8,1
torvalds/linux,CLOSED,1416.9225,2,9,95,9,13,12,5
torvalds/linux,CLOSED,1466.1638888888888,1,40,0,1241,5,1,1
torvalds/linux,CLOSED,1678.2513888888889,1,29,0,353,16,9,12
torvalds/linux,CLOSED,1715.4597222222221,1,18,0,0,3,1,2
torvalds/linux,CLOSED,1830.8691666666666,13,231,2,233,419,232,320
torvalds/linux,CLOSED,2013.7155555555555,1,1075,0,40,4,1,1
torvalds/linux,CLOSED,2331.0775,0,0,0,11,6,3,2
torvalds/linux,CLOSED,2410.5169444444446,1,1,0,32,7,3,2
torvalds/linux,CLOSED,2540.5666666666666,2,111,1926,40,139,110,90
torvalds/linux,CLOSED,2712.208611111111,1,1,1,128,5,1,2
torvalds/linux,CLOSED,2872.9991666666665,0,0,0,0,14,11,4
torvalds/linux,CLOSED,27.081944444444446,1,0,0,0,31,25,20
torvalds/linux,CLOSED,93.33611111111111,1,6,5,356,3,1,2
torvalds/linux,CLOSED,865.6344444444444,1,21,0,0,2,2,1
torvalds/linux,CLOSED,3168.3280555555557,1,66,66,0,7,3,1
torvalds/linux,CLOSED,3246.764722222222,0,0,0,50,45,49,7
torvalds/linux,CLOSED,3355.048888888889,1,2,2,67,4,1,1
torvalds/linux,CLOSED,3434.4569444444446,13340,705406,279522,267,4,1,1
torvalds/linux,CLOSED,3480.478611111111,1,1,1,0,4,1,1
torvalds/linux,CLOSED,3523.700277777778,1,1,0,0,5,1,2
torvalds/linux,CLOSED,152.94416666666666,1,1,0,33,6,6,1
torvalds/linux,CLOSED,3796.9266666666667,2,23,18,511,8,7,1
torvalds/linux,CLOSED,3938.393611111111,1,1,1,20,4,1,1
torvalds/linux,CLOSED,4080.4275,1,1,1,52,7,2,4
torvalds/linux,CLOSED,725.8122222222222,1,57,55,0,3,1,1
torvalds/linux,CLOSED,81.5736111111111,0,0,0,256,3,1,1
torvalds/linux,CLOSED,4319.7444444444445,1,1,1,100,4,1,1
torvalds/linux,CLOSED,4344.506666666667,1,6,7,56,10,2,7
torvalds/linux,CLOSED,284.9402777777778,1,1,18,87,6,5,1
torvalds/linux,CLOSED,4567.934722222222,114,11066,31,0,4,1,2
torvalds/linux,CLOSED,4577.4944444444445,0,0,0,2321,11,42,1
torvalds/linux,CLOSED,4596.099166666667,954,8932,8932,24,19,21,3
torvalds/linux,CLOSED,4714.6175,2,69,18,275,6,1,3
torvalds/linux,CLOSED,4779.461666666667,1,2,2,20,5,1,2
