repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
trekhleb/javascript-algorithms,CLOSED,71.62222222222222,0,0,0,0,3,0,1
trekhleb/javascript-algorithms,CLOSED,71.69222222222223,0,0,0,0,5,2,1
trekhleb/javascript-algorithms,MERGED,1292.485,1,11,11,0,7,4,1
trekhleb/javascript-algorithms,CLOSED,202.27722222222224,1,1,1,14,3,0,1
trekhleb/javascript-algorithms,CLOSED,50.84166666666667,3,1050,0,0,2,0,1
trekhleb/javascript-algorithms,MERGED,759.4780555555556,1,2,0,635,3,0,1
trekhleb/javascript-algorithms,CLOSED,860.0588888888889,2,1,353,0,1,0,1
trekhleb/javascript-algorithms,MERGED,1041.1522222222222,4,4,4,14,3,0,1
trekhleb/javascript-algorithms,CLOSED,95.26638888888888,1,94,0,1805,2,0,1
trekhleb/javascript-algorithms,MERGED,2066.764166666667,2,14,13,202,3,0,1
trekhleb/javascript-algorithms,CLOSED,1359.4508333333333,1,4,0,65,2,1,1
trekhleb/javascript-algorithms,CLOSED,1397.5922222222223,1,1,0,18,3,0,1
trekhleb/javascript-algorithms,CLOSED,11202.900555555556,1,1,1,514,2,3,1
trekhleb/javascript-algorithms,CLOSED,4618.8,1,0,1,16,3,0,1
trekhleb/javascript-algorithms,CLOSED,3577.933611111111,1,1,1,119,3,1,8
trekhleb/javascript-algorithms,CLOSED,2524.0177777777776,4,12,0,174,2,0,2
trekhleb/javascript-algorithms,CLOSED,532.8,0,0,0,102,3,5,1
trekhleb/javascript-algorithms,CLOSED,1058.8641666666667,1,50,0,0,3,1,1
trekhleb/javascript-algorithms,CLOSED,527.4433333333334,3,36,1,78,2,0,2
trekhleb/javascript-algorithms,CLOSED,15903.949166666667,1,2,2,94,2,0,1
trekhleb/javascript-algorithms,CLOSED,2517.662222222222,1,1,1,0,4,0,3
trekhleb/javascript-algorithms,MERGED,2431.163611111111,1,54,54,40,3,0,1
trekhleb/javascript-algorithms,CLOSED,2554.7375,1,1,0,0,3,0,1
trekhleb/javascript-algorithms,MERGED,3898.1719444444443,2,22,1,160,4,0,7
trekhleb/javascript-algorithms,CLOSED,168.7225,1,2,0,0,4,3,1
trekhleb/javascript-algorithms,MERGED,4631.373611111111,2,39,1,35,3,0,1
trekhleb/javascript-algorithms,MERGED,4721.833333333333,2,36,1,149,3,0,1
trekhleb/javascript-algorithms,MERGED,5306.714166666667,1,2,2,0,3,0,1
trekhleb/javascript-algorithms,MERGED,5590.6033333333335,1,9,9,0,3,0,1
trekhleb/javascript-algorithms,MERGED,149.55138888888888,1,20,21,48,3,0,1
trekhleb/javascript-algorithms,CLOSED,38.79083333333333,1,1,0,0,2,1,1
trekhleb/javascript-algorithms,MERGED,8559.917777777779,1,1,1,0,3,0,1
trekhleb/javascript-algorithms,CLOSED,353.68111111111114,0,0,0,76,2,1,1
trekhleb/javascript-algorithms,MERGED,511.1377777777778,3,52,0,276,3,1,3
trekhleb/javascript-algorithms,CLOSED,1212.7425,1,106,0,0,3,1,1
trekhleb/javascript-algorithms,CLOSED,1638.1619444444445,1,1,1,0,4,3,1
trekhleb/javascript-algorithms,CLOSED,1639.246111111111,1,288,0,0,3,2,1
trekhleb/javascript-algorithms,CLOSED,1628.9619444444445,4,52,0,18,2,1,1
trekhleb/javascript-algorithms,MERGED,1804.0822222222223,1,1,1,53,3,1,1
trekhleb/javascript-algorithms,MERGED,2039.7805555555556,1,1,1,91,3,1,1
trekhleb/javascript-algorithms,MERGED,2515.8516666666665,4,119,0,193,3,1,1
trekhleb/javascript-algorithms,MERGED,101.82166666666667,2,2,2,88,4,1,2
trekhleb/javascript-algorithms,MERGED,201.56222222222223,10,135,0,166,2,2,1
trekhleb/javascript-algorithms,MERGED,249.735,3,72,0,209,3,2,1
trekhleb/javascript-algorithms,MERGED,622.8091666666667,1,1,1,9,3,1,1
trekhleb/javascript-algorithms,MERGED,89.93222222222222,1,2,6,0,4,6,1
trekhleb/javascript-algorithms,CLOSED,24.148888888888887,7,82,4,71,2,2,2
trekhleb/javascript-algorithms,MERGED,185.21666666666667,3,104,5,142,3,5,1
trekhleb/javascript-algorithms,CLOSED,10291.381111111112,3,55,0,53,3,2,1
trekhleb/javascript-algorithms,CLOSED,2106.9641666666666,3,58,4,189,4,1,3
trekhleb/javascript-algorithms,CLOSED,168.19027777777777,1,7,0,60,3,3,5
trekhleb/javascript-algorithms,CLOSED,18.934444444444445,7,82,449,103,3,3,11
trekhleb/javascript-algorithms,MERGED,134.29666666666665,4,139,88,115,4,17,1
trekhleb/javascript-algorithms,MERGED,81.70555555555555,2,6,2,401,3,3,5
trekhleb/javascript-algorithms,CLOSED,499.4813888888889,8,910,137,0,3,3,2
trekhleb/javascript-algorithms,MERGED,43.992777777777775,1,1,1,97,6,2,1
trekhleb/javascript-algorithms,CLOSED,19.379722222222224,5,1605,1386,1031,2,2,2
trekhleb/javascript-algorithms,MERGED,78.34527777777778,8,19,19,26,4,1,2
trekhleb/javascript-algorithms,MERGED,11.144722222222223,5,150,0,122,3,2,1
trekhleb/javascript-algorithms,MERGED,2113.7275,3,68,0,0,5,5,1
