repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
trimstray/the-book-of-secret-knowledge,CLOSED,782.8705555555556,1,1,1,49,6,0,6
trimstray/the-book-of-secret-knowledge,CLOSED,1024.5358333333334,1,1,1,52,4,0,3
trimstray/the-book-of-secret-knowledge,CLOSED,1017.8858333333334,1,1,0,0,2,0,4
trimstray/the-book-of-secret-knowledge,CLOSED,352.3980555555556,1,22,0,11,7,1,27
trimstray/the-book-of-secret-knowledge,CLOSED,4093.9338888888888,1,2,0,259,9,4,6
trimstray/the-book-of-secret-knowledge,CLOSED,449.71972222222223,1,1,0,886,5,1,3
trimstray/the-book-of-secret-knowledge,CLOSED,192.69861111111112,1,1,1,116,2,0,3
trimstray/the-book-of-secret-knowledge,CLOSED,4.315833333333333,1,0,2,0,2,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,9239.241666666667,1,1,1,17,9,1,8
trimstray/the-book-of-secret-knowledge,CLOSED,111.76138888888889,1,21,0,2,2,0,4
trimstray/the-book-of-secret-knowledge,CLOSED,8737.117222222223,1,1,1,125,16,7,29
trimstray/the-book-of-secret-knowledge,CLOSED,704.4997222222222,1,1,1,114,7,6,7
trimstray/the-book-of-secret-knowledge,CLOSED,8994.783055555556,1,43,0,376,6,10,11
trimstray/the-book-of-secret-knowledge,CLOSED,2327.6697222222224,1,1,2,0,2,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,14697.731944444444,3,5,3,0,2,0,2
trimstray/the-book-of-secret-knowledge,CLOSED,281.37805555555553,1,21,0,0,2,2,1
trimstray/the-book-of-secret-knowledge,CLOSED,1994.971388888889,1,21,0,0,11,4,7
trimstray/the-book-of-secret-knowledge,CLOSED,18158.279444444444,1,1,0,1037,12,7,7
trimstray/the-book-of-secret-knowledge,CLOSED,2916.5555555555557,1,1,0,258,14,13,9
trimstray/the-book-of-secret-knowledge,CLOSED,495.3888888888889,1,1,0,111,8,0,9
trimstray/the-book-of-secret-knowledge,CLOSED,3259.027222222222,1,1,0,0,4,2,3
trimstray/the-book-of-secret-knowledge,CLOSED,364.71472222222224,1,1,0,231,2,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,21036.922222222223,1,1,1,0,11,3,7
trimstray/the-book-of-secret-knowledge,CLOSED,21932.118611111113,1,1,0,0,6,0,5
trimstray/the-book-of-secret-knowledge,MERGED,3.1094444444444442,1,18,4,78,22,6,20
trimstray/the-book-of-secret-knowledge,CLOSED,69.9875,1,21,0,0,3,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,81.13194444444444,1,31,1,0,3,1,1
trimstray/the-book-of-secret-knowledge,CLOSED,5632.987777777777,1,1,2,269,10,11,10
trimstray/the-book-of-secret-knowledge,MERGED,1792.7705555555556,1,1,1,134,6,1,5
trimstray/the-book-of-secret-knowledge,CLOSED,2044.0725,1,1,0,364,4,3,1
trimstray/the-book-of-secret-knowledge,CLOSED,3031.5308333333332,1,6,0,0,4,2,1
trimstray/the-book-of-secret-knowledge,MERGED,3032.4,1,1,0,66,7,1,4
trimstray/the-book-of-secret-knowledge,MERGED,3032.47,1,1,0,66,3,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,3225.3263888888887,1,1,0,170,3,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,3346.251388888889,1,1,0,0,4,2,3
trimstray/the-book-of-secret-knowledge,MERGED,3471.8025,1,1,0,96,4,0,2
trimstray/the-book-of-secret-knowledge,CLOSED,3976.7472222222223,4,126,0,0,5,0,2
trimstray/the-book-of-secret-knowledge,MERGED,8.081944444444444,1,0,1,457,4,1,2
trimstray/the-book-of-secret-knowledge,MERGED,188.05388888888888,1,1,1,0,4,1,1
trimstray/the-book-of-secret-knowledge,MERGED,197.54638888888888,1,1,0,0,5,2,1
trimstray/the-book-of-secret-knowledge,MERGED,5742.094444444445,1,1,0,261,5,1,2
trimstray/the-book-of-secret-knowledge,CLOSED,2793.59,1,1,0,46,4,1,1
trimstray/the-book-of-secret-knowledge,MERGED,6269.9725,1,1,0,0,3,0,1
trimstray/the-book-of-secret-knowledge,MERGED,113.4486111111111,1,1,0,61,4,0,2
trimstray/the-book-of-secret-knowledge,CLOSED,1150.0197222222223,1,2,0,50,3,4,6
trimstray/the-book-of-secret-knowledge,MERGED,36.245555555555555,1,4,0,54,3,1,1
trimstray/the-book-of-secret-knowledge,MERGED,1457.3108333333332,1,1,1,44,4,0,2
trimstray/the-book-of-secret-knowledge,MERGED,1525.3908333333334,1,1,0,99,3,0,1
trimstray/the-book-of-secret-knowledge,MERGED,106.93777777777778,1,1,1,0,4,44,2
trimstray/the-book-of-secret-knowledge,MERGED,2253.048333333333,1,1,0,70,3,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,1310.3872222222221,1,1,0,0,3,1,1
trimstray/the-book-of-secret-knowledge,MERGED,1.9480555555555557,1,1,2,62,6,3,3
trimstray/the-book-of-secret-knowledge,MERGED,70.4925,1,1,0,0,4,1,2
trimstray/the-book-of-secret-knowledge,CLOSED,73.11805555555556,1,1,0,36,3,1,2
trimstray/the-book-of-secret-knowledge,MERGED,103.51583333333333,1,1,0,304,3,1,1
trimstray/the-book-of-secret-knowledge,MERGED,1395.8483333333334,1,1,0,219,3,4,1
trimstray/the-book-of-secret-knowledge,CLOSED,8850.406111111111,1,24,0,35,3,0,1
trimstray/the-book-of-secret-knowledge,MERGED,904.3319444444444,1,1,0,73,3,1,1
trimstray/the-book-of-secret-knowledge,MERGED,1.91,1,17,17,93,3,0,1
trimstray/the-book-of-secret-knowledge,CLOSED,46.50388888888889,1,1,1,65,3,2,1
trimstray/the-book-of-secret-knowledge,MERGED,11.75361111111111,1,1,0,59,3,2,1
trimstray/the-book-of-secret-knowledge,CLOSED,46.022222222222226,1,6,0,46,3,3,1
trimstray/the-book-of-secret-knowledge,MERGED,711.5469444444444,1,1,0,0,3,2,1
trimstray/the-book-of-secret-knowledge,MERGED,169.28972222222222,1,1,0,0,3,0,1
trimstray/the-book-of-secret-knowledge,MERGED,9.685555555555556,1,1,0,0,3,2,1
trimstray/the-book-of-secret-knowledge,MERGED,25.997777777777777,1,6,0,0,3,1,1
trimstray/the-book-of-secret-knowledge,MERGED,15.059722222222222,1,3,0,50,2,1,7
trimstray/the-book-of-secret-knowledge,MERGED,3.873611111111111,1,2,0,73,5,3,3
trimstray/the-book-of-secret-knowledge,CLOSED,514.8886111111111,1,1,1,33,4,1,3
