repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
twbs/bootstrap,MERGED,6.386388888888889,2,5,5,7353,1,0,1
twbs/bootstrap,MERGED,6.985555555555556,2,4,4,6680,1,0,1
twbs/bootstrap,CLOSED,109.85944444444445,7,406,326,3025,3,2,2
twbs/bootstrap,MERGED,31.42972222222222,3,5,5,6433,1,0,1
twbs/bootstrap,MERGED,9.549444444444445,9,11,11,6249,1,1,1
twbs/bootstrap,MERGED,2.462222222222222,3,5,5,5239,1,2,1
twbs/bootstrap,MERGED,246.8227777777778,1,1,1,590,2,0,1
twbs/bootstrap,MERGED,15.210555555555555,2,4,4,4183,1,2,1
twbs/bootstrap,MERGED,58.70805555555555,2,4,4,4030,1,0,1
twbs/bootstrap,MERGED,61.19166666666667,11,11,11,5911,1,1,1
twbs/bootstrap,MERGED,271.9141666666667,1,1,0,1466,2,0,2
twbs/bootstrap,MERGED,2.6019444444444444,1,3,3,1845,1,0,1
twbs/bootstrap,MERGED,6.905277777777778,2,4,4,4313,1,1,1
twbs/bootstrap,MERGED,368.86083333333335,1,6,0,30,3,1,1
twbs/bootstrap,MERGED,23.754444444444445,3,26,9,9025,2,0,1
twbs/bootstrap,MERGED,6.822777777777778,1,1,1,3600,1,0,1
twbs/bootstrap,MERGED,6.97,2,4,4,4582,1,1,1
twbs/bootstrap,MERGED,6.917777777777777,2,2,2,2754,1,0,1
twbs/bootstrap,CLOSED,7.061388888888889,2,5,5,3325,1,2,1
twbs/bootstrap,MERGED,152.20583333333335,2,4,4,4433,1,0,1
twbs/bootstrap,MERGED,152.62972222222223,1,1,1,3425,1,2,1
twbs/bootstrap,MERGED,21.76527777777778,14,28,28,1098,2,0,1
twbs/bootstrap,MERGED,8.726666666666667,1,1,1,1438,1,0,1
twbs/bootstrap,CLOSED,937.6805555555555,1,0,1,1147,2,1,1
twbs/bootstrap,MERGED,1230.2955555555557,4,33,19,1870,4,4,5
twbs/bootstrap,MERGED,967.4077777777778,2,26,19,2158,2,0,1
twbs/bootstrap,CLOSED,1267.5219444444444,2,7,0,1548,3,6,1
twbs/bootstrap,MERGED,117.93333333333334,3,21,3,2004,3,8,3
twbs/bootstrap,MERGED,73.04888888888888,5,6,6,146,3,3,4
twbs/bootstrap,MERGED,14.651111111111112,1,30,54,36,2,0,1
twbs/bootstrap,MERGED,88.40472222222222,1,5,1,329,2,0,1
twbs/bootstrap,MERGED,133.775,1,21,0,28,2,0,2
twbs/bootstrap,MERGED,19.732222222222223,2,5,5,2885,1,1,1
twbs/bootstrap,MERGED,2073.4644444444443,133,3078,1916,1816,6,5,5
twbs/bootstrap,MERGED,48.81166666666667,2,26,1,1818,3,2,3
twbs/bootstrap,MERGED,247.06583333333333,81,109,109,1407,3,2,1
twbs/bootstrap,MERGED,3.675,1,1,1,846,2,0,1
twbs/bootstrap,MERGED,51.909444444444446,1,5,2,1183,3,6,2
twbs/bootstrap,MERGED,1.2244444444444444,1,1,1,810,2,0,1
twbs/bootstrap,MERGED,54.21333333333333,2,4,3,1474,2,0,1
twbs/bootstrap,MERGED,19.554166666666667,1,2,2,783,3,0,6
twbs/bootstrap,MERGED,18.301944444444445,2,6,1,991,3,0,4
twbs/bootstrap,MERGED,7.791666666666667,2,113,172,8010,1,0,1
twbs/bootstrap,MERGED,127.81,2,199,5,1599,2,0,1
twbs/bootstrap,MERGED,9.608888888888888,1,1,1,5019,1,0,1
twbs/bootstrap,CLOSED,530.5144444444444,4,19,8,1608,3,4,3
twbs/bootstrap,MERGED,1.9313888888888888,108,108,108,322,2,0,1
twbs/bootstrap,MERGED,5.287222222222222,1,1,1,431,2,0,1
twbs/bootstrap,MERGED,434.5941666666667,4,18,13,678,2,0,2
twbs/bootstrap,MERGED,3.081111111111111,1,0,3,977,2,0,1
twbs/bootstrap,MERGED,288.3438888888889,82,170,138,103,2,0,1
twbs/bootstrap,CLOSED,32.10388888888889,1,2,0,1234,2,1,1
