repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
twitter/the-algorithm,CLOSED,201.25472222222223,1,25,0,0,4,10,1
twitter/the-algorithm,CLOSED,12040.893333333333,6906,1,630434,33,7,6,2
twitter/the-algorithm,CLOSED,2090.0405555555553,6886,422157,422157,18,5,3,1
twitter/the-algorithm,CLOSED,6360.328055555556,1,8,8,0,3,1,1
twitter/the-algorithm,CLOSED,2248.346666666667,1511,3,194245,1,2,2,1
twitter/the-algorithm,CLOSED,7531.9175,1,4,55,1,10,9,1
twitter/the-algorithm,CLOSED,1307.2277777777779,9624,171884,171884,181,7,4,5
twitter/the-algorithm,CLOSED,9148.495555555555,5,0,32,27,3,1,1
twitter/the-algorithm,CLOSED,18129.216111111113,1,12,8,936,3,1,1
twitter/the-algorithm,CLOSED,69.25222222222222,1,1,1,0,4,3,1
twitter/the-algorithm,CLOSED,201.70527777777778,1,69,0,113,6,3,2
twitter/the-algorithm,CLOSED,297.54833333333335,1,1,1,48,4,1,1
twitter/the-algorithm,CLOSED,1006.8252777777777,1,1,1,26,4,3,1
twitter/the-algorithm,CLOSED,6649.566666666667,139,22737,19067,455,7,9,1
twitter/the-algorithm,CLOSED,2509.3855555555556,1,1,1,51,4,2,1
twitter/the-algorithm,CLOSED,94.10444444444444,5364,0,460068,59,8,6,3
twitter/the-algorithm,CLOSED,2753.324722222222,241,439,439,60,20,12,13
twitter/the-algorithm,CLOSED,15190.932222222222,2,22,7,152,3,1,1
twitter/the-algorithm,CLOSED,15204.550277777778,2,22,7,23,4,2,1
twitter/the-algorithm,CLOSED,18.066944444444445,5616,22416,459366,178,4,2,2
twitter/the-algorithm,CLOSED,7452.720555555556,1,307,0,0,4,1,3
twitter/the-algorithm,CLOSED,8778.179722222223,1,66,73,90,4,3,1
twitter/the-algorithm,CLOSED,8.389444444444445,5362,0,459366,22,129,130,18
twitter/the-algorithm,CLOSED,456.1816666666667,2,2,2,18,5,3,1
twitter/the-algorithm,CLOSED,6.805,1,13,0,51,7,2,5
twitter/the-algorithm,CLOSED,10342.746666666666,5364,1,460068,17,12,12,1
twitter/the-algorithm,CLOSED,20.7975,1,9,9,60,5,3,1
twitter/the-algorithm,CLOSED,965.3372222222222,5,9,20,143,3,1,1
twitter/the-algorithm,CLOSED,267.58972222222224,38,5292,567,290,5,3,1
twitter/the-algorithm,CLOSED,34.10805555555555,7,15,15,0,6,3,5
twitter/the-algorithm,CLOSED,22.868055555555557,12,24,24,0,6,4,1
twitter/the-algorithm,CLOSED,37.42805555555555,1,9,3,63,5,1,2
twitter/the-algorithm,CLOSED,42.187222222222225,1,0,1,0,7,5,1
twitter/the-algorithm,CLOSED,6.494722222222222,2,0,5,0,5,3,2
