repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
unionlabs/union,MERGED,24.164444444444445,65,517,540,0,2,1,2
unionlabs/union,MERGED,1.6225,7,91,16,0,3,2,1
unionlabs/union,MERGED,3.198888888888889,68,688,2548,0,2,1,2
unionlabs/union,MERGED,1.615,1,5,0,0,2,1,1
unionlabs/union,MERGED,71.88638888888889,12,460,214,0,3,1,2
unionlabs/union,MERGED,43.573055555555555,4,30,30,0,3,1,2
unionlabs/union,MERGED,44.41305555555556,36,2973,1439,0,2,1,5
unionlabs/union,MERGED,1.253611111111111,2,6,1,0,3,2,2
unionlabs/union,MERGED,141.1213888888889,48,3435,776,0,2,1,1
unionlabs/union,MERGED,174.4777777777778,38,1747,17,0,2,2,1
unionlabs/union,MERGED,157.57194444444445,20,1242,11,0,2,1,1
unionlabs/union,MERGED,46.79055555555556,3,18,3,0,3,1,2
unionlabs/union,MERGED,2.0405555555555557,2,178,18,112,2,2,2
unionlabs/union,MERGED,2.3275,1,2,2,0,2,1,1
unionlabs/union,MERGED,20.04722222222222,10,669,329,0,3,1,3
unionlabs/union,MERGED,1.5425,4,143,3,0,2,1,1
unionlabs/union,MERGED,105.1036111111111,18,772,70,0,2,1,1
unionlabs/union,MERGED,7.4238888888888885,1,2,2,0,2,2,1
unionlabs/union,MERGED,5.381111111111111,1,2,2,0,2,1,1
unionlabs/union,MERGED,2.957222222222222,3,33,26,0,2,2,1
unionlabs/union,MERGED,1.2875,3,26,33,0,2,2,1
unionlabs/union,MERGED,167.65166666666667,334,25,31856,0,2,1,1
unionlabs/union,MERGED,92.43472222222222,4,560,8,58,3,2,5
unionlabs/union,MERGED,12.681111111111111,12,134,130,0,3,5,2
unionlabs/union,MERGED,76.52166666666666,1,2,2,0,2,1,1
unionlabs/union,MERGED,136.42638888888888,29,4840,37,0,3,1,2
unionlabs/union,MERGED,1.31,13,63,52,0,2,1,1
unionlabs/union,MERGED,40.0225,17,262,208,0,2,1,1
unionlabs/union,MERGED,22.628333333333334,3,10,6,0,2,2,1
unionlabs/union,MERGED,3.968888888888889,2,758,0,0,2,1,1
unionlabs/union,MERGED,3.2880555555555557,3,424,3,0,2,1,1
unionlabs/union,MERGED,1.85,10,826,46,0,2,1,2
unionlabs/union,MERGED,2.3269444444444445,1,10,0,0,3,1,3
unionlabs/union,MERGED,4.932777777777778,2,20,7,0,3,1,3
unionlabs/union,MERGED,2.0033333333333334,11,81,170,0,4,1,4
unionlabs/union,MERGED,105.8425,11,60,133,0,4,2,5
unionlabs/union,MERGED,25.057222222222222,2,82,0,0,4,1,4
unionlabs/union,MERGED,2.4183333333333334,3,200,359,0,2,1,2
unionlabs/union,MERGED,1.1991666666666667,63,2999,31819,0,2,5,1
unionlabs/union,MERGED,24.185833333333335,3,934,0,0,2,1,1
unionlabs/union,MERGED,3.624722222222222,1,66,168,0,2,2,1
unionlabs/union,MERGED,15.554722222222223,2,19,5,0,2,1,2
unionlabs/union,MERGED,16.800555555555555,5,306,347,0,2,1,1
unionlabs/union,MERGED,25.20638888888889,27,1439,4999,0,2,2,2
unionlabs/union,MERGED,1.541111111111111,10,169,30,0,3,1,1
unionlabs/union,MERGED,20.07111111111111,1,3,3,0,2,2,1
unionlabs/union,MERGED,3.1816666666666666,6,32,15,0,2,1,1
unionlabs/union,MERGED,1.8433333333333333,7,180,29,0,2,2,3
unionlabs/union,MERGED,1.9188888888888889,4,87,15,0,2,1,2
unionlabs/union,MERGED,8.19,3,6,3,0,2,2,1
unionlabs/union,MERGED,1.6222222222222222,51,8130,272,0,2,1,1
unionlabs/union,MERGED,13.6825,3,20,4,0,2,2,1
unionlabs/union,MERGED,3.575833333333333,2,142,2,0,2,1,1
unionlabs/union,MERGED,330.97583333333336,101,3043,244,0,2,1,2
unionlabs/union,MERGED,2.17,4,63,14,0,3,2,3
unionlabs/union,MERGED,3.078888888888889,4,127,36,0,2,2,1
unionlabs/union,MERGED,82.84916666666666,2,28,16,0,3,2,1
unionlabs/union,MERGED,2.8491666666666666,17,672,67,0,3,2,1
unionlabs/union,MERGED,1.74,1,38,14,0,2,1,1
unionlabs/union,MERGED,42.87277777777778,3,291,3,0,2,1,1
unionlabs/union,MERGED,2.8525,1,6,0,0,6,2,4
unionlabs/union,MERGED,25.166666666666668,7,251,31,0,3,1,3
unionlabs/union,MERGED,20.391944444444444,1,4,4,0,3,2,2
unionlabs/union,MERGED,17.31111111111111,5,157,53,0,2,1,2
unionlabs/union,MERGED,15.561388888888889,6,128,0,0,3,1,2
unionlabs/union,MERGED,2.3780555555555556,6,146,5,0,3,2,1
unionlabs/union,MERGED,45.94138888888889,19,670,64,54,3,1,7
unionlabs/union,CLOSED,244.87472222222223,26,321,549,0,2,2,2
unionlabs/union,MERGED,19.365,4,668,645,49,2,1,1
unionlabs/union,CLOSED,54.03388888888889,4,5,5,0,2,3,1
unionlabs/union,MERGED,1.5002777777777778,2,4,17,0,3,2,3
unionlabs/union,MERGED,9.555,5,241,130,0,3,2,2
unionlabs/union,MERGED,1.256388888888889,1,18,18,0,2,1,2
unionlabs/union,MERGED,79.41111111111111,5,88,16,0,3,1,1
unionlabs/union,MERGED,143.45027777777779,4,37,12,135,3,2,2
unionlabs/union,MERGED,18.24277777777778,3,132,2,0,2,1,1
unionlabs/union,MERGED,1.3316666666666668,2,42,0,0,3,1,1
unionlabs/union,MERGED,1.3805555555555555,1,2,2,0,2,1,1
unionlabs/union,MERGED,44.117777777777775,11,147,79,0,2,1,1
unionlabs/union,MERGED,284.5863888888889,1,4,4,0,3,1,1
unionlabs/union,MERGED,30.07638888888889,2,4,9,99,3,5,2
unionlabs/union,MERGED,1.3172222222222223,1,228,69,0,2,2,1
unionlabs/union,MERGED,7.631944444444445,1,18,0,0,3,1,2
unionlabs/union,MERGED,2.6977777777777776,4,5203,13,0,5,1,5
unionlabs/union,MERGED,97.99444444444444,7,823,5,0,13,8,3
unionlabs/union,MERGED,1.6891666666666667,5,355,64,0,2,1,1
unionlabs/union,MERGED,14.946388888888889,5,81,30,0,3,1,4
unionlabs/union,MERGED,120.66722222222222,1,1,1,0,3,3,1
unionlabs/union,MERGED,44.14888888888889,16,756,62,0,4,3,1
unionlabs/union,MERGED,1.5308333333333333,3,169,4,0,2,1,1
unionlabs/union,MERGED,3.1158333333333332,15,189,1111,0,2,1,2
unionlabs/union,MERGED,8.38,4,14,7,0,6,3,3
