repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ventoy/Ventoy,MERGED,5136.109166666667,1,9,9,39,3,0,1
ventoy/Ventoy,MERGED,11.2875,1,3,1,385,5,8,1
ventoy/Ventoy,MERGED,1223.986388888889,1,93,0,42,3,0,1
ventoy/Ventoy,MERGED,1445.6019444444444,4,7,7,52,3,0,1
ventoy/Ventoy,CLOSED,5981.506944444444,1,53,54,251,1,1,1
ventoy/Ventoy,MERGED,103.4486111111111,1,1,1,15,3,0,1
ventoy/Ventoy,MERGED,201.35222222222222,1,3,3,0,2,1,1
ventoy/Ventoy,MERGED,201.4297222222222,1,10,10,0,2,1,1
ventoy/Ventoy,MERGED,227.04583333333332,1,4,4,0,3,1,3
ventoy/Ventoy,MERGED,356.50416666666666,1,20,3,0,3,0,4
ventoy/Ventoy,MERGED,32.08555555555556,2,112,0,0,3,1,2
ventoy/Ventoy,MERGED,2.4702777777777776,1,5,5,0,4,8,3
ventoy/Ventoy,MERGED,6.323055555555555,1,74,11,63,3,2,1
ventoy/Ventoy,MERGED,15.25611111111111,1,1,1,0,3,2,1
