repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
vercel/next.js,MERGED,5.228888888888889,2,60,73,307,3,3,1
vercel/next.js,MERGED,1.1427777777777777,2,5,2,163,2,1,1
vercel/next.js,MERGED,1.91,3,203,285,192,3,1,3
vercel/next.js,MERGED,19.591666666666665,4,5,10,294,3,4,2
vercel/next.js,MERGED,3.5258333333333334,8,370,0,733,3,3,2
vercel/next.js,MERGED,5.058333333333334,10,199,17,1712,4,5,8
vercel/next.js,MERGED,2.9363888888888887,1,24,6,53,4,1,2
vercel/next.js,MERGED,23.365277777777777,4,69,64,213,4,3,4
vercel/next.js,MERGED,30.2125,42,11,873,84,3,4,1
vercel/next.js,MERGED,15.9475,8,2,326,69,3,1,2
vercel/next.js,MERGED,19.24222222222222,24,0,372,72,3,3,2
vercel/next.js,MERGED,15.957222222222223,10,0,504,72,3,2,2
vercel/next.js,MERGED,4.729722222222223,2,13,8,179,3,4,3
vercel/next.js,MERGED,22.002222222222223,17,410,180,385,3,3,2
vercel/next.js,MERGED,1.0858333333333334,62,753,718,379,3,1,1
vercel/next.js,MERGED,36.02333333333333,12,1491,37,118,3,5,8
vercel/next.js,MERGED,4.8975,2,3,2,68,3,1,1
vercel/next.js,MERGED,2.9469444444444446,1,1,0,913,3,2,4
vercel/next.js,MERGED,13.206666666666667,1,1,1,61,3,1,2
vercel/next.js,CLOSED,66.96388888888889,1,42,5,63,2,3,2
vercel/next.js,MERGED,38.81,40,3025,108,1923,4,6,6
vercel/next.js,MERGED,26.961944444444445,4,85,292,142,3,4,3
vercel/next.js,MERGED,50.734722222222224,205,161,7844,118,3,5,4
vercel/next.js,MERGED,86.39583333333333,17,610,368,200,3,1,1
vercel/next.js,CLOSED,93.36333333333333,1,8,11,277,2,2,1
vercel/next.js,MERGED,1.3655555555555556,1,1,0,66,3,2,2
vercel/next.js,MERGED,87.3963888888889,2,0,18,16,3,4,1
vercel/next.js,MERGED,5.79,96,5634,2407,211,3,2,2
vercel/next.js,MERGED,125.80694444444444,4,218,0,49,3,3,6
vercel/next.js,MERGED,99.87277777777778,3,3,0,51,3,0,1
vercel/next.js,MERGED,3.8225,24,393,370,102,3,5,1
vercel/next.js,MERGED,2.081111111111111,1,7,3,87,3,5,1
vercel/next.js,MERGED,75.41638888888889,1,193,79,164,3,4,3
vercel/next.js,MERGED,17.254444444444445,1,74,14,98,4,3,1
vercel/next.js,MERGED,17.320555555555554,1,20,9,97,4,3,1
vercel/next.js,MERGED,92.9486111111111,12,450,283,768,4,4,10
vercel/next.js,CLOSED,88.4075,156,189,6568,0,2,5,2
vercel/next.js,MERGED,117.79055555555556,3,67,42,345,3,4,4
vercel/next.js,MERGED,2.5616666666666665,114,4236,2359,211,4,2,1
vercel/next.js,MERGED,3.2197222222222224,5,96,43,68,3,4,2
vercel/next.js,MERGED,17.44388888888889,1,5,2,156,3,5,1
vercel/next.js,MERGED,25.468333333333334,1,1,11,224,4,6,2
vercel/next.js,MERGED,17.94472222222222,2,5,5,344,3,3,3
vercel/next.js,MERGED,16.95111111111111,10,43,9,169,4,4,5
vercel/next.js,MERGED,7.512777777777778,7,68,127,371,3,4,1
vercel/next.js,MERGED,11.821944444444444,4,11,14,437,3,4,2
vercel/next.js,MERGED,1.206388888888889,1,1,1,434,3,3,1
vercel/next.js,MERGED,150.42083333333332,1,23,4,501,3,3,6
vercel/next.js,MERGED,10.9675,13,236,0,274,3,3,6
vercel/next.js,MERGED,19.714166666666667,2,119,49,539,3,4,9
vercel/next.js,MERGED,7.238888888888889,3,124,100,1136,3,7,3
vercel/next.js,MERGED,111.62944444444445,11,56,79,107,3,5,5
vercel/next.js,MERGED,35.89888888888889,8,198,45,189,3,5,1
vercel/next.js,MERGED,9.048333333333334,1,57,28,98,4,3,1
vercel/next.js,MERGED,10.916944444444445,1,12,4,97,4,2,1
vercel/next.js,MERGED,40.61972222222222,15,359,147,2321,3,4,13
vercel/next.js,MERGED,105.4786111111111,15,68,25,178,3,5,6
vercel/next.js,MERGED,6.214166666666666,1,6,1,97,3,5,1
vercel/next.js,CLOSED,157.26,1,9,1,16,2,3,1
vercel/next.js,MERGED,15.728055555555555,34,867,78,259,3,2,5
vercel/next.js,MERGED,15.853055555555555,2,5,2,582,4,5,1
vercel/next.js,MERGED,19.5425,1,30,2,292,4,2,4
vercel/next.js,CLOSED,46.31388888888889,9,42,53,16,2,1,1
vercel/next.js,MERGED,11.125555555555556,1,3,0,689,3,3,1
vercel/next.js,MERGED,44.78194444444444,1,1,1,716,3,1,2
vercel/next.js,MERGED,48.16777777777778,10,79,39,443,3,5,2
vercel/next.js,CLOSED,45.94888888888889,1,5,0,53,2,1,1
vercel/next.js,MERGED,39.02388888888889,4,26,17,292,3,5,1
vercel/next.js,MERGED,13.721944444444444,1,2,3,77,3,5,1
vercel/next.js,MERGED,1.061388888888889,2,8,8,87,3,1,1
vercel/next.js,MERGED,19.123055555555556,5,561,519,257,3,4,5
vercel/next.js,MERGED,1.8386111111111112,2,5,5,111,3,5,1
vercel/next.js,MERGED,27.74277777777778,1,10,1,487,3,8,1
vercel/next.js,MERGED,3.4044444444444446,12,113,97,86,4,7,2
vercel/next.js,MERGED,30.341666666666665,17,1056,30,1046,3,3,24
vercel/next.js,MERGED,79.38472222222222,41,444,2183,471,3,3,18
vercel/next.js,MERGED,5.707222222222223,3,19,9,234,3,4,1
vercel/next.js,MERGED,19.55027777777778,2,26,0,244,3,5,1
vercel/next.js,MERGED,4.692222222222222,10,52,27,691,4,4,1
vercel/next.js,MERGED,48.5925,3,180,71,128,4,5,15
vercel/next.js,MERGED,22.331666666666667,1,50,22,168,3,5,1
vercel/next.js,MERGED,21.343333333333334,1,8,4,472,3,5,2
vercel/next.js,MERGED,8.709722222222222,2,92,27,85,3,4,3
vercel/next.js,MERGED,15.08,1,69,48,97,4,3,1
vercel/next.js,MERGED,21.9275,25,983,188,275,3,2,9
vercel/next.js,MERGED,22.020555555555557,18,398,30,1448,3,3,12
vercel/next.js,MERGED,1.5922222222222222,1,2,3,401,4,2,2
vercel/next.js,MERGED,42.62277777777778,24,197,120,141,3,4,6
vercel/next.js,MERGED,71.015,1,1,1,440,4,6,3
vercel/next.js,MERGED,18.405555555555555,9,138,152,274,3,3,3
vercel/next.js,MERGED,1.5,5,24,23,70,3,5,1
vercel/next.js,CLOSED,24.370555555555555,62,718,718,127,3,3,1
vercel/next.js,MERGED,19.77638888888889,3,31,19,366,3,3,2
vercel/next.js,MERGED,4.3875,1,9,4,60,3,5,1
vercel/next.js,MERGED,2.6977777777777776,1,2,2,130,3,5,1
vercel/next.js,MERGED,3.943611111111111,4,368,4,32,2,2,1
vercel/next.js,MERGED,3.694166666666667,6,76,24,16,3,3,2
vercel/next.js,MERGED,22.10972222222222,1,2,2,172,3,3,1
vercel/next.js,MERGED,8.355,4,66,60,180,2,4,2
vercel/next.js,MERGED,4.189722222222223,1,8,2,71,3,5,1
vercel/next.js,MERGED,2.8766666666666665,3,96,87,107,3,4,3
vercel/next.js,MERGED,3.3738888888888887,3,68,77,111,3,4,1
vercel/next.js,MERGED,2.573611111111111,11,44,39,174,3,3,1
vercel/next.js,CLOSED,38.8075,1,45,34,97,4,2,1
vercel/next.js,MERGED,16.854166666666668,1,24,29,98,4,3,1
vercel/next.js,MERGED,8.209722222222222,1,1,1,138,3,2,1
vercel/next.js,MERGED,6.34,41,6871,6871,163,3,6,1
