repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
vinta/awesome-python,CLOSED,334.93583333333333,1,1,0,1963,3,1,1
vinta/awesome-python,MERGED,562.4283333333333,1,1,0,990,5,4,1
vinta/awesome-python,CLOSED,310.7602777777778,1,1,0,1252,2,0,1
vinta/awesome-python,CLOSED,1055.7847222222222,1,101,89,994,4,3,2
vinta/awesome-python,CLOSED,82.6,1,21,0,220,3,2,1
vinta/awesome-python,CLOSED,233.40777777777777,1,1,0,220,5,3,3
vinta/awesome-python,CLOSED,12.388333333333334,2,17,2,220,2,0,2
vinta/awesome-python,CLOSED,852.3794444444444,1,2,0,1697,3,0,2
vinta/awesome-python,CLOSED,4123.700555555555,1,1,0,741,3,0,2
vinta/awesome-python,CLOSED,2428.1613888888887,3,10,0,220,4,3,1
vinta/awesome-python,CLOSED,3151.46,1,1,0,1152,6,3,6
vinta/awesome-python,CLOSED,3342.652222222222,1,1,0,654,3,2,1
vinta/awesome-python,CLOSED,4606.656388888889,1,1,1,745,3,2,1
vinta/awesome-python,CLOSED,4701.4725,1,1,0,1415,6,2,4
vinta/awesome-python,CLOSED,5038.5391666666665,1,1,0,711,6,3,4
vinta/awesome-python,CLOSED,5070.330277777778,1,1,0,355,5,2,3
vinta/awesome-python,CLOSED,554.3827777777777,1,2,0,1846,5,1,3
vinta/awesome-python,CLOSED,506.35083333333336,1,1,0,967,3,0,2
vinta/awesome-python,CLOSED,6672.125277777778,1,2,0,2664,11,9,6
vinta/awesome-python,MERGED,6992.845,1,1,0,849,15,2,14
vinta/awesome-python,CLOSED,187.16,1,1,0,0,2,1,1
vinta/awesome-python,CLOSED,11028.171388888888,1,1,0,417,5,2,2
vinta/awesome-python,CLOSED,491.2875,1,1,0,261,4,3,3
vinta/awesome-python,MERGED,2415.1227777777776,1,1,0,672,10,4,5
vinta/awesome-python,CLOSED,10789.520555555555,1,1,0,934,2,0,1
vinta/awesome-python,CLOSED,11976.535555555556,1,2,1,420,8,5,4
vinta/awesome-python,CLOSED,2219.3905555555557,1,5,2,383,4,1,3
vinta/awesome-python,CLOSED,388.3880555555556,1,1,0,1124,2,0,1
vinta/awesome-python,CLOSED,4613.856944444445,1,0,1,266,3,4,4
vinta/awesome-python,CLOSED,3209.0205555555553,1,1,0,585,2,0,1
vinta/awesome-python,MERGED,1130.533888888889,1,1,1,36,6,0,5
vinta/awesome-python,CLOSED,8380.166388888889,1,1,0,627,5,1,4
vinta/awesome-python,CLOSED,11219.20611111111,1,1,0,1120,6,3,3
vinta/awesome-python,CLOSED,1425.6583333333333,1,1,0,220,5,0,3
vinta/awesome-python,CLOSED,5165.325833333333,1,1,0,1043,3,0,2
vinta/awesome-python,CLOSED,2687.7766666666666,1,1,0,649,5,2,3
vinta/awesome-python,CLOSED,14018.554722222223,1,1,0,804,3,2,1
vinta/awesome-python,CLOSED,42.66222222222222,1,1,0,4011,2,0,1
vinta/awesome-python,CLOSED,2620.7916666666665,1,1,0,435,6,8,1
vinta/awesome-python,MERGED,2555.1805555555557,1,7,10,625,7,1,4
vinta/awesome-python,CLOSED,4540.021111111111,1,1,0,496,2,1,1
vinta/awesome-python,MERGED,3874.0580555555557,0,0,0,467,4,1,1
vinta/awesome-python,CLOSED,6241.429166666667,1,1,0,840,7,7,4
vinta/awesome-python,CLOSED,3859.826666666667,1,1,0,1463,3,0,2
vinta/awesome-python,CLOSED,10272.071666666667,1,1,0,1454,7,3,5
vinta/awesome-python,CLOSED,11433.489166666666,1,1,0,879,2,0,2
vinta/awesome-python,MERGED,15.7725,1,1,0,205,5,0,3
vinta/awesome-python,CLOSED,14265.04611111111,1,1,0,375,3,0,2
vinta/awesome-python,CLOSED,11138.045833333334,1,1,0,422,2,0,1
vinta/awesome-python,CLOSED,5785.935833333333,1,1,0,534,3,2,1
vinta/awesome-python,CLOSED,10922.527777777777,1,2,1,1144,4,0,3
vinta/awesome-python,CLOSED,7334.4025,1,1,0,672,14,6,10
vinta/awesome-python,CLOSED,20640.975555555557,1,1,0,259,3,0,2
vinta/awesome-python,CLOSED,11322.678055555556,1,7,0,229,3,1,2
vinta/awesome-python,CLOSED,29.386944444444445,1,2,2,48,3,1,1
vinta/awesome-python,CLOSED,6849.075,1,1,0,1117,4,2,1
vinta/awesome-python,MERGED,1077.3941666666667,1,1,0,1089,3,2,2
vinta/awesome-python,CLOSED,5.683888888888889,1,39,0,220,2,1,1
vinta/awesome-python,MERGED,3477.826111111111,1,1,1,137,4,1,2
vinta/awesome-python,MERGED,42.304722222222225,1,0,1,194,4,2,1
vinta/awesome-python,CLOSED,13509.87388888889,0,0,0,311,6,4,2
