repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
vitejs/vite,MERGED,2.0905555555555555,2,6,6,1124,1,0,1
vitejs/vite,MERGED,2.1330555555555555,30,457,407,13351,1,0,1
vitejs/vite,MERGED,2.180833333333333,3,10,16,940,1,0,1
vitejs/vite,MERGED,13.406666666666666,4,4,4,98,2,2,1
vitejs/vite,MERGED,67.92027777777778,1,2,0,570,2,0,1
vitejs/vite,MERGED,4.044722222222222,1,17,19,1773,3,0,3
vitejs/vite,MERGED,17.94472222222222,1,11,1,332,2,0,2
vitejs/vite,MERGED,4.743055555555555,5,78,14,2981,2,0,1
vitejs/vite,MERGED,4.086666666666667,2,3,3,0,3,0,2
vitejs/vite,MERGED,5.792222222222223,8,8,8,107,3,0,2
vitejs/vite,MERGED,21.22833333333333,3,32,1,36,3,7,5
vitejs/vite,MERGED,18.718055555555555,1,2,1,73,2,0,1
vitejs/vite,MERGED,29.14472222222222,34,653,511,19394,1,0,1
vitejs/vite,MERGED,29.010833333333334,4,106,86,5850,1,0,1
vitejs/vite,MERGED,130.63166666666666,2,12,3,1239,3,1,5
vitejs/vite,MERGED,143.81527777777777,1,6,0,147,4,4,2
vitejs/vite,MERGED,22.878055555555555,8,63,13,4260,3,2,2
vitejs/vite,MERGED,3.2711111111111113,1,6,5,1789,3,4,5
vitejs/vite,MERGED,1.0247222222222223,1,24,12,839,2,2,1
vitejs/vite,CLOSED,1.3144444444444445,1,5,1,149,2,2,1
vitejs/vite,MERGED,13.252777777777778,1,6,0,28,2,0,2
vitejs/vite,MERGED,2.3041666666666667,17,348,376,14126,1,0,1
vitejs/vite,MERGED,28.648333333333333,4,95,284,11760,1,1,1
vitejs/vite,MERGED,262.7108333333333,4,27,1,612,3,3,3
vitejs/vite,MERGED,44.41444444444444,1,12,5,657,3,2,3
vitejs/vite,MERGED,31.488888888888887,7,14,14,760,3,2,4
vitejs/vite,MERGED,29.55666666666667,4,21,6,2494,3,0,8
vitejs/vite,MERGED,7.730833333333333,1,1,1,107,2,0,1
vitejs/vite,MERGED,101.01,2,122,77,134,2,0,2
vitejs/vite,MERGED,2.665,1,1,1,85,3,0,2
vitejs/vite,MERGED,2.7191666666666667,2,13,5,92,2,0,1
vitejs/vite,MERGED,4.859166666666667,2,11,9,142,2,4,1
vitejs/vite,MERGED,22.855555555555554,4,73,1,199,2,4,3
vitejs/vite,MERGED,24.579444444444444,3,16,2,175,2,4,1
vitejs/vite,MERGED,21.59611111111111,1,0,5,72,2,0,1
