repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
vuejs/vue,MERGED,1.9872222222222222,1,7,7,920,2,0,1
vuejs/vue,MERGED,2.3469444444444445,1,1,1,936,2,0,2
vuejs/vue,MERGED,20.38111111111111,1,1,1,1095,2,0,1
vuejs/vue,MERGED,1016.9447222222223,1,4,3,1506,2,1,1
vuejs/vue,MERGED,1609.046111111111,1,1,1,934,3,0,1
vuejs/vue,CLOSED,1.9902777777777778,1,1,0,920,2,2,1
vuejs/vue,CLOSED,10793.403888888888,1,1,1,955,3,0,1
vuejs/vue,MERGED,19.994444444444444,1,1,3,114,2,0,1
vuejs/vue,MERGED,15.685,2,2,2,937,3,0,1
vuejs/vue,CLOSED,7448.3175,2,9,1,931,6,3,1
vuejs/vue,MERGED,3.0452777777777778,1,1,1,920,3,0,1
vuejs/vue,MERGED,2.253888888888889,1,1,1,986,3,0,1
vuejs/vue,MERGED,7.905555555555556,6,8,8,968,2,0,1
vuejs/vue,MERGED,7389.8025,2,43,2,1367,3,0,1
vuejs/vue,MERGED,8131.645,2,10,10,920,3,5,3
vuejs/vue,MERGED,622.3527777777778,1,1,1,920,4,0,2
vuejs/vue,MERGED,8352.228888888889,3,34,3,920,3,1,1
vuejs/vue,MERGED,8352.625833333334,2,18,4,947,3,0,1
vuejs/vue,MERGED,162.00083333333333,1,1,1,920,3,0,1
vuejs/vue,MERGED,8513.103055555555,1,1,1,945,3,0,1
vuejs/vue,CLOSED,20899.359444444446,1,1,0,920,2,0,1
vuejs/vue,MERGED,8680.811944444444,3,33,1,920,3,0,1
vuejs/vue,MERGED,1242.2966666666666,2,9,8,942,2,1,1
vuejs/vue,CLOSED,613.2286111111111,1,1,1,956,3,1,1
vuejs/vue,MERGED,51.43611111111111,1,4,4,1086,3,0,1
vuejs/vue,CLOSED,18.609166666666667,2,50,1,953,2,1,3
vuejs/vue,CLOSED,113.82916666666667,2,24,27,942,3,1,1
vuejs/vue,MERGED,325.73083333333335,1,1,1,369,5,1,4
vuejs/vue,CLOSED,164.71166666666667,1,3,2,942,2,1,2
vuejs/vue,CLOSED,11705.585555555555,3,1077,888,942,2,0,1
vuejs/vue,CLOSED,11706.826388888889,5,711,641,1129,2,0,1
vuejs/vue,CLOSED,11707.842222222222,4,1256,968,942,2,0,1
vuejs/vue,CLOSED,11708.440277777778,1,518,452,942,2,0,1
vuejs/vue,MERGED,17.929166666666667,1,3,3,2484,2,0,1
vuejs/vue,MERGED,10.325,2,16,6,50,2,0,1
vuejs/vue,CLOSED,19487.225555555557,3,17,28,1697,3,3,2
