repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
yangshun/tech-interview-handbook,CLOSED,20.441944444444445,11,11,11,29,2,0,1
yangshun/tech-interview-handbook,MERGED,1.386388888888889,1,1,1,262,2,0,1
yangshun/tech-interview-handbook,MERGED,365.3727777777778,2,6,2,0,2,0,1
yangshun/tech-interview-handbook,MERGED,8.912777777777778,1,1,1,16,2,0,1
yangshun/tech-interview-handbook,MERGED,1.6994444444444445,1,3,3,59,2,0,1
yangshun/tech-interview-handbook,MERGED,4.944444444444445,1,1,0,65,2,0,1
yangshun/tech-interview-handbook,MERGED,4411.949166666666,1,1,1,55,2,1,1
yangshun/tech-interview-handbook,MERGED,46.11194444444445,1,6,0,0,2,0,1
yangshun/tech-interview-handbook,MERGED,5972.454722222222,1,2,2,103,2,0,1
yangshun/tech-interview-handbook,MERGED,16.483055555555556,1,2,0,100,2,0,1
yangshun/tech-interview-handbook,MERGED,7.386111111111111,3,48,2,272,2,0,2
yangshun/tech-interview-handbook,MERGED,2.761388888888889,1,9,0,252,2,1,1
yangshun/tech-interview-handbook,MERGED,35.15777777777778,1,1,1,322,2,0,1
yangshun/tech-interview-handbook,MERGED,421.09222222222223,1,2,2,163,2,0,1
yangshun/tech-interview-handbook,MERGED,8.345277777777778,1,3,3,56,2,0,1
yangshun/tech-interview-handbook,MERGED,5.816111111111111,7,22,22,0,2,0,1
yangshun/tech-interview-handbook,MERGED,16.740833333333335,1,2,2,0,2,0,1
yangshun/tech-interview-handbook,MERGED,2.207777777777778,1,1,1,119,2,0,1
yangshun/tech-interview-handbook,MERGED,462.1591666666667,1,5,1,0,2,0,1
yangshun/tech-interview-handbook,MERGED,463.7113888888889,1,10,2,70,2,0,1
yangshun/tech-interview-handbook,MERGED,1.4925,1,1,1,0,2,0,1
yangshun/tech-interview-handbook,MERGED,57.7575,1,1,1,97,2,0,1
yangshun/tech-interview-handbook,MERGED,2.448611111111111,1,1,1,29,2,0,1
yangshun/tech-interview-handbook,MERGED,2.477777777777778,1,1,1,15,2,0,1
yangshun/tech-interview-handbook,MERGED,188.02555555555554,1,1,1,73,2,0,1
yangshun/tech-interview-handbook,MERGED,124.57,1,13,0,0,2,0,1
yangshun/tech-interview-handbook,MERGED,1126.4441666666667,1,1,0,89,2,0,1
yangshun/tech-interview-handbook,MERGED,1444.0780555555555,1,1,1,68,2,0,1
yangshun/tech-interview-handbook,MERGED,14.136388888888888,4,139,118,93,2,0,1
yangshun/tech-interview-handbook,MERGED,57.68333333333333,1,1,1,96,2,0,1
yangshun/tech-interview-handbook,MERGED,142.9163888888889,1,116,4,278,2,1,2
yangshun/tech-interview-handbook,MERGED,8.065833333333334,1,7,0,141,2,0,1
yangshun/tech-interview-handbook,MERGED,108.525,2,4,0,155,2,1,1
yangshun/tech-interview-handbook,MERGED,1.7397222222222222,1,1,1,48,3,2,1
yangshun/tech-interview-handbook,MERGED,9.466944444444444,1,1,1,11,2,0,1
yangshun/tech-interview-handbook,MERGED,3.925,14,188,146,0,2,0,1
yangshun/tech-interview-handbook,CLOSED,692.0786111111111,15,398,9,0,2,0,1
yangshun/tech-interview-handbook,MERGED,1.9133333333333333,1,6,1,62,2,0,1
yangshun/tech-interview-handbook,MERGED,28.004166666666666,1,1,2,0,2,0,3
yangshun/tech-interview-handbook,MERGED,3.0588888888888888,5,303,324,0,2,0,1
yangshun/tech-interview-handbook,MERGED,13.653055555555556,4,66,31,0,3,0,2
yangshun/tech-interview-handbook,MERGED,20.843055555555555,6,222,109,0,2,0,1
yangshun/tech-interview-handbook,MERGED,92.03222222222222,5,135,18,0,3,0,3
yangshun/tech-interview-handbook,MERGED,116.32583333333334,7,151,38,0,2,0,1
yangshun/tech-interview-handbook,MERGED,45.021388888888886,4,67,33,0,2,0,1
yangshun/tech-interview-handbook,MERGED,2.9380555555555556,1,16,2,58,2,1,1
yangshun/tech-interview-handbook,MERGED,243.57166666666666,2,141,0,0,2,0,1
yangshun/tech-interview-handbook,MERGED,2.161388888888889,2,67,18,45,1,0,1
yangshun/tech-interview-handbook,MERGED,1.2513888888888889,6,324,288,269,2,0,1
