repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
yt-dlp/yt-dlp,MERGED,89.9713888888889,1,3,3,1147,2,5,8
yt-dlp/yt-dlp,MERGED,40.926944444444445,4,28,2,1101,2,0,2
yt-dlp/yt-dlp,MERGED,16.20111111111111,1,9,9,912,3,0,1
yt-dlp/yt-dlp,MERGED,16.63861111111111,1,2,2,849,3,0,1
yt-dlp/yt-dlp,MERGED,51.60472222222222,1,61,21,1218,2,0,2
yt-dlp/yt-dlp,MERGED,9.370277777777778,2,19,2,1083,4,3,4
yt-dlp/yt-dlp,MERGED,7.285833333333334,1,1,0,782,2,0,1
yt-dlp/yt-dlp,MERGED,1.2227777777777777,1,5,3,692,2,0,1
yt-dlp/yt-dlp,MERGED,8.097222222222221,1,6,2,692,3,1,1
yt-dlp/yt-dlp,CLOSED,178.30138888888888,1,239,21,1043,4,3,6
yt-dlp/yt-dlp,MERGED,1.011388888888889,9,47,993,648,2,0,1
yt-dlp/yt-dlp,MERGED,15.463333333333333,20,34,33,564,2,0,1
yt-dlp/yt-dlp,MERGED,17.27888888888889,1,7,0,1321,3,0,2
yt-dlp/yt-dlp,CLOSED,9.875277777777777,1,16,5,829,4,1,2
yt-dlp/yt-dlp,MERGED,28.6925,7,12,12,568,3,0,2
yt-dlp/yt-dlp,MERGED,25.94388888888889,1,1,1,637,2,0,1
yt-dlp/yt-dlp,MERGED,115.8963888888889,4,140,126,589,3,0,2
yt-dlp/yt-dlp,MERGED,2.173611111111111,1,25,9,623,3,0,2
yt-dlp/yt-dlp,MERGED,4.358888888888889,5,4765,7,628,2,0,2
yt-dlp/yt-dlp,MERGED,121.72666666666667,1,5,5,978,2,0,1
yt-dlp/yt-dlp,MERGED,22.5975,3,75,1,568,2,0,1
yt-dlp/yt-dlp,MERGED,62.22416666666667,1,15,3,1051,7,2,13
yt-dlp/yt-dlp,MERGED,53.388333333333335,1,5,1,5868,2,1,3
yt-dlp/yt-dlp,CLOSED,234.5661111111111,2,86,0,698,4,0,3
yt-dlp/yt-dlp,MERGED,3.263611111111111,4,365,1,931,2,0,1
yt-dlp/yt-dlp,MERGED,297.985,4,386,355,985,3,3,3
yt-dlp/yt-dlp,MERGED,279.25305555555553,1,10,3,693,2,0,1
yt-dlp/yt-dlp,MERGED,280.78777777777776,2,0,123,677,2,0,1
yt-dlp/yt-dlp,MERGED,547.32,14,38,3,825,5,0,11
yt-dlp/yt-dlp,MERGED,1.318888888888889,1,65,49,779,2,0,3
yt-dlp/yt-dlp,MERGED,1.6102777777777777,1,1,0,1230,2,0,1
yt-dlp/yt-dlp,CLOSED,287.5702777777778,1,31,0,1203,4,10,2
yt-dlp/yt-dlp,MERGED,1.255,1,13,2,623,2,0,1
yt-dlp/yt-dlp,MERGED,10.106944444444444,1,6,0,1089,3,0,2
