repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ytdl-org/youtube-dl,CLOSED,23.25611111111111,1,2,1,1345,2,0,1
ytdl-org/youtube-dl,MERGED,218.02944444444444,5,636,202,1594,4,8,3
ytdl-org/youtube-dl,CLOSED,7177.310277777778,1,1,1,2168,4,2,1
ytdl-org/youtube-dl,MERGED,2.334722222222222,2,30,6,1148,2,2,2
ytdl-org/youtube-dl,MERGED,5.9463888888888885,5,375,488,1627,5,1,5
ytdl-org/youtube-dl,CLOSED,35.1125,1,50,55,0,2,5,1
ytdl-org/youtube-dl,MERGED,53.84222222222222,1,15,6,1602,2,4,6
ytdl-org/youtube-dl,MERGED,1.5058333333333334,1,3,3,785,2,1,1
ytdl-org/youtube-dl,CLOSED,12012.20611111111,1,18,4,1583,2,2,2
ytdl-org/youtube-dl,MERGED,21.411944444444444,1,2,2,1519,2,2,1
ytdl-org/youtube-dl,MERGED,1018.8175,3,576,48,2093,2,2,5
ytdl-org/youtube-dl,MERGED,384.60777777777776,6,276,182,2002,1,0,5
ytdl-org/youtube-dl,CLOSED,13539.183055555555,1,8,2,907,2,5,3
ytdl-org/youtube-dl,MERGED,503.8611111111111,1,23,24,1144,2,2,5
ytdl-org/youtube-dl,MERGED,710.2113888888889,2,102,0,1114,2,6,6
ytdl-org/youtube-dl,MERGED,1999.5855555555556,1,2,2,1235,2,1,1
ytdl-org/youtube-dl,MERGED,6521.233611111111,1,24,6,1248,2,3,1
ytdl-org/youtube-dl,MERGED,4544.776111111111,2,80,0,1164,2,0,4
ytdl-org/youtube-dl,MERGED,25.865833333333335,6,203,85,2280,2,0,3
ytdl-org/youtube-dl,CLOSED,8939.883333333333,2,90,67,1378,2,3,4
ytdl-org/youtube-dl,MERGED,1855.0502777777779,10,1097,95,2646,2,1,10
ytdl-org/youtube-dl,CLOSED,7219.8741666666665,2,69,0,837,2,1,1
ytdl-org/youtube-dl,CLOSED,1657.315,1,11,3,837,4,18,3
ytdl-org/youtube-dl,MERGED,69.92,1,1,1,1404,6,16,1
ytdl-org/youtube-dl,CLOSED,151.70777777777778,1,1,1,1621,4,3,5
ytdl-org/youtube-dl,MERGED,107.04138888888889,2,62,0,1149,3,4,4
ytdl-org/youtube-dl,MERGED,110.73305555555555,2,36,0,1146,2,3,8
ytdl-org/youtube-dl,MERGED,112.0838888888889,2,44,0,1148,2,0,6
ytdl-org/youtube-dl,MERGED,320.65166666666664,5,193,24,1651,4,10,12
ytdl-org/youtube-dl,MERGED,203.51666666666668,1,88,27,1428,3,2,4
ytdl-org/youtube-dl,MERGED,239.26194444444445,1,1,1,1294,2,0,2
ytdl-org/youtube-dl,CLOSED,85.12333333333333,1,179,148,1345,3,1,2
ytdl-org/youtube-dl,MERGED,660.3594444444444,1,10,24,1046,2,0,4
ytdl-org/youtube-dl,MERGED,1023.7688888888889,2,109,0,2772,2,2,3
ytdl-org/youtube-dl,CLOSED,7868.656111111111,1,5,5,1051,4,4,2
ytdl-org/youtube-dl,MERGED,1263.6716666666666,2,75,0,1271,2,2,3
ytdl-org/youtube-dl,MERGED,1310.0766666666666,1,25,2,1516,3,1,4
ytdl-org/youtube-dl,MERGED,1447.5983333333334,2,174,0,1229,3,3,7
ytdl-org/youtube-dl,MERGED,1788.75,1,7,1,932,2,0,1
ytdl-org/youtube-dl,MERGED,1877.0527777777777,2,88,0,1142,2,0,2
ytdl-org/youtube-dl,MERGED,2638.831388888889,2,101,0,886,4,2,7
ytdl-org/youtube-dl,MERGED,193.0886111111111,1,13,1,1144,2,1,1
ytdl-org/youtube-dl,MERGED,198.0713888888889,1,25,3,1204,3,2,1
ytdl-org/youtube-dl,CLOSED,22428.79861111111,2,245,0,2085,3,4,2
ytdl-org/youtube-dl,MERGED,376.6022222222222,1,32,25,1963,2,4,7
ytdl-org/youtube-dl,MERGED,511.93,1,7,6,4776,4,7,1
ytdl-org/youtube-dl,MERGED,656.3916666666667,3,129,40,1313,2,1,2
ytdl-org/youtube-dl,CLOSED,5255.474722222222,2,104,0,1345,1,5,4
ytdl-org/youtube-dl,CLOSED,21795.146666666667,2,46,0,1271,2,2,3
ytdl-org/youtube-dl,CLOSED,2623.1852777777776,2,8,2,1787,2,2,1
ytdl-org/youtube-dl,MERGED,25.551111111111112,1,8,1,956,2,2,3
ytdl-org/youtube-dl,CLOSED,305.8575,1,2,2,2110,4,15,1
ytdl-org/youtube-dl,CLOSED,12766.944166666666,2,161,1,2053,2,8,17
ytdl-org/youtube-dl,MERGED,1347.3291666666667,1,91,22,1539,1,0,6
ytdl-org/youtube-dl,MERGED,1.1133333333333333,6,504,251,2075,3,0,5
ytdl-org/youtube-dl,MERGED,2030.2419444444445,2,662,0,1294,3,5,14
ytdl-org/youtube-dl,CLOSED,22.225555555555555,1,27,6,984,3,4,1
ytdl-org/youtube-dl,CLOSED,20288.743611111113,1,43,17,1138,3,11,4
ytdl-org/youtube-dl,CLOSED,20321.243333333332,2,115,0,1345,3,12,5
ytdl-org/youtube-dl,CLOSED,20324.44777777778,2,71,0,1387,2,2,1
ytdl-org/youtube-dl,CLOSED,25819.494166666667,3,220,62,1146,3,5,2
ytdl-org/youtube-dl,MERGED,5587.666666666667,7,459,211,1843,3,13,1
ytdl-org/youtube-dl,CLOSED,5356.011111111111,2,46,0,1231,4,7,1
ytdl-org/youtube-dl,MERGED,3847.5630555555554,1,29,11,1687,2,0,6
ytdl-org/youtube-dl,MERGED,18375.290833333333,1,51,8,1244,2,1,5
ytdl-org/youtube-dl,MERGED,137.02583333333334,3,33,1,1028,2,3,5
ytdl-org/youtube-dl,CLOSED,8001.338611111111,1,1,1,1345,4,2,3
ytdl-org/youtube-dl,CLOSED,250.6161111111111,1,3,3,1154,3,3,1
ytdl-org/youtube-dl,MERGED,5873.110833333333,2,92,83,1465,2,0,4
ytdl-org/youtube-dl,CLOSED,7888.133888888889,1,113,48,1353,2,2,9
ytdl-org/youtube-dl,MERGED,286.4533333333333,2,60,0,1193,2,0,7
ytdl-org/youtube-dl,MERGED,42.140277777777776,1,96,75,1428,3,2,3
ytdl-org/youtube-dl,MERGED,340.1272222222222,1,1,1,785,2,0,1
ytdl-org/youtube-dl,MERGED,122.19166666666666,1,3,2,1193,2,0,1
ytdl-org/youtube-dl,CLOSED,4816.924722222222,1,41,0,1882,6,4,9
ytdl-org/youtube-dl,CLOSED,2839.508611111111,2,41,0,1178,3,0,3
ytdl-org/youtube-dl,MERGED,403.3186111111111,2,93,0,1052,2,0,2
ytdl-org/youtube-dl,CLOSED,26665.668055555554,6,586,0,1700,4,5,12
ytdl-org/youtube-dl,CLOSED,955.3211111111111,1,8,5,1366,2,0,2
ytdl-org/youtube-dl,CLOSED,24.3925,1,4,1,1156,2,4,2
ytdl-org/youtube-dl,CLOSED,13801.376666666667,2,140,30,2340,8,7,5
ytdl-org/youtube-dl,CLOSED,1109.0755555555556,1,86,78,1330,3,4,4
ytdl-org/youtube-dl,CLOSED,624.7361111111111,1,6,0,1620,2,1,1
ytdl-org/youtube-dl,CLOSED,940.9627777777778,1,1,2,1345,4,3,1
ytdl-org/youtube-dl,CLOSED,1085.7441666666666,1,4,4,1491,4,1,2
ytdl-org/youtube-dl,MERGED,37.91111111111111,1,4,4,2213,27,18,13
ytdl-org/youtube-dl,CLOSED,1039.0966666666666,1,6,4,1370,2,0,2
ytdl-org/youtube-dl,MERGED,10465.973333333333,1,298,82,1654,3,4,2
ytdl-org/youtube-dl,CLOSED,19392.690833333334,1,1,1,1360,2,0,1
ytdl-org/youtube-dl,CLOSED,4374.025277777778,2,135,0,1612,3,4,3
ytdl-org/youtube-dl,CLOSED,2177.618611111111,14,711,192,3086,24,48,1
ytdl-org/youtube-dl,CLOSED,779.6122222222223,3,453,0,1151,2,1,21
ytdl-org/youtube-dl,CLOSED,5560.518055555555,4,210,16,1459,3,2,3
ytdl-org/youtube-dl,CLOSED,5585.503055555556,9,288,169,1406,3,7,2
ytdl-org/youtube-dl,CLOSED,3318.362222222222,1,72,0,1336,2,0,3
ytdl-org/youtube-dl,CLOSED,5712.8125,1,10,19,1494,2,1,1
ytdl-org/youtube-dl,CLOSED,24435.253055555557,0,0,0,1956,2,9,2
ytdl-org/youtube-dl,MERGED,6898.573888888889,1,1,1,1151,2,0,1
ytdl-org/youtube-dl,MERGED,10943.365,2,197,0,1259,2,0,10
ytdl-org/youtube-dl,MERGED,6822.964722222222,1,17,2,1289,1,0,1
ytdl-org/youtube-dl,CLOSED,4520.411944444444,1,67,69,1360,5,4,3
ytdl-org/youtube-dl,CLOSED,6670.563055555555,1,1,1,896,2,1,3
ytdl-org/youtube-dl,MERGED,23229.86111111111,2,140,0,1520,1,2,1
ytdl-org/youtube-dl,MERGED,159.1925,1,8,8,1363,2,0,2
ytdl-org/youtube-dl,CLOSED,23433.146944444445,1,4,1,2432,3,2,1
ytdl-org/youtube-dl,MERGED,122.69833333333334,1,3,5,1370,2,0,1
ytdl-org/youtube-dl,CLOSED,7871.010555555556,1,51,7,1305,5,3,7
