repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
zed-industries/zed,MERGED,2.502222222222222,1,3,3,151,2,0,1
zed-industries/zed,MERGED,7.110277777777778,1,0,1,107,2,0,1
zed-industries/zed,CLOSED,2.631111111111111,1,55,77,197,2,7,6
zed-industries/zed,MERGED,25.04388888888889,4,36,31,575,2,0,5
zed-industries/zed,MERGED,6.708055555555555,1,10,6,888,2,0,1
zed-industries/zed,MERGED,48.67861111111111,1,4,4,137,2,0,1
zed-industries/zed,MERGED,40.0525,1,53,6,478,2,1,1
zed-industries/zed,MERGED,79.28444444444445,7,115,58,257,4,6,23
zed-industries/zed,MERGED,69.21944444444445,7,65,19,116,1,0,1
zed-industries/zed,MERGED,99.13666666666667,1,96,0,445,3,9,6
zed-industries/zed,MERGED,1.3016666666666667,1,8,2,459,2,0,2
zed-industries/zed,MERGED,61.57222222222222,1,91,12,499,3,1,4
zed-industries/zed,MERGED,61.86055555555556,1,1,1,19,2,0,1
zed-industries/zed,MERGED,3.7602777777777776,1,1,1,127,2,0,1
zed-industries/zed,MERGED,26.274166666666666,3,88,6,1237,2,1,1
zed-industries/zed,MERGED,1.6083333333333334,1,7,1,219,2,0,1
zed-industries/zed,MERGED,7.381388888888889,1,1,0,479,2,0,1
zed-industries/zed,MERGED,12.063055555555556,1,3,0,290,2,0,1
zed-industries/zed,MERGED,23.300555555555555,2,117,4,147,2,6,1
zed-industries/zed,MERGED,116.79027777777777,3,55,42,263,3,0,3
zed-industries/zed,CLOSED,20.4425,2,29,2,402,3,9,1
zed-industries/zed,MERGED,28.525555555555556,1,7,0,329,2,0,1
zed-industries/zed,MERGED,26.76972222222222,2,295,0,88,3,1,3
zed-industries/zed,MERGED,14.088333333333333,1,1,1,46,2,0,1
zed-industries/zed,MERGED,11.572222222222223,1,4,1,286,4,6,1
zed-industries/zed,MERGED,2.124722222222222,3,22,36,19,2,0,1
zed-industries/zed,MERGED,15.352222222222222,1,19,1,33,2,0,1
